,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,11,2018/10/14 11:28,3104,街角設置端末（地図から）,0,639,5,2,,2018/10/14 11:34,2018/10/14 11:44,35.452963 139.642093,横浜赤レンガ倉庫,35.441441 139.648505,横浜中華街朱雀門,2018/10/14 11:39,2018/10/14 11:39,2018/10/14 11:56,2018/10/14 11:46,,2018/10/14 11:28,0:10:04,0:20:08,,00,05,,,,,,
-,-,11,2018/10/14 11:47,3108,乗客アプリ（目的地から）,2770,693,4,5,,2018/10/14 11:57,2018/10/14 12:04,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/14 11:56,2018/10/14 11:56,2018/10/14 12:09,2018/10/14 12:09,,2018/10/14 11:47,0:06:55,0:34:35,,01,09,,,,,,
-,-,11,2018/10/14 11:48,3109,乗客アプリ（地図から）,1666,888,7,1,,2018/10/14 11:52,2018/10/14 11:59,35.450681 139.632446,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/14 11:53,2018/10/14 11:53,2018/10/14 12:05,2018/10/14 12:05,,2018/10/14 11:48,0:07:11,0:07:11,,00,04,,,,,,
★,☆,11,2018/10/14 9:58,3078,乗客アプリ（目的地から）,2754,598,9,2,2018/10/14 10:07,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/14 11:30,,2018/10/14 11:48,,2018/10/14 11:30,2018/10/14 11:30,0:00:00,0:00:00,,00,00,,,,,,
-,☆,11,2018/10/14 11:01,3097,乗客アプリ（地図から）,1666,462,3,1,2018/10/14 11:02,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/14 11:15,,2018/10/14 11:23,,,2018/10/14 11:01,0:00:00,0:00:00,,00,14,,,,,,
★,☆,11,2018/10/14 11:30,3105,乗客アプリ（地図から）,2750,763,3,1,2018/10/14 11:42,,,35.445857 139.647636,ホテルモントレ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 11:36,,2018/10/14 11:51,,2018/10/14 11:35,2018/10/14 11:35,0:00:00,0:00:00,,00,07,,,,※43行と同一人物と思われるため一番短いものを採用,,
-,☆,11,2018/10/14 11:43,3106,乗客アプリ（目的地から）,2750,706,5,1,2018/10/14 11:43,,,35.445857 139.647636,ホテルモントレ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 11:52,,2018/10/14 12:07,,,2018/10/14 11:43,0:00:00,0:00:00,,00,,,,,※42行と同一人物と思われるため一番短いものを採用,,
★,-,12,2018/10/14 10:40,3092,乗客アプリ（目的地から）,2270,858,6,1,,2018/10/14 12:03,2018/10/14 12:11,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/14 12:10,2018/10/14 12:10,2018/10/14 12:24,2018/10/14 12:24,2018/10/14 12:10,2018/10/14 12:10,0:07:39,0:07:39,487,00,00,05,05,,,,
★,-,12,2018/10/14 11:45,3107,乗客アプリ（地図から）,1669,701,8,2,,2018/10/14 12:02,2018/10/14 12:13,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/14 12:05,2018/10/14 12:05,2018/10/14 12:25,2018/10/14 12:37,2018/10/14 12:05,2018/10/14 12:05,0:10:55,0:21:50,,00,00,,,,,,
★,-,12,2018/10/14 11:48,3110,乗客アプリ（簡単予約）,2702,396,9,2,,2018/10/14 12:37,2018/10/14 12:51,35.443908 139.635249,イセザキ・モール,35.443073 139.651914,横浜人形の家,2018/10/14 12:40,2018/10/14 12:45,2018/10/14 12:57,2018/10/14 13:05,2018/10/14 12:40,2018/10/14 12:40,0:14:36,0:29:12,,00,00,,,,,,
