時間指定,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,待ち時間,待ち時間（平均）,,
,2018/10/5 12:22,786,街角設置端末（地図から）,0,1276,2,3,2018/10/5 12:23,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 12:24,,2018/10/5 12:37,,,,,,01,,,
,2018/10/5 12:24,787,乗客アプリ（地図から）,1108,427,9,1,2018/10/5 12:33,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 12:31,,2018/10/5 12:45,,,,,,06,,,
,2018/10/5 12:31,792,乗客アプリ（目的地から）,985,1150,1,1,2018/10/5 12:31,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/5 12:34,,2018/10/5 12:52,,,,,,03,,,
,2018/10/5 12:41,797,乗客アプリ（目的地から）,1103,697,1,2,2018/10/5 12:46,,,35.443704 139.651332,ホテルメルパルク横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 13:12,,2018/10/5 13:27,,,,,,30,,,
,2018/10/5 12:52,800,街角設置端末（店舗から）,0,824,10,1,2018/10/5 13:18,,,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 13:12,,2018/10/5 13:29,,,,,,19,,,
★,2018/10/5 11:52,781,街角設置端末（店舗から）,0,1203,4,1,,2018/10/5 13:14,2018/10/5 13:25,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443908 139.635249,イセザキ・モール,2018/10/5 13:20,2018/10/5 13:20,2018/10/5 13:28,2018/10/5 13:28,2018/10/5 13:20,0:10:43,0:10:43,171,05,07,,
★,2018/10/5 12:51,799,乗客アプリ（目的地から）,1172,1166,3,1,,2018/10/5 13:01,2018/10/5 13:13,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/10/5 13:07,2018/10/5 13:07,2018/10/5 13:26,2018/10/5 13:26,2018/10/5 13:00,0:12:29,0:12:29,,-00,,,
,2018/10/5 13:04,805,乗客アプリ（目的地から）,1178,1283,3,1,,2018/10/5 13:19,2018/10/5 13:28,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/5 13:10,2018/10/5 13:10,2018/10/5 13:27,2018/10/5 13:27,,0:09:11,0:09:11,,15,,,
,2018/10/5 13:21,806,乗客アプリ（地図から）,1103,495,1,1,,2018/10/5 13:47,2018/10/5 14:10,35.453715 139.638133,横浜ワールドポーターズ,35.443704 139.651332,ホテルメルパルク横浜,2018/10/5 13:45,2018/10/5 13:49,2018/10/5 14:02,2018/10/5 14:07,2018/10/5 13:45,0:22:54,0:22:54,,25,,,
,2018/10/5 13:24,807,街角設置端末（店舗から）,0,680,6,1,,2018/10/5 13:33,2018/10/5 13:41,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 13:31,2018/10/5 13:31,2018/10/5 13:48,2018/10/5 13:48,,0:07:59,0:07:59,,09,,,
