時間指定,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,待ち時間,待ち時間（平均）,,
,2018/10/5 18:58,929,街角設置端末（店舗から）,0,352,2,1,2018/10/5 19:12,,,35.453715 139.638133,横浜ワールドポーターズ,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 19:07,,2018/10/5 19:19,,,,,,08,,,
★,2018/10/5 17:32,900,乗客アプリ（地図から）,1291,954,8,1,,2018/10/5 19:01,2018/10/5 19:06,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 19:00,2018/10/5 19:00,2018/10/5 19:14,2018/10/5 19:14,2018/10/5 19:00,0:05:16,0:05:16,155,-00,06,,
★,2018/10/5 18:54,928,乗客アプリ（地図から）,1158,1026,4,1,,2018/10/5 19:04,2018/10/5 19:09,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/5 19:05,2018/10/5 19:05,2018/10/5 19:15,2018/10/5 19:15,2018/10/5 19:05,0:04:34,0:04:34,,00,,,
,2018/10/5 19:06,931,乗客アプリ（地図から）,1076,647,2,1,,2018/10/5 19:14,2018/10/5 19:23,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443908 139.635249,イセザキ・モール,2018/10/5 19:12,2018/10/5 19:12,2018/10/5 19:33,2018/10/5 19:33,,0:09:46,0:09:46,,07,,,
,2018/10/5 19:08,932,街角設置端末（店舗から）,0,435,3,1,,2018/10/5 19:16,2018/10/5 19:32,35.453715 139.638133,横浜ワールドポーターズ,35.443908 139.635249,イセザキ・モール,2018/10/5 19:18,2018/10/5 19:18,2018/10/5 19:42,2018/10/5 19:42,,0:16:10,0:16:10,,08,,,
,2018/10/5 19:18,934,乗客アプリ（地図から）,1280,735,1,2,,2018/10/5 19:28,2018/10/5 19:35,35.45435 139.631762,横浜ロイヤルパークホテル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/5 19:40,2018/10/5 19:40,2018/10/5 19:59,2018/10/5 19:59,2018/10/5 19:40,0:07:29,0:14:58,,09,,,
,2018/10/5 19:30,937,乗客アプリ（目的地から）,1312,908,3,1,,2018/10/5 19:41,2018/10/5 19:49,35.443908 139.635249,イセザキ・モール,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 19:41,2018/10/5 19:41,2018/10/5 19:55,2018/10/5 19:55,2018/10/5 19:41,0:07:35,0:07:35,,10,,,
,2018/10/5 19:41,940,乗客アプリ（目的地から）,1334,999,7,2,,2018/10/5 19:44,2018/10/5 19:53,35.456605 139.635327,横浜ベイホテル東急,35.443659 139.650847,横浜マリンタワー,2018/10/5 19:54,2018/10/5 19:54,2018/10/5 20:13,2018/10/5 20:13,,0:08:26,0:16:52,,02,,,
,2018/10/5 19:43,942,乗客アプリ（目的地から）,1330,616,1,3,,2018/10/5 19:51,2018/10/5 20:01,35.456605 139.635327,横浜ベイホテル東急,35.443659 139.650847,横浜マリンタワー,2018/10/5 19:57,2018/10/5 19:57,2018/10/5 20:17,2018/10/5 20:17,,0:10:24,0:31:12,,08,,,
★,2018/10/5 19:51,944,乗客アプリ（地図から）,1218,1296,5,1,,2018/10/5 20:20,2018/10/5 20:28,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 20:20,2018/10/5 20:20,2018/10/5 20:31,2018/10/5 20:31,2018/10/5 20:20,0:07:49,0:07:49,,-00,,,
,2018/10/5 19:53,945,乗客アプリ（目的地から）,1331,1095,2,5,,2018/10/5 19:54,2018/10/5 20:01,35.45435 139.631762,横浜ロイヤルパークホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/5 19:56,2018/10/5 19:56,2018/10/5 20:07,2018/10/5 20:07,,0:06:47,0:33:55,,01,,,
,2018/10/5 19:58,947,乗客アプリ（地図から）,1155,447,6,1,,2018/10/5 20:03,2018/10/5 20:10,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/5 20:05,2018/10/5 20:05,2018/10/5 20:23,2018/10/5 20:23,,0:07:10,0:07:10,,05,,,
,2018/10/5 19:01,930,街角設置端末（店舗から）,0,1243,10,3,2018/10/5 19:28,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/5 19:08,,2018/10/5 19:27,,,,,,07,,,
,2018/10/5 19:14,933,乗客アプリ（地図から）,1280,1044,4,1,2018/10/5 19:14,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/5 19:40,,2018/10/5 19:59,,2018/10/5 19:40,,,,26,,,
,2018/10/5 19:20,935,乗客アプリ（目的地から）,1312,1177,2,1,2018/10/5 19:27,,,35.443908 139.635249,イセザキ・モール,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 19:24,,2018/10/5 19:38,,,,,,04,,,※177行と同一人物と思われるため一番短い待ち時間を採用
,2018/10/5 19:28,936,乗客アプリ（目的地から）,1312,960,3,1,2018/10/5 19:30,,,35.443908 139.635249,イセザキ・モール,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 19:37,,2018/10/5 19:51,,,,,,08,,,※176行と同一人物と思われるため一番短い待ち時間を採用
,2018/10/5 19:36,938,乗客アプリ（地図から）,1155,582,3,1,2018/10/5 19:36,,,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/5 19:38,,2018/10/5 20:12,,,,,,02,,,
,2018/10/5 19:39,939,乗客アプリ（目的地から）,1331,1277,2,5,2018/10/5 19:50,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/5 19:47,,2018/10/5 19:58,,,,,,07,,,
,2018/10/5 19:42,941,乗客アプリ（地図から）,1155,684,6,1,2018/10/5 19:48,,,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/5 19:45,,2018/10/5 20:03,,2018/10/5 19:44,,,,03,,,"※181,182行と同一人物と思われるため一番短い待ち時間を採用"
,2018/10/5 19:49,943,乗客アプリ（地図から）,1155,499,6,1,2018/10/5 19:53,,,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/5 19:52,,2018/10/5 20:10,,,,,,,,,"※180,182行と同一人物と思われるため一番短い待ち時間を採用"
,2018/10/5 19:53,946,乗客アプリ（地図から）,1155,420,6,1,2018/10/5 19:57,,,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/5 19:57,,2018/10/5 20:14,,,,,,,,,"※180,181行と同一人物と思われるため一番短い待ち時間を採用"
,2018/10/5 20:20,948,乗客アプリ（目的地から）,1238,1201,9,3,,2018/10/5 20:25,2018/10/5 20:36,35.443659 139.650847,横浜マリンタワー,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/5 20:28,2018/10/5 20:28,2018/10/5 20:59,2018/10/5 20:58,,0:11:10,0:33:30,161,04,06,,
,2018/10/5 20:21,949,乗客アプリ（目的地から）,1328,812,10,2,,2018/10/5 20:24,2018/10/5 20:46,35.443659 139.650847,横浜マリンタワー,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/5 20:27,2018/10/5 20:27,2018/10/5 20:56,2018/10/5 20:56,,0:21:53,0:43:46,,03,,,
,2018/10/5 20:25,950,乗客アプリ（目的地から）,1331,553,2,5,,2018/10/5 20:30,2018/10/5 20:37,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/5 20:32,2018/10/5 20:32,2018/10/5 20:50,2018/10/5 20:50,,0:06:46,0:33:50,,05,,,
,2018/10/5 20:26,951,街角設置端末（店舗から）,0,536,4,1,,2018/10/5 20:29,2018/10/5 20:35,35.453715 139.638133,横浜ワールドポーターズ,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 20:28,2018/10/5 20:28,2018/10/5 20:40,2018/10/5 20:40,,0:05:55,0:05:55,,02,,,
,2018/10/5 20:31,953,街角設置端末（店舗から）,0,743,7,1,,2018/10/5 20:36,2018/10/5 20:46,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 20:34,2018/10/5 20:34,2018/10/5 20:53,2018/10/5 20:53,,0:09:57,0:09:57,,05,,,
,2018/10/5 20:37,955,乗客アプリ（地図から）,1272,445,9,1,,2018/10/5 20:47,2018/10/5 20:54,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448676 139.635696,横浜平和プラザホテル,2018/10/5 20:50,2018/10/5 20:50,2018/10/5 21:03,2018/10/5 21:03,2018/10/5 20:50,0:07:18,0:07:18,,09,,,
,2018/10/5 20:42,956,乗客アプリ（目的地から）,1351,1093,7,2,,2018/10/5 20:50,2018/10/5 20:55,35.452963 139.642093,横浜赤レンガ倉庫,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 20:52,2018/10/5 20:52,2018/10/5 21:12,2018/10/5 21:12,,0:04:46,0:09:32,,08,,,
,2018/10/5 20:42,957,街角設置端末（店舗から）,0,1157,8,1,,2018/10/5 20:46,2018/10/5 20:59,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/5 20:44,2018/10/5 20:44,2018/10/5 21:01,2018/10/5 21:01,,0:12:16,0:12:16,,04,,,
,2018/10/5 20:55,958,街角設置端末（店舗から）,0,995,10,1,,2018/10/5 21:11,2018/10/5 21:17,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/5 21:15,2018/10/5 21:15,2018/10/5 21:24,2018/10/5 21:24,2018/10/5 21:15,0:05:49,0:05:49,,15,,,
,2018/10/5 20:28,952,乗客アプリ（地図から）,1230,1256,9,1,2018/10/5 20:28,,,35.452963 139.642093,横浜赤レンガ倉庫,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/5 20:37,,2018/10/5 20:56,,,,,,09,,,
,2018/10/5 20:31,954,乗客アプリ（地図から）,1203,1005,10,2,2018/10/5 20:43,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/5 20:37,,2018/10/5 20:43,,,,,,06,,,
★,2018/10/5 16:15,879,乗客アプリ（目的地から）,974,913,5,1,2018/10/5 16:15,,,35.443073 139.651914,横浜人形の家,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 20:57,,2018/10/5 21:20,,2018/10/5 20:57,,,,00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
