,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,,
★,-,11,2018/10/7 10:44,1210,乗客アプリ（目的地から）,1700,389,7,2,,2018/10/7 11:00,2018/10/7 11:10,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/7 11:05,2018/10/7 11:05,2018/10/7 11:20,2018/10/7 11:20,2018/10/7 11:05,0:10:27,0:20:54,272,00,00,05,,
-,-,11,2018/10/7 11:05,1218,乗客アプリ（地図から）,1621,710,1,4,,2018/10/7 11:08,2018/10/7 11:19,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 11:10,2018/10/7 11:10,2018/10/7 11:24,2018/10/7 11:24,,0:10:58,0:43:52,,00,03,,,
-,-,11,2018/10/7 11:08,1219,乗客アプリ（目的地から）,1896,546,4,1,,2018/10/7 11:14,2018/10/7 11:23,35.450447 139.635947,みなとみらい線　馬車道駅,35.443659 139.650847,横浜マリンタワー,2018/10/7 11:16,2018/10/7 11:16,2018/10/7 11:30,2018/10/7 11:30,,0:08:45,0:08:45,,00,06,,,
-,-,11,2018/10/7 11:10,1220,街角設置端末（地図から）,0,1199,9,1,,2018/10/7 11:15,2018/10/7 11:24,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.445783 139.642958,横浜情報文化センター,2018/10/7 11:17,2018/10/7 11:17,2018/10/7 11:36,2018/10/7 11:26,,0:09:05,0:09:05,,00,05,,,
-,-,11,2018/10/7 11:12,1221,乗客アプリ（目的地から）,1099,601,10,1,,2018/10/7 11:16,2018/10/7 11:22,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/10/7 11:19,2018/10/7 11:19,2018/10/7 11:30,2018/10/7 11:30,,0:05:38,0:05:38,,00,04,,,
-,-,11,2018/10/7 11:23,1224,乗客アプリ（目的地から）,1338,527,5,1,,2018/10/7 11:25,2018/10/7 11:39,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/7 11:29,2018/10/7 11:29,2018/10/7 11:51,2018/10/7 11:51,,0:13:17,0:13:17,,00,02,,,
-,-,11,2018/10/7 11:23,1225,街角設置端末（地図から）,0,911,9,1,,2018/10/7 11:29,2018/10/7 11:32,35.447541 139.644914,シルク博物館,35.443073 139.651914,横浜人形の家,2018/10/7 11:30,2018/10/7 11:30,2018/10/7 11:37,2018/10/7 11:37,,0:03:09,0:03:09,,00,05,,,
-,-,11,2018/10/7 11:21,1222,街角設置端末（地図から）,0,474,3,1,,2018/10/7 11:29,2018/10/7 11:40,35.452963 139.642093,横浜赤レンガ倉庫,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/7 11:25,2018/10/7 11:25,2018/10/7 11:44,2018/10/7 11:44,,0:10:07,0:10:07,,04,08,,,
-,-,11,2018/10/7 11:28,1227,乗客アプリ（地図から）,1706,1153,4,1,,2018/10/7 11:36,2018/10/7 11:47,35.441441 139.648505,横浜中華街朱雀門,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/7 11:35,2018/10/7 11:40,2018/10/7 11:53,2018/10/7 12:00,,0:11:17,0:11:17,,00,08,,,
-,-,11,2018/10/7 11:35,1231,乗客アプリ（目的地から）,960,1197,10,1,,2018/10/7 11:38,2018/10/7 11:47,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/7 11:41,2018/10/7 11:41,2018/10/7 11:55,2018/10/7 11:55,,0:08:35,0:08:35,,00,03,,,
