,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
-,☆,10,2018/10/11 10:38,2284,乗客アプリ（地図から）,989,1229,1,1,2018/10/11 10:38,,,35.447546 139.64358,横浜開港資料館,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/11 10:39,,2018/10/11 10:47,,,2018/10/11 10:38,0:00:00,0:00:00,,00,01,,,,
-,-,11,2018/10/11 11:02,2291,乗客アプリ（地図から）,1958,491,8,1,,2018/10/11 11:09,2018/10/11 11:20,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/11 11:09,2018/10/11 11:09,2018/10/11 11:31,2018/10/11 11:31,,2018/10/11 11:02,0:10:08,0:10:08,164,00,07,07,04,,
★,-,11,2018/10/11 11:07,2292,乗客アプリ（地図から）,2361,776,4,2,,2018/10/11 11:32,2018/10/11 11:49,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/11 11:30,2018/10/11 11:30,2018/10/11 11:51,2018/10/11 12:04,2018/10/11 11:30,2018/10/11 11:30,0:16:39,0:33:18,,02,02,,,,
-,-,11,2018/10/11 11:09,2293,街角設置端末（地図から）,0,923,2,2,,2018/10/11 11:13,2018/10/11 11:19,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/10/11 11:19,2018/10/11 11:19,2018/10/11 11:31,2018/10/11 11:31,,2018/10/11 11:09,0:06:11,0:12:22,,00,03,,,,
-,-,11,2018/10/11 11:10,2294,乗客アプリ（地図から）,2314,368,5,1,,2018/10/11 11:15,2018/10/11 11:21,35.450447 139.635947,みなとみらい線　馬車道駅,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/11 11:14,2018/10/11 11:14,2018/10/11 11:27,2018/10/11 11:27,,2018/10/11 11:10,0:05:50,0:05:50,,01,05,,,,
-,-,11,2018/10/11 11:19,2295,乗客アプリ（地図から）,1050,1069,9,1,,2018/10/11 11:24,2018/10/11 11:32,35.443863 139.64702,ローズホテル横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/11 11:24,2018/10/11 11:24,2018/10/11 11:48,2018/10/11 12:05,,2018/10/11 11:19,0:08:29,0:08:29,,00,04,,,,
★,-,11,2018/10/11 11:23,2296,乗客アプリ（目的地から）,1336,1217,4,1,,2018/10/11 11:38,2018/10/11 11:42,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/11 11:39,2018/10/11 11:39,2018/10/11 11:49,2018/10/11 11:49,2018/10/11 11:35,2018/10/11 11:35,0:04:26,0:04:26,,00,02,,,,
-,-,11,2018/10/11 11:26,2297,乗客アプリ（目的地から）,1330,868,9,1,,2018/10/11 12:04,2018/10/11 12:04,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.456605 139.635327,横浜ベイホテル東急,2018/10/11 11:33,2018/10/11 11:33,2018/10/11 11:53,2018/10/11 11:53,,2018/10/11 11:26,0:00:04,0:00:04,,31,38,,,,
-,-,11,2018/10/11 11:38,2299,街角設置端末（地図から）,0,924,5,1,,2018/10/11 11:41,2018/10/11 11:47,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/11 11:41,2018/10/11 11:41,2018/10/11 11:52,2018/10/11 11:52,,2018/10/11 11:38,0:06:45,0:06:45,,00,02,,,,
-,-,11,2018/10/11 11:41,2300,乗客アプリ（目的地から）,1050,531,8,1,,2018/10/11 11:49,2018/10/11 12:03,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/11 11:46,2018/10/11 11:46,2018/10/11 11:57,2018/10/11 12:05,,2018/10/11 11:41,0:13:38,0:13:38,,02,08,,,,
