,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
★,-,12,2018/10/20 11:32,4785,乗客アプリ（目的地から）,3412,826,7,3,,2018/10/20 12:07,2018/10/20 12:19,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/20 12:05,2018/10/20 12:05,2018/10/20 12:19,2018/10/20 12:19,2018/10/20 12:02,2018/10/20 12:02,0:12:36,0:37:48,,01,05,,,,,
★,-,12,2018/10/20 11:53,4788,乗客アプリ（地図から）,3258,909,6,1,,2018/10/20 12:22,2018/10/20 12:37,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/20 12:23,2018/10/20 12:23,2018/10/20 12:34,2018/10/20 12:40,2018/10/20 12:23,2018/10/20 12:23,0:15:08,0:15:08,,00,00,,,,,
-,-,12,2018/10/20 12:03,4793,まちかど設置端末（店舗から）,0,322,6,1,,2018/10/20 12:11,2018/10/20 12:24,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/20 12:14,2018/10/20 12:14,2018/10/20 12:25,2018/10/20 12:25,,2018/10/20 12:03,0:13:13,0:13:13,,00,08,,,,,
★,-,12,2018/10/20 12:03,4794,まちかど設置端末（店舗から）,0,1039,1,4,,2018/10/20 12:31,2018/10/20 12:40,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/20 12:31,2018/10/20 12:31,2018/10/20 12:49,2018/10/20 12:49,2018/10/20 12:31,2018/10/20 12:31,0:09:38,0:38:32,,00,00,,,,,
-,-,12,2018/10/20 12:06,4795,乗客アプリ（地図から）,3263,364,8,1,,2018/10/20 12:07,2018/10/20 12:14,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.447541 139.644914,シルク博物館,2018/10/20 12:09,2018/10/20 12:09,2018/10/20 12:18,2018/10/20 12:18,,2018/10/20 12:06,0:06:54,0:06:54,,00,01,,,,,
-,-,12,2018/10/20 12:08,4797,まちかど設置端末（地図から）,0,1003,5,3,,2018/10/20 12:12,2018/10/20 12:18,35.453715 139.638133,横浜ワールドポーターズ,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/20 12:14,2018/10/20 12:14,2018/10/20 12:25,2018/10/20 12:25,,2018/10/20 12:08,0:05:29,0:16:27,,00,04,,,,,
-,-,12,2018/10/20 12:08,4796,乗客アプリ（目的地から）,1964,450,10,3,,2018/10/20 12:14,2018/10/20 12:26,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/20 12:13,2018/10/20 12:15,2018/10/20 12:27,2018/10/20 12:37,,2018/10/20 12:08,0:12:47,0:38:21,,00,06,,,,,
-,-,12,2018/10/20 12:10,4798,乗客アプリ（地図から）,3393,611,10,1,,2018/10/20 12:17,2018/10/20 12:22,35.453715 139.638133,横浜ワールドポーターズ,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/20 12:21,2018/10/20 12:21,2018/10/20 12:32,2018/10/20 12:32,,2018/10/20 12:10,0:05:13,0:05:13,,00,06,,,,,
-,-,12,2018/10/20 12:16,4799,乗客アプリ（目的地から）,3496,747,8,5,,2018/10/20 12:22,2018/10/20 12:23,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/20 12:24,2018/10/20 12:24,2018/10/20 12:38,2018/10/20 12:38,,2018/10/20 12:16,0:01:19,0:06:35,,00,06,,,,,
★,-,12,2018/10/20 12:17,4800,まちかど設置端末（店舗から）,0,1214,7,1,,2018/10/20 12:47,2018/10/20 12:47,35.445783 139.642958,横浜情報文化センター,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/20 12:46,2018/10/20 12:46,2018/10/20 12:51,2018/10/20 12:51,2018/10/20 12:46,2018/10/20 12:46,0:00:07,0:00:07,,00,00,,,,,
-,-,12,2018/10/20 12:18,4801,乗客アプリ（地図から）,1666,420,6,1,,2018/10/20 12:19,2018/10/20 12:29,35.456605 139.635327,横浜ベイホテル東急,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/20 12:20,2018/10/20 12:20,2018/10/20 12:32,2018/10/20 12:32,,2018/10/20 12:18,0:10:08,0:10:08,,00,01,,,,,
-,-,12,2018/10/20 12:18,4802,乗客アプリ（目的地から）,3485,1189,7,3,,2018/10/20 12:22,2018/10/20 12:32,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/20 12:21,2018/10/20 12:21,2018/10/20 12:33,2018/10/20 12:33,,2018/10/20 12:18,0:09:43,0:29:09,,01,04,,,,,
-,-,12,2018/10/20 12:24,4803,まちかど設置端末（地図から）,0,702,9,2,,2018/10/20 12:31,2018/10/20 12:46,35.452963 139.642093,横浜赤レンガ倉庫,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/20 12:27,2018/10/20 12:28,2018/10/20 12:40,2018/10/20 12:48,,2018/10/20 12:24,0:15:26,0:30:52,,03,07,,,,,
