,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,計算用ダミー,,
-,-,16,2018/11/15 16:30,020-137-GREEN,14404,乗客アプリ（地図から）,4034,964,9,1,,2018/11/15 16:35,2018/11/15 16:42,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/15 16:35,2018/11/15 16:35,2018/11/15 16:48,2018/11/15 16:48,,2018/11/15 16:30,0:07:25,0:07:25,,00,04,,,2018/11/15 16:30,2018/11/15 16:42,43419.687543419.6958333333,#N/A,,,,
-,-,16,2018/11/15 16:30,166-560-agekke,14405,乗客アプリ（地図から）,5385,817,4,1,,2018/11/15 16:39,2018/11/15 16:52,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/15 16:39,2018/11/15 16:39,2018/11/15 16:58,2018/11/15 16:58,,2018/11/15 16:30,0:12:33,0:12:33,,00,09,,,2018/11/15 16:30,2018/11/15 16:52,43419.687543419.7027777778,#N/A,,,,
-,-,16,2018/11/15 16:36,002-806-BLUE 002-807-BLUE 008-515-BLUE,14408,まちかど端末（乗降ポイントから）,0,819,2,3,,2018/11/15 16:47,2018/11/15 16:53,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/15 16:46,2018/11/15 16:46,2018/11/15 16:56,2018/11/15 16:57,,2018/11/15 16:36,0:06:35,0:19:45,,00,10,,,2018/11/15 16:36,2018/11/15 16:53,43419.691666666743419.7034722222,#N/A,,,,
-,-,16,2018/11/15 16:36,109-885-SNOW 141-977-STAR,14410,乗客アプリ（地図から）,2643,504,6,2,,2018/11/15 16:49,2018/11/15 16:59,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/15 16:50,2018/11/15 16:50,2018/11/15 17:03,2018/11/15 17:03,,2018/11/15 16:36,0:10:23,0:20:46,,00,12,,,2018/11/15 16:36,2018/11/15 16:59,43419.691666666743419.7076388889,#N/A,,,,
-,-,16,2018/11/15 16:38,063-912-BANANA,14411,まちかど端末（乗降ポイントから）,0,713,2,1,,2018/11/15 16:47,2018/11/15 17:03,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447541 139.644914,シルク博物館,2018/11/15 16:48,2018/11/15 16:48,2018/11/15 17:10,2018/11/15 17:10,,2018/11/15 16:38,0:16:26,0:16:26,,00,09,,,2018/11/15 16:38,2018/11/15 17:03,43419.693055555643419.7104166667,#N/A,,,,
-,-,16,2018/11/15 16:39,166-745-agekke,14412,乗客アプリ（目的地から）,1888,928,1,1,,2018/11/15 16:49,2018/11/15 16:58,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/11/15 16:51,2018/11/15 16:51,2018/11/15 17:03,2018/11/15 17:03,,2018/11/15 16:39,0:08:19,0:08:19,,00,09,,,2018/11/15 16:39,2018/11/15 16:58,43419.6937543419.7069444444,#N/A,,,,
-,-,16,2018/11/15 16:41,106-006-SNOW 106-003-SNOW,14413,乗客アプリ（地図から）,2303,114,5,2,,2018/11/15 16:49,2018/11/15 16:56,35.445783 139.642958,横浜情報文化センター,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/15 16:49,2018/11/15 16:49,2018/11/15 17:05,2018/11/15 17:05,,2018/11/15 16:41,0:07:25,0:14:50,,00,07,,,2018/11/15 16:41,2018/11/15 16:56,43419.695138888943419.7055555556,#N/A,,,,
-,-,16,2018/11/15 16:41,064-212-BANANA,14414,乗客アプリ（地図から）,6248,962,13,1,,2018/11/15 16:46,2018/11/15 17:09,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/15 16:49,2018/11/15 16:49,2018/11/15 17:06,2018/11/15 17:17,,2018/11/15 16:41,0:23:11,0:23:11,,00,04,,,2018/11/15 16:41,2018/11/15 17:09,43419.695138888943419.7145833333,#N/A,,,,
-,-,16,2018/11/15 16:42,102-669-SNOW 102-670-SNOW 102-671-SNOW,14417,乗客アプリ（地図から）,4592,324,10,3,,2018/11/15 16:56,2018/11/15 17:05,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/15 16:55,2018/11/15 16:55,2018/11/15 17:09,2018/11/15 17:10,,2018/11/15 16:42,0:08:47,0:26:21,,00,13,,,2018/11/15 16:42,2018/11/15 17:05,43419.695833333343419.7118055556,#N/A,,,,
-,-,16,2018/11/15 16:43,118-174-SUN,14418,乗客アプリ（地図から）,5567,479,7,1,,2018/11/15 16:50,2018/11/15 16:58,35.450554 139.632616,横浜桜木町ワシントンホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/15 16:52,2018/11/15 16:52,2018/11/15 17:04,2018/11/15 17:04,,2018/11/15 16:43,0:08:21,0:08:21,,00,07,,,2018/11/15 16:43,2018/11/15 16:58,43419.696527777843419.7069444444,#N/A,,,,
-,-,16,2018/11/15 16:44,050-574-STRAWBERRY 050-575-STRAWBERRY 050-573-STRAWBERRY 050-576-STRAWBERRY,14419,まちかど端末（店舗から）,0,236,8,4,,2018/11/15 17:09,2018/11/15 17:19,35.453715 139.638133,横浜ワールドポーターズ,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 17:03,2018/11/15 17:03,2018/11/15 17:20,2018/11/15 17:20,,2018/11/15 16:44,0:10:13,0:40:52,,06,24,,,2018/11/15 16:44,2018/11/15 17:19,43419.697222222243419.7215277778,#N/A,,,,
-,-,16,2018/11/15 16:45,020-970-GREEN,14420,乗客アプリ（簡単予約）,6283,994,13,1,,2018/11/15 16:47,2018/11/15 16:49,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443659 139.650847,横浜マリンタワー,2018/11/15 16:50,2018/11/15 16:50,2018/11/15 16:53,2018/11/15 16:53,,2018/11/15 16:45,0:01:49,0:01:49,,00,02,,,2018/11/15 16:45,2018/11/15 16:49,43419.697916666743419.7006944444,肯定的,,,,
-,-,16,2018/11/15 16:45,056-171-STRAWBERRY,14421,乗客アプリ（目的地から）,3428,38,13,1,,2018/11/15 16:49,2018/11/15 16:55,35.443659 139.650847,横浜マリンタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/15 16:53,2018/11/15 16:53,2018/11/15 17:00,2018/11/15 17:02,,2018/11/15 16:45,0:05:36,0:05:36,,00,03,,,2018/11/15 16:45,2018/11/15 16:55,43419.697916666743419.7048611111,#N/A,,,,
★,-,16,2018/11/15 16:49,030-505-YELLOW,14422,乗客アプリ（地図から）,6266,978,13,1,,2018/11/15 16:53,2018/11/15 17:06,35.447541 139.644914,シルク博物館,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 16:59,2018/11/15 16:59,2018/11/15 17:20,2018/11/15 17:20,2018/11/15 16:59,2018/11/15 16:59,0:13:39,0:13:39,,00,00,,,2018/11/15 16:49,2018/11/15 17:06,43419.700694444443419.7125,#N/A,,,,
-,-,16,2018/11/15 16:51,024-237-GREEN,14423,まちかど端末（乗降ポイントから）,0,120,3,1,,2018/11/15 16:53,2018/11/15 16:57,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/15 16:52,2018/11/15 16:53,2018/11/15 16:59,2018/11/15 17:00,,2018/11/15 16:51,0:04:38,0:04:38,,00,02,,,2018/11/15 16:51,2018/11/15 16:57,43419.702083333343419.70625,#N/A,,,,
-,-,16,2018/11/15 16:51,064-258-BANANA 024-533-GREEN,14424,乗客アプリ（目的地から）,4745,266,3,2,,2018/11/15 16:58,2018/11/15 17:06,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/15 17:00,2018/11/15 17:00,2018/11/15 17:14,2018/11/15 17:14,,2018/11/15 16:51,0:08:08,0:16:16,,00,06,,,2018/11/15 16:51,2018/11/15 17:06,43419.702083333343419.7125,#N/A,,,,
-,-,16,2018/11/15 16:53,024-972-GREEN,14426,まちかど端末（店舗から）,0,995,10,1,,2018/11/15 16:56,2018/11/15 17:02,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.456605 139.635327,横浜ベイホテル東急,2018/11/15 16:57,2018/11/15 16:57,2018/11/15 17:17,2018/11/15 17:17,,2018/11/15 16:53,0:05:58,0:05:58,,00,03,,,2018/11/15 16:53,2018/11/15 17:02,43419.703472222243419.7097222222,#N/A,,,,
-,-,16,2018/11/15 16:55,018-856-RED,14427,乗客アプリ（地図から）,1949,674,11,1,,2018/11/15 17:02,2018/11/15 17:13,35.441002 139.650809,横浜元町ショッピングストリート,35.454389 139.630904,横浜ランドマークタワー,2018/11/15 17:01,2018/11/15 17:01,2018/11/15 17:21,2018/11/15 17:21,,2018/11/15 16:55,0:11:12,0:11:12,,01,06,,,2018/11/15 16:55,2018/11/15 17:13,43419.704861111143419.7173611111,#N/A,,,,
★,☆,16,2018/11/15 16:27,020-137-GREEN,14395,乗客アプリ（地図から）,4034,423,8,1,2018/11/15 16:27,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/15 16:37,,2018/11/15 16:49,,2018/11/15 16:37,2018/11/15 16:37,0:00:00,0:00:00,,00,00,,,2018/11/15 16:27,1900/1/0 0:00,43419.68541666670,#N/A,,,※259行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,16,2018/11/15 16:29,020-137-GREEN,14401,乗客アプリ（地図から）,4034,778,9,1,2018/11/15 16:29,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/15 16:37,,2018/11/15 16:49,,,2018/11/15 16:29,0:00:00,0:00:00,,00,,,,2018/11/15 16:29,1900/1/0 0:00,43419.68680555560,#N/A,,,※258行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,16,2018/11/15 16:32,014-957-RED,14407,乗客アプリ（地図から）,1756,960,9,1,2018/11/15 16:56,,,35.441002 139.650809,横浜元町ショッピングストリート,35.445783 139.642958,横浜情報文化センター,2018/11/15 16:51,,2018/11/15 16:59,,,2018/11/15 16:32,0:00:00,0:00:00,,00,23,,,2018/11/15 16:32,1900/1/0 0:00,43419.68888888890,#N/A,,,,
-,☆,16,2018/11/15 16:42,102-669-SNOW,14415,乗客アプリ（地図から）,4592,877,10,1,2018/11/15 16:42,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/15 16:55,,2018/11/15 17:07,,,2018/11/15 16:42,0:00:00,0:00:00,,00,13,,,2018/11/15 16:42,1900/1/0 0:00,43419.69583333330,#N/A,,,,
-,☆,16,2018/11/15 16:42,118-174-SUN,14416,乗客アプリ（地図から）,5567,868,8,1,2018/11/15 16:42,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 16:51,,2018/11/15 17:00,,,2018/11/15 16:42,0:00:00,0:00:00,,00,09,,,2018/11/15 16:42,1900/1/0 0:00,43419.69583333330,#N/A,,,,
-,☆,16,2018/11/15 16:52,167-689-CAKE,14425,乗客アプリWeb（地図から）,6311,731,11,1,2018/11/15 16:52,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 16:58,,2018/11/15 17:03,,,2018/11/15 16:52,0:00:00,0:00:00,,00,06,,,2018/11/15 16:52,1900/1/0 0:00,43419.70277777780,#N/A,,,,
★,-,17,2018/11/15 16:31,022-115-GREEN,14406,乗客アプリ（目的地から）,1325,311,7,1,,2018/11/15 17:30,2018/11/15 17:36,35.450554 139.632616,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/11/15 17:31,2018/11/15 17:31,2018/11/15 17:40,2018/11/15 17:40,2018/11/15 17:31,2018/11/15 17:31,0:05:32,0:05:32,505,00,00,13,08,2018/11/15 16:31,2018/11/15 17:36,43419.688194444443419.7333333333,肯定的,,,,
★,-,17,2018/11/15 16:36,101-800-SNOW 101-801-SNOW,14409,乗客アプリ（簡単予約）,2518,323,9,2,,2018/11/15 17:34,2018/11/15 17:48,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/15 17:36,2018/11/15 17:36,2018/11/15 17:49,2018/11/15 17:49,2018/11/15 17:36,2018/11/15 17:36,0:13:20,0:26:40,,00,00,,,2018/11/15 16:36,2018/11/15 17:48,43419.691666666743419.7416666667,#N/A,,,,
★,-,17,2018/11/15 16:56,024-286-GREEN 024-285-GREEN,14428,乗客アプリ（地図から）,6191,846,9,2,,2018/11/15 17:05,2018/11/15 17:12,35.445857 139.647636,ホテルモントレ横浜,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/15 17:06,2018/11/15 17:06,2018/11/15 17:12,2018/11/15 17:12,2018/11/15 17:06,2018/11/15 17:06,0:06:52,0:13:44,,00,00,,,2018/11/15 16:56,2018/11/15 17:12,43419.705555555643419.7166666667,#N/A,,,,
-,-,17,2018/11/15 17:02,004-627-BLUE 018-939-RED,14429,まちかど端末（店舗から）,0,826,4,2,,2018/11/15 17:06,2018/11/15 17:12,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 17:08,2018/11/15 17:08,2018/11/15 17:19,2018/11/15 17:19,,2018/11/15 17:02,0:05:43,0:11:26,,00,04,,,2018/11/15 17:02,2018/11/15 17:12,43419.709722222243419.7166666667,#N/A,,,,
-,-,17,2018/11/15 17:03,026-494-GREEN 026-493-GREEN,14430,乗客アプリ（地図から）,6063,639,2,2,,2018/11/15 17:09,2018/11/15 17:21,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454389 139.630904,横浜ランドマークタワー,2018/11/15 17:12,2018/11/15 17:12,2018/11/15 17:26,2018/11/15 17:26,,2018/11/15 17:03,0:11:57,0:23:54,,00,05,,,2018/11/15 17:03,2018/11/15 17:21,43419.710416666743419.7229166667,#N/A,,,,
-,-,17,2018/11/15 17:05,113-217-SUN,14431,乗客アプリ（地図から）,5134,40,10,1,,2018/11/15 17:20,2018/11/15 17:31,35.443704 139.651332,ホテルメルパルク横浜,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/15 17:20,2018/11/15 17:20,2018/11/15 17:36,2018/11/15 17:36,,2018/11/15 17:05,0:11:00,0:11:00,,00,15,,,2018/11/15 17:05,2018/11/15 17:31,43419.711805555643419.7298611111,#N/A,,,,
-,-,17,2018/11/15 17:06,020-970-GREEN,14433,乗客アプリ（目的地から）,6283,394,5,1,,2018/11/15 17:13,2018/11/15 17:23,35.443659 139.650847,横浜マリンタワー,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/15 17:17,2018/11/15 17:17,2018/11/15 17:32,2018/11/15 17:32,,2018/11/15 17:06,0:10:03,0:10:03,,00,06,,,2018/11/15 17:06,2018/11/15 17:23,43419.712543419.7243055556,#N/A,,,,
-,-,17,2018/11/15 17:07,015-227-RED,14434,乗客アプリ（目的地から）,3401,544,6,1,,2018/11/15 17:17,2018/11/15 17:27,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/11/15 17:16,2018/11/15 17:16,2018/11/15 17:31,2018/11/15 17:31,,2018/11/15 17:07,0:10:11,0:10:11,,00,09,,,2018/11/15 17:07,2018/11/15 17:27,43419.713194444443419.7270833333,#N/A,,,,
★,-,17,2018/11/15 17:12,068-473-BANANA,14435,乗客アプリ（目的地から）,6255,530,11,1,,2018/11/15 17:21,2018/11/15 17:28,35.454389 139.630904,横浜ランドマークタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/15 17:22,2018/11/15 17:22,2018/11/15 17:34,2018/11/15 17:34,2018/11/15 17:22,2018/11/15 17:22,0:06:57,0:06:57,,00,00,,,2018/11/15 17:12,2018/11/15 17:28,43419.716666666743419.7277777778,#N/A,,,,
-,-,17,2018/11/15 17:14,029-588-GREEN,14436,まちかど端末（乗降ポイントから）,0,117,4,1,,2018/11/15 17:18,2018/11/15 17:28,35.447541 139.644914,シルク博物館,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 17:17,2018/11/15 17:17,2018/11/15 17:28,2018/11/15 17:28,,2018/11/15 17:14,0:10:22,0:10:22,,01,03,,,2018/11/15 17:14,2018/11/15 17:28,43419.718055555643419.7277777778,#N/A,,,,
-,-,17,2018/11/15 17:16,018-931-RED,14437,まちかど端末（乗降ポイントから）,0,146,13,1,,2018/11/15 17:18,2018/11/15 17:24,35.452963 139.642093,横浜赤レンガ倉庫,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 17:18,2018/11/15 17:18,2018/11/15 17:30,2018/11/15 17:30,,2018/11/15 17:16,0:05:50,0:05:50,,00,01,,,2018/11/15 17:16,2018/11/15 17:24,43419.719444444443419.725,#N/A,,,,
-,-,17,2018/11/15 17:21,117-678-SUN 117-677-SUN 117-679-SUN,14438,乗客アプリ（目的地から）,6296,16,8,3,,2018/11/15 17:23,2018/11/15 17:36,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 17:22,2018/11/15 17:22,2018/11/15 17:36,2018/11/15 17:46,,2018/11/15 17:21,0:12:36,0:37:48,,00,02,,,2018/11/15 17:21,2018/11/15 17:36,43419.722916666743419.7333333333,#N/A,,,,
-,-,17,2018/11/15 17:22,063-633-BANANA,14439,乗客アプリ（地図から）,3333,724,5,1,,2018/11/15 17:31,2018/11/15 17:45,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/15 17:32,2018/11/15 17:32,2018/11/15 17:52,2018/11/15 17:52,,2018/11/15 17:22,0:13:36,0:13:36,,00,09,,,2018/11/15 17:22,2018/11/15 17:45,43419.723611111143419.7395833333,#N/A,,,,
-,-,17,2018/11/15 17:23,063-912-BANANA,14440,まちかど端末（乗降ポイントから）,0,716,8,1,,2018/11/15 17:27,2018/11/15 17:36,35.443704 139.651332,ホテルメルパルク横浜,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 17:31,2018/11/15 17:31,2018/11/15 17:45,2018/11/15 17:45,,2018/11/15 17:23,0:08:50,0:08:50,,00,03,,,2018/11/15 17:23,2018/11/15 17:36,43419.724305555643419.7333333333,#N/A,,,,
★,-,17,2018/11/15 17:23,062-664-BANANA 070-791-ORANGE 070-790-ORANGE,14441,乗客アプリ（目的地から）,5476,122,13,3,,2018/11/15 17:31,2018/11/15 17:44,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/15 17:33,2018/11/15 17:33,2018/11/15 17:47,2018/11/15 17:47,2018/11/15 17:33,2018/11/15 17:33,0:13:00,0:39:00,,00,00,,,2018/11/15 17:23,2018/11/15 17:44,43419.724305555643419.7388888889,#N/A,,,,
-,-,17,2018/11/15 17:28,110-542-SUN 110-541-SUN 110-545-SUN,14445,乗客アプリ（簡単予約）,3545,590,11,3,,2018/11/15 17:36,2018/11/15 17:45,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.443908 139.635249,イセザキ・モール,2018/11/15 17:39,2018/11/15 17:39,2018/11/15 17:52,2018/11/15 17:52,,2018/11/15 17:28,0:09:15,0:27:45,,00,08,,,2018/11/15 17:28,2018/11/15 17:45,43419.727777777843419.7395833333,#N/A,,,,
-,-,17,2018/11/15 17:31,063-942-BANANA,14446,乗客アプリ（地図から）,2312,11,6,1,,2018/11/15 17:35,2018/11/15 17:43,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.445783 139.642958,横浜情報文化センター,2018/11/15 17:39,2018/11/15 17:39,2018/11/15 17:52,2018/11/15 17:52,,2018/11/15 17:31,0:08:45,0:08:45,,00,03,,,2018/11/15 17:31,2018/11/15 17:43,43419.729861111143419.7381944444,#N/A,,,,
-,-,17,2018/11/15 17:32,024-233-GREEN,14449,まちかど端末（店舗から）,0,668,10,1,,2018/11/15 17:43,2018/11/15 17:58,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/15 17:46,2018/11/15 17:46,2018/11/15 18:05,2018/11/15 18:09,,2018/11/15 17:32,0:14:33,0:14:33,,00,10,,,2018/11/15 17:32,2018/11/15 17:58,43419.730555555643419.7486111111,#N/A,,,,
-,-,17,2018/11/15 17:35,009-842-BLUE,14451,乗客アプリ（地図から）,2535,435,8,1,,2018/11/15 17:36,2018/11/15 17:46,35.450554 139.632616,横浜桜木町ワシントンホテル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/15 17:37,2018/11/15 17:37,2018/11/15 17:50,2018/11/15 17:50,,2018/11/15 17:35,0:10:05,0:10:05,,00,01,,,2018/11/15 17:35,2018/11/15 17:46,43419.732638888943419.7402777778,肯定的,,,,
★,-,17,2018/11/15 17:36,019-813-RED,14452,乗客アプリ（簡単予約）,5351,278,9,1,,2018/11/15 17:42,2018/11/15 17:57,35.445783 139.642958,横浜情報文化センター,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 17:46,2018/11/15 17:46,2018/11/15 18:09,2018/11/15 18:09,2018/11/15 17:46,2018/11/15 17:46,0:14:53,0:14:53,,00,00,,,2018/11/15 17:36,2018/11/15 17:57,43419.733333333343419.7479166667,#N/A,,,,
★,-,17,2018/11/15 17:36,008-321-BLUE,14453,乗客アプリ（地図から）,3048,1000,7,1,,2018/11/15 17:43,2018/11/15 17:57,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 17:48,2018/11/15 17:48,2018/11/15 18:06,2018/11/15 18:06,2018/11/15 17:46,2018/11/15 17:46,0:14:19,0:14:19,,00,00,,,2018/11/15 17:36,2018/11/15 17:57,43419.733333333343419.7479166667,#N/A,,,,
-,-,17,2018/11/15 17:37,020-353-GREEN,14454,まちかど端末（乗降ポイントから）,0,603,10,1,,2018/11/15 17:48,2018/11/15 17:56,35.454389 139.630904,横浜ランドマークタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/15 17:50,2018/11/15 17:51,2018/11/15 18:05,2018/11/15 18:07,,2018/11/15 17:37,0:07:59,0:07:59,,00,10,,,2018/11/15 17:37,2018/11/15 17:56,43419.734027777843419.7472222222,#N/A,,,,
-,-,17,2018/11/15 17:38,073-828-ORANGE 073-829-ORANGE,14455,乗客アプリ（目的地から）,3696,92,6,2,,2018/11/15 17:48,2018/11/15 17:55,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443659 139.650847,横浜マリンタワー,2018/11/15 17:47,2018/11/15 17:47,2018/11/15 17:55,2018/11/15 17:55,,2018/11/15 17:38,0:06:50,0:13:40,,01,09,,,2018/11/15 17:38,2018/11/15 17:55,43419.734722222243419.7465277778,肯定的,,,,
★,-,17,2018/11/15 17:40,020-970-GREEN,14457,乗客アプリ（簡単予約）,6283,973,8,1,,2018/11/15 17:56,2018/11/15 18:00,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.456605 139.635327,横浜ベイホテル東急,2018/11/15 17:59,2018/11/15 17:59,2018/11/15 18:14,2018/11/15 18:14,2018/11/15 17:50,2018/11/15 17:50,0:04:12,0:04:12,,00,05,,,2018/11/15 17:40,2018/11/15 18:00,43419.736111111143419.75,#N/A,,,,
-,-,17,2018/11/15 17:41,024-973-GREEN,14458,まちかど端末（店舗から）,0,511,11,1,,2018/11/15 17:55,2018/11/15 18:02,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/15 17:57,2018/11/15 17:57,2018/11/15 18:08,2018/11/15 18:08,,2018/11/15 17:41,0:07:20,0:07:20,,00,14,,,2018/11/15 17:41,2018/11/15 18:02,43419.736805555643419.7513888889,#N/A,,,,
-,-,17,2018/11/15 17:43,019-016-RED,14461,まちかど端末（乗降ポイントから）,0,248,13,1,,2018/11/15 17:50,2018/11/15 17:55,35.454389 139.630904,横浜ランドマークタワー,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 17:53,2018/11/15 17:53,2018/11/15 18:01,2018/11/15 18:01,,2018/11/15 17:43,0:04:10,0:04:10,,00,07,,,2018/11/15 17:43,2018/11/15 17:55,43419.738194444443419.7465277778,#N/A,,,,
-,-,17,2018/11/15 17:47,069-452-BANANA,14465,乗客アプリ（簡単予約）,6292,665,13,1,,2018/11/15 18:01,2018/11/15 18:34,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 18:08,2018/11/15 18:08,2018/11/15 18:22,2018/11/15 18:36,,2018/11/15 17:47,0:33:04,0:33:04,,00,14,,,2018/11/15 17:47,2018/11/15 18:34,43419.740972222243419.7736111111,#N/A,,,,
-,-,17,2018/11/15 17:48,066-441-BANANA 066-442-BANANA,14467,乗客アプリ（目的地から）,3607,913,10,2,,2018/11/15 18:11,2018/11/15 18:14,35.441441 139.648505,横浜中華街朱雀門,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/15 18:12,2018/11/15 18:12,2018/11/15 18:26,2018/11/15 18:26,,2018/11/15 17:48,0:03:39,0:07:18,,00,23,,,2018/11/15 17:48,2018/11/15 18:14,43419.741666666743419.7597222222,#N/A,,,,
-,-,17,2018/11/15 17:48,020-932-GREEN 062-658-BANANA,14468,乗客アプリ（地図から）,6233,616,9,2,,2018/11/15 18:00,2018/11/15 18:24,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441441 139.648505,横浜中華街朱雀門,2018/11/15 18:04,2018/11/15 18:04,2018/11/15 18:25,2018/11/15 18:29,,2018/11/15 17:48,0:23:55,0:47:50,,00,12,,,2018/11/15 17:48,2018/11/15 18:24,43419.741666666743419.7666666667,#N/A,,,,
-,-,17,2018/11/15 17:48,021-096-GREEN,14469,乗客アプリ（地図から）,5898,649,1,1,,2018/11/15 18:07,2018/11/15 18:21,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/11/15 18:11,2018/11/15 18:11,2018/11/15 18:27,2018/11/15 18:24,,2018/11/15 17:48,0:14:34,0:14:34,,00,18,,,2018/11/15 17:48,2018/11/15 18:21,43419.741666666743419.7645833333,#N/A,,,,
-,-,17,2018/11/15 17:57,021-211-GREEN,14482,乗客アプリ（簡単予約）,2736,451,9,1,,2018/11/15 18:00,2018/11/15 18:24,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/15 18:10,2018/11/15 18:10,2018/11/15 18:28,2018/11/15 18:28,,2018/11/15 17:57,0:23:29,0:23:29,,00,03,,,2018/11/15 17:57,2018/11/15 18:24,43419.747916666743419.7666666667,#N/A,,,,
