,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,計算用ダミー,
-,☆,10,2018/11/8 10:19,021-341-GREEN,10942,乗客アプリ（地図から）,2137,176,10,1,2018/11/8 10:20,,,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/11/8 10:42,,2018/11/8 10:51,,,2018/11/8 10:19,0:00:00,0:00:00,,00,22,,,2018/11/8 10:19,1900/1/0 0:00,43412.42986111110,#N/A,,,
★,-,11,2018/11/8 10:18,019-638-RED,10939,乗客アプリ（目的地から）,5352,182,10,1,,2018/11/8 11:17,2018/11/8 11:23,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/8 11:18,2018/11/8 11:18,2018/11/8 11:23,2018/11/8 11:23,2018/11/8 11:18,2018/11/8 11:18,0:05:49,0:05:49,296,00,00,06,06,2018/11/8 10:18,2018/11/8 11:23,43412.429166666743412.4743055556,肯定的,,,
★,-,11,2018/11/8 11:00,002-197-BLUE,10959,乗客アプリ（目的地から）,2760,948,1,1,,2018/11/8 11:08,2018/11/8 11:20,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/8 11:10,2018/11/8 11:10,2018/11/8 11:20,2018/11/8 11:20,2018/11/8 11:10,2018/11/8 11:10,0:12:14,0:12:14,,00,00,,,2018/11/8 11:00,2018/11/8 11:20,43412.458333333343412.4722222222,肯定的,,,
-,-,11,2018/11/8 11:00,064-717-BANANA 109-630-SNOW,10960,乗客アプリ（目的地から）,3349,903,8,2,,2018/11/8 11:05,2018/11/8 11:14,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/8 11:04,2018/11/8 11:04,2018/11/8 11:16,2018/11/8 11:16,,2018/11/8 11:00,0:08:49,0:17:38,,01,04,,,2018/11/8 11:00,2018/11/8 11:14,43412.458333333343412.4680555556,#N/A,,,
-,-,11,2018/11/8 11:03,025-706-GREEN 025-705-GREEN,10961,乗客アプリ（地図から）,3428,246,11,2,,2018/11/8 11:07,2018/11/8 11:15,35.443659 139.650847,横浜マリンタワー,35.448676 139.635696,横浜平和プラザホテル,2018/11/8 11:07,2018/11/8 11:07,2018/11/8 11:16,2018/11/8 11:16,,2018/11/8 11:03,0:08:36,0:17:12,,00,04,,,2018/11/8 11:03,2018/11/8 11:15,43412.460416666743412.46875,#N/A,,,
-,-,11,2018/11/8 11:06,104-163-SNOW 104-156-SNOW,10962,乗客アプリ（目的地から）,5490,980,2,2,,2018/11/8 11:14,2018/11/8 11:22,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 11:14,2018/11/8 11:14,2018/11/8 11:24,2018/11/8 11:24,,2018/11/8 11:06,0:08:05,0:16:10,,00,07,,,2018/11/8 11:06,2018/11/8 11:22,43412.462543412.4736111111,#N/A,,,
-,-,11,2018/11/8 11:07,022-373-GREEN,10963,まちかど端末（乗降ポイントから）,0,955,5,1,,2018/11/8 11:14,2018/11/8 11:23,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/8 11:14,2018/11/8 11:14,2018/11/8 11:24,2018/11/8 11:24,,2018/11/8 11:07,0:09:01,0:09:01,,00,07,,,2018/11/8 11:07,2018/11/8 11:23,43412.463194444443412.4743055556,#N/A,,,
-,-,11,2018/11/8 11:08,024-480-GREEN 024-479-GREEN,10964,乗客アプリ（地図から）,2892,11,3,2,,2018/11/8 11:15,2018/11/8 11:24,35.445783 139.642958,横浜情報文化センター,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/8 11:13,2018/11/8 11:13,2018/11/8 11:25,2018/11/8 11:25,,2018/11/8 11:08,0:08:42,0:17:24,,02,07,,,2018/11/8 11:08,2018/11/8 11:24,43412.463888888943412.475,#N/A,,,
-,-,11,2018/11/8 11:12,019-354-RED,10967,乗客アプリ（目的地から）,5492,76,6,1,,2018/11/8 11:34,2018/11/8 11:41,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/8 11:25,2018/11/8 11:25,2018/11/8 11:36,2018/11/8 11:36,,2018/11/8 11:12,0:07:28,0:07:28,,08,22,,,2018/11/8 11:12,2018/11/8 11:41,43412.466666666743412.4868055556,肯定的,,,
-,-,11,2018/11/8 11:13,019-543-RED,10968,まちかど端末（乗降ポイントから）,0,894,10,1,,2018/11/8 11:21,2018/11/8 11:43,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447541 139.644914,シルク博物館,2018/11/8 11:18,2018/11/8 11:18,2018/11/8 11:33,2018/11/8 11:33,,2018/11/8 11:13,0:22:07,0:22:07,,02,07,,,2018/11/8 11:13,2018/11/8 11:43,43412.467361111143412.4881944444,#N/A,,,
-,-,11,2018/11/8 11:16,052-194-STRAWBERRY,10969,まちかど端末（店舗から）,0,45,11,1,,2018/11/8 11:20,2018/11/8 11:27,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/8 11:22,2018/11/8 11:22,2018/11/8 11:30,2018/11/8 11:30,,2018/11/8 11:16,0:07:30,0:07:30,,00,03,,,2018/11/8 11:16,2018/11/8 11:27,43412.469444444443412.4770833333,#N/A,,,
-,-,11,2018/11/8 11:18,070-269-ORANGE,10970,乗客アプリ（地図から）,4409,789,9,1,,2018/11/8 11:26,2018/11/8 11:30,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 11:22,2018/11/8 11:22,2018/11/8 11:26,2018/11/8 11:26,,2018/11/8 11:18,0:03:52,0:03:52,,04,07,,,2018/11/8 11:18,2018/11/8 11:30,43412.470833333343412.4791666667,肯定的,,,
-,-,11,2018/11/8 11:19,103-425-SNOW,10971,乗客アプリ（目的地から）,5387,134,4,1,,2018/11/8 11:27,2018/11/8 11:35,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.447546 139.64358,横浜開港資料館,2018/11/8 11:27,2018/11/8 11:27,2018/11/8 11:38,2018/11/8 11:38,,2018/11/8 11:19,0:08:47,0:08:47,,00,07,,,2018/11/8 11:19,2018/11/8 11:35,43412.471527777843412.4826388889,肯定的,,,
-,-,11,2018/11/8 11:20,113-639-SUN,10972,まちかど端末（店舗から）,0,806,8,1,,2018/11/8 11:24,2018/11/8 11:29,35.445783 139.642958,横浜情報文化センター,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/8 11:23,2018/11/8 11:23,2018/11/8 11:32,2018/11/8 11:32,,2018/11/8 11:20,0:05:04,0:05:04,,00,03,,,2018/11/8 11:20,2018/11/8 11:29,43412.472222222243412.4784722222,#N/A,,,
-,-,11,2018/11/8 11:23,166-692-agekke,10973,まちかど端末（乗降ポイントから）,0,634,5,1,,2018/11/8 11:23,2018/11/8 11:33,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443073 139.651914,横浜人形の家,2018/11/8 11:24,2018/11/8 11:24,2018/11/8 11:31,2018/11/8 11:31,,2018/11/8 11:23,0:09:22,0:09:22,,00,00,,,2018/11/8 11:23,2018/11/8 11:33,43412.474305555643412.48125,#N/A,,,
