,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,計算用ダミー,
-,-,13,2018/11/8 13:14,017-298-RED 017-299-RED,11030,まちかど端末（店舗から）,0,4,1,2,,2018/11/8 13:26,2018/11/8 13:35,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/8 13:25,2018/11/8 13:25,2018/11/8 13:42,2018/11/8 13:42,,2018/11/8 13:14,0:08:33,0:17:06,,01,12,,,2018/11/8 13:14,2018/11/8 13:35,43412.551388888943412.5659722222,#N/A,,,
-,-,13,2018/11/8 13:22,103-425-SNOW,11034,乗客アプリ（地図から）,5387,998,9,1,,2018/11/8 13:26,2018/11/8 13:41,35.441441 139.648505,横浜中華街朱雀門,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/8 13:25,2018/11/8 13:25,2018/11/8 13:46,2018/11/8 13:46,,2018/11/8 13:22,0:15:09,0:15:09,,01,04,,,2018/11/8 13:22,2018/11/8 13:41,43412.556944444443412.5701388889,肯定的,,,
-,-,13,2018/11/8 13:23,064-537-BANANA 061-364-BANANA,11036,乗客アプリ（地図から）,5512,382,2,2,,2018/11/8 13:33,2018/11/8 13:44,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 13:32,2018/11/8 13:32,2018/11/8 13:52,2018/11/8 13:52,,2018/11/8 13:23,0:10:11,0:20:22,,01,10,,,2018/11/8 13:23,2018/11/8 13:44,43412.557638888943412.5722222222,#N/A,,,
-,-,13,2018/11/8 13:27,166-638-agekke,11037,乗客アプリ（目的地から）,3162,549,11,1,,2018/11/8 13:31,2018/11/8 13:41,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 13:32,2018/11/8 13:32,2018/11/8 13:50,2018/11/8 13:50,,2018/11/8 13:27,0:10:23,0:10:23,,00,03,,,2018/11/8 13:27,2018/11/8 13:41,43412.560416666743412.5701388889,#N/A,,,
-,-,13,2018/11/8 13:30,101-828-SNOW,11038,乗客アプリ（目的地から）,3930,639,3,1,,2018/11/8 13:39,2018/11/8 13:45,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/8 13:37,2018/11/8 13:37,2018/11/8 13:44,2018/11/8 13:44,,2018/11/8 13:30,0:06:40,0:06:40,,01,08,,,2018/11/8 13:30,2018/11/8 13:45,43412.562543412.5729166667,肯定的,,,
-,-,13,2018/11/8 13:34,064-427-BANANA 064-428-BANANA,11039,乗客アプリ（目的地から）,1162,719,6,2,,2018/11/8 13:40,2018/11/8 13:45,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/8 13:44,2018/11/8 13:44,2018/11/8 13:54,2018/11/8 13:54,,2018/11/8 13:34,0:05:06,0:10:12,,00,05,,,2018/11/8 13:34,2018/11/8 13:45,43412.565277777843412.5729166667,#N/A,,,
-,-,13,2018/11/8 13:38,063-966-BANANA 063-967-BANANA,11040,まちかど端末（店舗から）,0,832,7,2,,2018/11/8 13:47,2018/11/8 13:57,35.45435 139.631762,横浜ロイヤルパークホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/8 13:42,2018/11/8 13:42,2018/11/8 13:57,2018/11/8 13:57,,2018/11/8 13:38,0:10:13,0:20:26,,05,09,,,2018/11/8 13:38,2018/11/8 13:57,43412.568055555643412.58125,#N/A,,,
-,-,13,2018/11/8 13:42,062-961-BANANA,11041,まちかど端末（店舗から）,0,494,8,1,,2018/11/8 13:45,2018/11/8 13:51,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/8 13:44,2018/11/8 13:44,2018/11/8 13:53,2018/11/8 13:53,,2018/11/8 13:42,0:05:36,0:05:36,,01,03,,,2018/11/8 13:42,2018/11/8 13:51,43412.570833333343412.5770833333,#N/A,,,
-,-,13,2018/11/8 13:44,166-692-agekke,11042,まちかど端末（乗降ポイントから）,0,257,4,1,,2018/11/8 13:47,2018/11/8 13:57,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 13:49,2018/11/8 13:49,2018/11/8 14:03,2018/11/8 14:03,,2018/11/8 13:44,0:09:17,0:09:17,,00,03,,,2018/11/8 13:44,2018/11/8 13:57,43412.572222222243412.58125,#N/A,,,
-,-,13,2018/11/8 13:44,019-552-RED,11043,乗客アプリ（目的地から）,938,768,11,1,,2018/11/8 13:46,2018/11/8 13:53,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/8 13:48,2018/11/8 13:48,2018/11/8 14:01,2018/11/8 14:01,,2018/11/8 13:44,0:06:39,0:06:39,,00,01,,,2018/11/8 13:44,2018/11/8 13:53,43412.572222222243412.5784722222,肯定的,,,
-,-,13,2018/11/8 13:48,104-219-SNOW,11044,乗客アプリ（目的地から）,1075,82,1,1,,2018/11/8 13:54,2018/11/8 14:02,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/8 13:53,2018/11/8 13:53,2018/11/8 14:03,2018/11/8 14:03,,2018/11/8 13:48,0:07:30,0:07:30,,01,06,,,2018/11/8 13:48,2018/11/8 14:02,43412.57543412.5847222222,#N/A,,,
-,-,13,2018/11/8 13:51,019-354-RED,11045,乗客アプリ（目的地から）,5492,23,9,1,,2018/11/8 13:54,2018/11/8 14:02,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 13:53,2018/11/8 13:53,2018/11/8 14:03,2018/11/8 14:03,,2018/11/8 13:51,0:08:30,0:08:30,,00,02,,,2018/11/8 13:51,2018/11/8 14:02,43412.577083333343412.5847222222,肯定的,,,
-,-,13,2018/11/8 13:52,063-230-BANANA,11046,乗客アプリ（目的地から）,5351,170,3,1,,2018/11/8 13:57,2018/11/8 14:13,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/8 13:54,2018/11/8 13:54,2018/11/8 14:12,2018/11/8 14:12,,2018/11/8 13:52,0:15:31,0:15:31,,02,05,,,2018/11/8 13:52,2018/11/8 14:13,43412.577777777843412.5923611111,肯定的,,,
-,-,13,2018/11/8 13:54,111-715-SUN,11048,乗客アプリ（地図から）,5521,274,11,1,,2018/11/8 13:56,2018/11/8 14:14,35.445857 139.647636,ホテルモントレ横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/8 13:57,2018/11/8 13:57,2018/11/8 14:16,2018/11/8 14:27,,2018/11/8 13:54,0:18:12,0:18:12,,00,01,,,2018/11/8 13:54,2018/11/8 14:14,43412.579166666743412.5930555556,#N/A,,,
-,-,13,2018/11/8 13:56,024-416-GREEN 024-453-GREEN,11051,乗客アプリ（目的地から）,3607,533,5,2,,2018/11/8 14:02,2018/11/8 14:10,35.453715 139.638133,横浜ワールドポーターズ,35.443659 139.650847,横浜マリンタワー,2018/11/8 13:59,2018/11/8 13:59,2018/11/8 14:15,2018/11/8 14:15,,2018/11/8 13:56,0:07:44,0:15:28,,02,06,,,2018/11/8 13:56,2018/11/8 14:10,43412.580555555643412.5902777778,#N/A,,,
-,-,13,2018/11/8 13:58,167-409-CAKE,11052,乗客アプリWeb（地図から）,4622,254,2,1,,2018/11/8 14:02,2018/11/8 14:12,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 14:04,2018/11/8 14:04,2018/11/8 14:17,2018/11/8 14:17,,2018/11/8 13:58,0:09:25,0:09:25,,00,04,,,2018/11/8 13:58,2018/11/8 14:12,43412.581944444443412.5916666667,#N/A,,,
-,-,13,2018/11/8 13:59,166-661-agekke,11053,乗客アプリ（地図から）,2424,618,8,1,,2018/11/8 14:08,2018/11/8 14:19,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/8 14:08,2018/11/8 14:08,2018/11/8 14:24,2018/11/8 14:24,,2018/11/8 13:59,0:11:35,0:11:35,,00,09,,,2018/11/8 13:59,2018/11/8 14:19,43412.582638888943412.5965277778,肯定的,,,
-,☆,13,2018/11/8 13:09,166-677-agekke,11025,乗客アプリ（目的地から）,2314,388,10,1,2018/11/8 13:30,,,35.454389 139.630904,横浜ランドマークタワー,35.447541 139.644914,シルク博物館,2018/11/8 13:17,,2018/11/8 13:29,,,2018/11/8 13:09,0:00:00,0:00:00,,00,20,,,2018/11/8 13:09,1900/1/0 0:00,43412.54791666670,#N/A,,,
★,☆,13,2018/11/8 13:10,064-537-BANANA 061-364-BANANA,11026,乗客アプリ（簡単予約）,5512,727,5,2,2018/11/8 13:23,,,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 13:20,,2018/11/8 13:47,,2018/11/8 13:20,2018/11/8 13:20,0:00:00,0:00:00,,00,03,,,2018/11/8 13:10,1900/1/0 0:00,43412.54861111110,#N/A,,,
★,☆,13,2018/11/8 13:12,063-883-BANANA,11028,乗客アプリ（目的地から）,5476,998,6,1,2018/11/8 13:12,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/8 13:24,,2018/11/8 13:36,,2018/11/8 13:22,2018/11/8 13:22,0:00:00,0:00:00,,00,02,,,2018/11/8 13:12,1900/1/0 0:00,43412.550,#N/A,,,
★,☆,13,2018/11/8 13:15,114-130-SUN,11031,乗客アプリ（地図から）,4777,385,11,1,2018/11/8 13:18,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 13:25,,2018/11/8 13:34,,2018/11/8 13:25,2018/11/8 13:25,0:00:00,0:00:00,,00,00,,,2018/11/8 13:15,1900/1/0 0:00,43412.55208333330,#N/A,,,※同一人物と思われるため一番短い待ち時間を採用
★,☆,13,2018/11/8 13:18,114-130-SUN,11032,乗客アプリ（地図から）,4777,812,7,1,2018/11/8 13:18,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 13:28,,2018/11/8 13:46,,2018/11/8 13:28,2018/11/8 13:28,0:00:00,0:00:00,,00,,,,2018/11/8 13:18,1900/1/0 0:00,43412.55416666670,#N/A,,,※同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/11/8 13:20,114-130-SUN,11033,乗客アプリ（地図から）,4777,336,11,1,2018/11/8 13:20,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 13:24,,2018/11/8 13:33,,,2018/11/8 13:20,0:00:00,0:00:00,,00,,,,2018/11/8 13:20,1900/1/0 0:00,43412.55555555560,#N/A,,,※同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/11/8 13:22,114-130-SUN,11035,乗客アプリ（地図から）,4777,282,8,1,2018/11/8 13:24,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 13:30,,2018/11/8 13:38,,,2018/11/8 13:22,0:00:00,0:00:00,,00,,,,2018/11/8 13:22,1900/1/0 0:00,43412.55694444440,#N/A,,,※同一人物と思われるため一番短い待ち時間を採用
★,-,14,2018/11/8 13:53,167-416-CAKE,11047,乗客アプリWeb（簡単予約）,5496,128,4,4,,2018/11/8 13:57,2018/11/8 14:06,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/8 14:03,2018/11/8 14:03,2018/11/8 14:17,2018/11/8 14:17,2018/11/8 14:03,2018/11/8 14:03,0:08:40,0:34:40,421,00,00,05,04,2018/11/8 13:53,2018/11/8 14:06,43412.578472222243412.5875,#N/A,,,
★,-,14,2018/11/8 13:54,167-418-CAKE,11049,乗客アプリWeb（簡単予約）,5500,629,11,1,,2018/11/8 13:59,2018/11/8 14:06,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/8 14:04,2018/11/8 14:04,2018/11/8 14:16,2018/11/8 14:16,2018/11/8 14:04,2018/11/8 14:04,0:07:25,0:07:25,,00,00,,,2018/11/8 13:54,2018/11/8 14:06,43412.579166666743412.5875,#N/A,,,
-,-,14,2018/11/8 14:01,065-335-BANANA,11054,まちかど端末（店舗から）,0,667,10,1,,2018/11/8 14:08,2018/11/8 14:12,35.456605 139.635327,横浜ベイホテル東急,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/8 14:10,2018/11/8 14:10,2018/11/8 14:20,2018/11/8 14:20,,2018/11/8 14:01,0:04:14,0:04:14,,00,07,,,2018/11/8 14:01,2018/11/8 14:12,43412.584027777843412.5916666667,#N/A,,,
-,-,14,2018/11/8 14:02,063-883-BANANA 063-887-BANANA 063-886-BANANA,11055,乗客アプリ（目的地から）,5476,688,1,3,,2018/11/8 14:13,2018/11/8 14:20,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/8 14:13,2018/11/8 14:13,2018/11/8 14:26,2018/11/8 14:26,,2018/11/8 14:02,0:06:18,0:18:54,,00,11,,,2018/11/8 14:02,2018/11/8 14:20,43412.584722222243412.5972222222,#N/A,,,
-,-,14,2018/11/8 14:03,019-552-RED,11056,乗客アプリ（目的地から）,938,268,9,1,,2018/11/8 14:06,2018/11/8 14:10,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.447541 139.644914,シルク博物館,2018/11/8 14:07,2018/11/8 14:07,2018/11/8 14:12,2018/11/8 14:12,,2018/11/8 14:03,0:04:00,0:04:00,,00,02,,,2018/11/8 14:03,2018/11/8 14:10,43412.585416666743412.5902777778,#N/A,,,
-,-,14,2018/11/8 14:06,064-427-BANANA 064-428-BANANA,11058,乗客アプリ（目的地から）,1162,943,2,2,,2018/11/8 14:16,2018/11/8 14:25,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/8 14:14,2018/11/8 14:14,2018/11/8 14:24,2018/11/8 14:24,,2018/11/8 14:06,0:08:20,0:16:40,,02,10,,,2018/11/8 14:06,2018/11/8 14:25,43412.587543412.6006944444,#N/A,,,
-,-,14,2018/11/8 14:09,062-651-BANANA 064-758-BANANA 064-759-BANANA,11062,乗客アプリ（目的地から）,4862,434,6,3,,2018/11/8 14:16,2018/11/8 14:34,35.450447 139.635947,みなとみらい線　馬車道駅,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/8 14:17,2018/11/8 14:17,2018/11/8 14:28,2018/11/8 14:28,,2018/11/8 14:09,0:18:01,0:54:03,,00,07,,,2018/11/8 14:09,2018/11/8 14:34,43412.589583333343412.6069444444,#N/A,,,
-,-,14,2018/11/8 14:10,028-357-GREEN,11063,乗客アプリ（地図から）,5119,981,4,1,,2018/11/8 14:13,2018/11/8 14:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 14:15,2018/11/8 14:15,2018/11/8 14:27,2018/11/8 14:27,,2018/11/8 14:10,0:07:43,0:07:43,,00,02,,,2018/11/8 14:10,2018/11/8 14:21,43412.590277777843412.5979166667,#N/A,,,
-,-,14,2018/11/8 14:10,023-687-GREEN 018-571-RED,11064,まちかど端末（店舗から）,0,458,3,2,,2018/11/8 14:17,2018/11/8 14:27,35.454389 139.630904,横浜ランドマークタワー,35.447541 139.644914,シルク博物館,2018/11/8 14:18,2018/11/8 14:18,2018/11/8 14:31,2018/11/8 14:31,,2018/11/8 14:10,0:10:36,0:21:12,,00,06,,,2018/11/8 14:10,2018/11/8 14:27,43412.590277777843412.6020833333,#N/A,,,
-,-,14,2018/11/8 14:10,166-646-agekke,11065,乗客アプリ（目的地から）,3945,565,7,1,,2018/11/8 14:21,2018/11/8 14:26,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 14:23,2018/11/8 14:23,2018/11/8 14:27,2018/11/8 14:27,,2018/11/8 14:10,0:04:55,0:04:55,,00,10,,,2018/11/8 14:10,2018/11/8 14:26,43412.590277777843412.6013888889,#N/A,,,
★,-,14,2018/11/8 14:10,110-767-SUN,11066,乗客アプリ（地図から）,5506,133,5,1,,2018/11/8 14:16,2018/11/8 14:28,35.441441 139.648505,横浜中華街朱雀門,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/8 14:20,2018/11/8 14:20,2018/11/8 14:34,2018/11/8 14:34,2018/11/8 14:20,2018/11/8 14:20,0:11:59,0:11:59,,00,00,,,2018/11/8 14:10,2018/11/8 14:28,43412.590277777843412.6027777778,肯定的,,,
-,-,14,2018/11/8 14:12,166-659-agekke,11068,乗客アプリ（地図から）,4734,147,11,1,,2018/11/8 14:16,2018/11/8 14:24,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/8 14:18,2018/11/8 14:18,2018/11/8 14:32,2018/11/8 14:32,,2018/11/8 14:12,0:08:06,0:08:06,,00,03,,,2018/11/8 14:12,2018/11/8 14:24,43412.591666666743412.6,#N/A,,,
-,-,14,2018/11/8 14:13,166-643-agekke,11069,乗客アプリ（目的地から）,5169,582,10,1,,2018/11/8 14:16,2018/11/8 14:24,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/8 14:21,2018/11/8 14:21,2018/11/8 14:38,2018/11/8 14:38,,2018/11/8 14:13,0:07:21,0:07:21,,00,03,,,2018/11/8 14:13,2018/11/8 14:24,43412.592361111143412.6,#N/A,,,
-,-,14,2018/11/8 14:14,166-645-agekke,11070,乗客アプリ（地図から）,1333,275,11,1,,2018/11/8 14:16,2018/11/8 14:33,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 14:18,2018/11/8 14:18,2018/11/8 14:41,2018/11/8 14:41,,2018/11/8 14:14,0:16:57,0:16:57,,00,01,,,2018/11/8 14:14,2018/11/8 14:33,43412.593055555643412.60625,#N/A,,,
-,-,14,2018/11/8 14:17,063-413-BANANA,11071,まちかど端末（乗降ポイントから）,0,546,9,1,,2018/11/8 14:20,2018/11/8 14:32,35.445857 139.647636,ホテルモントレ横浜,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/8 14:19,2018/11/8 14:19,2018/11/8 14:39,2018/11/8 14:39,,2018/11/8 14:17,0:12:44,0:12:44,,00,03,,,2018/11/8 14:17,2018/11/8 14:32,43412.595138888943412.6055555556,#N/A,,,
★,-,14,2018/11/8 14:21,167-421-CAKE,11072,乗客アプリWeb（目的地から）,5509,429,4,2,,2018/11/8 14:25,2018/11/8 14:37,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/8 14:24,2018/11/8 14:24,2018/11/8 14:39,2018/11/8 14:39,2018/11/8 14:11,2018/11/8 14:11,0:12:19,0:24:38,,00,14,,,2018/11/8 14:21,2018/11/8 14:37,43412.597916666743412.6090277778,肯定的,,,
-,-,14,2018/11/8 14:22,166-661-agekke,11073,乗客アプリ（地図から）,2424,439,6,1,,2018/11/8 14:23,2018/11/8 14:33,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/8 14:25,2018/11/8 14:25,2018/11/8 14:44,2018/11/8 14:44,,2018/11/8 14:22,0:10:17,0:10:17,,00,01,,,2018/11/8 14:22,2018/11/8 14:33,43412.598611111143412.60625,肯定的,,,
-,-,14,2018/11/8 14:23,021-268-GREEN 021-269-GREEN,11074,まちかど端末（店舗から）,0,460,8,2,,2018/11/8 14:28,2018/11/8 14:39,35.453715 139.638133,横浜ワールドポーターズ,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 14:30,2018/11/8 14:30,2018/11/8 14:45,2018/11/8 14:45,,2018/11/8 14:23,0:11:51,0:23:42,,00,04,,,2018/11/8 14:23,2018/11/8 14:39,43412.599305555643412.6104166667,#N/A,,,
-,-,14,2018/11/8 14:25,067-240-BANANA 067-242-BANANA 067-241-BANANA,11075,乗客アプリ（地図から）,5347,114,7,3,,2018/11/8 14:32,2018/11/8 14:46,35.456605 139.635327,横浜ベイホテル東急,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 14:31,2018/11/8 14:31,2018/11/8 14:49,2018/11/8 14:49,,2018/11/8 14:25,0:13:22,0:40:06,,01,07,,,2018/11/8 14:25,2018/11/8 14:46,43412.600694444443412.6152777778,#N/A,,,
-,-,14,2018/11/8 14:26,166-642-agekke,11076,乗客アプリ（地図から）,2051,355,10,1,,2018/11/8 14:35,2018/11/8 14:43,35.443908 139.635249,イセザキ・モール,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 14:33,2018/11/8 14:33,2018/11/8 14:46,2018/11/8 14:46,,2018/11/8 14:26,0:07:46,0:07:46,,02,09,,,2018/11/8 14:26,2018/11/8 14:43,43412.601388888943412.6131944444,#N/A,,,
-,-,14,2018/11/8 14:30,063-966-BANANA 063-967-BANANA,11077,まちかど端末（店舗から）,0,18,5,2,,2018/11/8 14:39,2018/11/8 14:48,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443908 139.635249,イセザキ・モール,2018/11/8 14:40,2018/11/8 14:40,2018/11/8 14:51,2018/11/8 14:51,,2018/11/8 14:30,0:09:08,0:18:16,,00,08,,,2018/11/8 14:30,2018/11/8 14:48,43412.604166666743412.6166666667,#N/A,,,
-,-,14,2018/11/8 14:31,166-677-agekke,11078,乗客アプリ（目的地から）,2314,739,8,1,,2018/11/8 14:47,2018/11/8 14:56,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/8 14:41,2018/11/8 14:41,2018/11/8 14:58,2018/11/8 14:58,,2018/11/8 14:31,0:09:11,0:09:11,,05,15,,,2018/11/8 14:31,2018/11/8 14:56,43412.604861111143412.6222222222,#N/A,,,
-,-,14,2018/11/8 14:40,166-661-agekke,11079,乗客アプリ（地図から）,2424,447,11,1,,2018/11/8 14:46,2018/11/8 14:53,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/8 14:49,2018/11/8 14:49,2018/11/8 14:55,2018/11/8 14:55,,2018/11/8 14:40,0:06:04,0:06:04,,00,06,,,2018/11/8 14:40,2018/11/8 14:53,43412.611111111143412.6201388889,#N/A,,,
★,-,14,2018/11/8 14:41,064-512-BANANA,11080,まちかど端末（店舗から）,0,542,9,1,,2018/11/8 14:53,2018/11/8 14:57,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 14:50,2018/11/8 14:50,2018/11/8 15:02,2018/11/8 15:02,2018/11/8 14:50,2018/11/8 14:50,0:03:59,0:03:59,,02,02,,,2018/11/8 14:41,2018/11/8 14:57,43412.611805555643412.6229166667,#N/A,,,
★,-,14,2018/11/8 14:44,010-331-RED,11081,乗客アプリ（簡単予約）,5527,197,1,1,,2018/11/8 14:50,2018/11/8 15:26,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/8 14:54,2018/11/8 14:54,2018/11/8 15:08,2018/11/8 15:08,2018/11/8 14:54,2018/11/8 14:54,0:36:34,0:36:34,,00,00,,,2018/11/8 14:44,2018/11/8 15:26,43412.613888888943412.6430555556,#N/A,,,
-,-,14,2018/11/8 14:53,115-559-SUN,11084,まちかど端末（店舗から）,0,601,7,1,,2018/11/8 15:00,2018/11/8 15:10,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/8 14:58,2018/11/8 14:58,2018/11/8 15:14,2018/11/8 15:14,,2018/11/8 14:53,0:10:10,0:10:10,,02,07,,,2018/11/8 14:53,2018/11/8 15:10,43412.620138888943412.6319444444,#N/A,,,
★,☆,14,2018/11/8 13:56,110-863-SUN,11050,まちかど端末（店舗から）,0,568,9,1,2018/11/8 13:56,,,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/8 14:55,,2018/11/8 15:10,,2018/11/8 14:55,2018/11/8 14:55,0:00:00,0:00:00,,00,00,,,2018/11/8 13:56,1900/1/0 0:00,43412.58055555560,#N/A,,,
-,☆,14,2018/11/8 14:06,028-357-GREEN,11057,乗客アプリ（地図から）,5119,451,4,1,2018/11/8 14:07,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 14:09,,2018/11/8 14:22,,,2018/11/8 14:06,0:00:00,0:00:00,,00,02,,,2018/11/8 14:06,1900/1/0 0:00,43412.58750,#N/A,,,
-,☆,14,2018/11/8 14:06,018-571-RED,11059,乗客アプリ（地図から）,3988,98,3,1,2018/11/8 14:07,,,35.454389 139.630904,横浜ランドマークタワー,35.447541 139.644914,シルク博物館,2018/11/8 14:15,,2018/11/8 14:27,,,2018/11/8 14:06,0:00:00,0:00:00,,00,08,,,2018/11/8 14:06,1900/1/0 0:00,43412.58750,#N/A,,,
-,☆,14,2018/11/8 14:07,023-687-GREEN,11060,乗客アプリ（地図から）,3989,488,4,1,2018/11/8 14:07,,,35.454389 139.630904,横浜ランドマークタワー,35.447541 139.644914,シルク博物館,2018/11/8 14:16,,2018/11/8 14:28,,,2018/11/8 14:07,0:00:00,0:00:00,,00,08,,,2018/11/8 14:07,1900/1/0 0:00,43412.58819444440,#N/A,,,
-,☆,14,2018/11/8 14:08,018-571-RED 023-687-GREEN,11061,まちかど端末（店舗から）,0,100,4,2,2018/11/8 14:09,,,35.454389 139.630904,横浜ランドマークタワー,35.447541 139.644914,シルク博物館,2018/11/8 14:15,,2018/11/8 14:29,,,2018/11/8 14:08,0:00:00,0:00:00,,00,07,,,2018/11/8 14:08,1900/1/0 0:00,43412.58888888890,#N/A,,,
★,☆,14,2018/11/8 14:44,010-333-RED,11082,乗客アプリ（簡単予約）,5529,555,10,1,2018/11/8 14:58,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/8 14:54,,2018/11/8 15:08,,2018/11/8 14:54,2018/11/8 14:54,0:00:00,0:00:00,,00,04,,,2018/11/8 14:44,1900/1/0 0:00,43412.61388888890,#N/A,,,
