,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
-,-,13,2018/11/3 13:21,8952,まちかど端末（店舗から）,0,335,3,2,,2018/11/3 13:29,2018/11/3 13:39,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/3 13:31,2018/11/3 13:31,2018/11/3 13:36,2018/11/3 13:36,,2018/11/3 13:21,0:09:54,0:19:48,,00,08,,,2018/11/3 13:21,2018/11/3 13:39,43407.5562543407.56875,#N/A,,,,
-,-,13,2018/11/3 13:22,8954,乗客アプリ（目的地から）,3428,590,2,5,,2018/11/3 13:41,2018/11/3 13:48,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 13:49,2018/11/3 13:49,2018/11/3 14:04,2018/11/3 14:04,,2018/11/3 13:22,0:07:41,0:38:25,,00,18,,,2018/11/3 13:22,2018/11/3 13:48,43407.556944444443407.575,#N/A,,,,
-,-,13,2018/11/3 13:27,8958,乗客アプリ（地図から）,3068,775,6,1,,2018/11/3 13:47,2018/11/3 14:03,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443073 139.651914,横浜人形の家,2018/11/3 13:43,2018/11/3 13:47,2018/11/3 14:01,2018/11/3 14:08,,2018/11/3 13:27,0:16:28,0:16:28,,03,19,,,2018/11/3 13:27,2018/11/3 14:03,43407.560416666743407.5854166667,#N/A,,,,
★,-,13,2018/11/3 13:28,8960,乗客アプリ（地図から）,1889,623,5,1,,2018/11/3 13:35,2018/11/3 13:38,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/3 13:38,2018/11/3 13:38,2018/11/3 13:44,2018/11/3 13:44,2018/11/3 13:38,2018/11/3 13:38,0:02:39,0:02:39,,00,00,,,2018/11/3 13:28,2018/11/3 13:38,43407.561111111143407.5680555556,#N/A,,,,
-,-,13,2018/11/3 13:31,8964,まちかど端末（店舗から）,0,986,4,1,,2018/11/3 13:47,2018/11/3 14:07,35.445783 139.642958,横浜情報文化センター,35.454389 139.630904,横浜ランドマークタワー,2018/11/3 13:49,2018/11/3 13:49,2018/11/3 14:05,2018/11/3 14:14,,2018/11/3 13:31,0:20:41,0:20:41,,00,16,,,2018/11/3 13:31,2018/11/3 14:07,43407.563194444443407.5881944444,#N/A,,,,
-,-,13,2018/11/3 13:31,8966,まちかど端末（店舗から）,0,671,10,1,,2018/11/3 13:40,2018/11/3 13:46,35.448676 139.635696,横浜平和プラザホテル,35.443908 139.635249,イセザキ・モール,2018/11/3 13:39,2018/11/3 13:39,2018/11/3 13:44,2018/11/3 13:45,,2018/11/3 13:31,0:05:30,0:05:30,,01,09,,,2018/11/3 13:31,2018/11/3 13:46,43407.563194444443407.5736111111,#N/A,,,,
-,-,13,2018/11/3 13:32,8967,乗客アプリ（地図から）,4456,701,3,2,,2018/11/3 13:46,2018/11/3 13:58,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/3 13:40,2018/11/3 13:40,2018/11/3 14:00,2018/11/3 14:00,,2018/11/3 13:32,0:12:09,0:24:18,,05,14,,,2018/11/3 13:32,2018/11/3 13:58,43407.563888888943407.5819444444,#N/A,,,,
-,-,13,2018/11/3 13:37,8973,まちかど端末（乗降ポイントから）,0,524,1,3,,2018/11/3 13:41,2018/11/3 13:56,35.450681 139.632446,横浜桜木町ワシントンホテル,35.447546 139.64358,横浜開港資料館,2018/11/3 13:42,2018/11/3 13:42,2018/11/3 14:05,2018/11/3 14:05,,2018/11/3 13:37,0:15:29,0:46:27,,00,04,,,2018/11/3 13:37,2018/11/3 13:56,43407.567361111143407.5805555556,#N/A,,,,
-,-,13,2018/11/3 13:41,8975,まちかど端末（店舗から）,0,699,5,2,,2018/11/3 13:58,2018/11/3 14:07,35.445783 139.642958,横浜情報文化センター,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 14:04,2018/11/3 14:04,2018/11/3 14:10,2018/11/3 14:10,,2018/11/3 13:41,0:08:06,0:16:12,,00,17,,,2018/11/3 13:41,2018/11/3 14:07,43407.570138888943407.5881944444,#N/A,,,,
-,-,13,2018/11/3 13:42,8976,乗客アプリ（目的地から）,2381,948,7,2,,2018/11/3 13:49,2018/11/3 13:58,35.453715 139.638133,横浜ワールドポーターズ,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/3 13:52,2018/11/3 13:52,2018/11/3 14:04,2018/11/3 14:08,,2018/11/3 13:42,0:08:12,0:16:24,,00,07,,,2018/11/3 13:42,2018/11/3 13:58,43407.570833333343407.5819444444,肯定的,,,,
-,-,13,2018/11/3 13:45,8978,乗客アプリ（目的地から）,3600,477,2,1,,2018/11/3 13:58,2018/11/3 14:10,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 14:05,2018/11/3 14:05,2018/11/3 14:21,2018/11/3 14:21,,2018/11/3 13:45,0:11:56,0:11:56,,00,13,,,2018/11/3 13:45,2018/11/3 14:10,43407.572916666743407.5902777778,#N/A,,,,
-,-,13,2018/11/3 13:48,8982,乗客アプリ（地図から）,1874,263,1,1,,2018/11/3 14:03,2018/11/3 14:13,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/3 14:02,2018/11/3 14:02,2018/11/3 14:11,2018/11/3 14:13,,2018/11/3 13:48,0:09:52,0:09:52,,00,15,,,2018/11/3 13:48,2018/11/3 14:13,43407.57543407.5923611111,肯定的,,,,
-,-,13,2018/11/3 13:51,8984,まちかど端末（店舗から）,0,752,4,2,,2018/11/3 13:54,2018/11/3 14:16,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/3 13:55,2018/11/3 13:55,2018/11/3 14:13,2018/11/3 14:13,,2018/11/3 13:51,0:21:38,0:43:16,,00,02,,,2018/11/3 13:51,2018/11/3 14:16,43407.577083333343407.5944444444,#N/A,,,,
-,-,13,2018/11/3 13:53,8986,まちかど端末（店舗から）,0,91,7,3,,2018/11/3 14:07,2018/11/3 14:12,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/3 14:12,2018/11/3 14:12,2018/11/3 14:23,2018/11/3 14:23,,2018/11/3 13:53,0:05:57,0:17:51,,00,13,,,2018/11/3 13:53,2018/11/3 14:12,43407.578472222243407.5916666667,#N/A,,,,
-,-,13,2018/11/3 13:56,8987,乗客アプリ（目的地から）,4797,985,3,2,,2018/11/3 14:08,2018/11/3 14:15,35.452963 139.642093,横浜赤レンガ倉庫,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/3 14:15,2018/11/3 14:15,2018/11/3 14:25,2018/11/3 14:25,,2018/11/3 13:56,0:06:54,0:13:48,,00,12,,,2018/11/3 13:56,2018/11/3 14:15,43407.580555555643407.59375,肯定的,,,,
-,☆,13,2018/11/3 13:03,8941,乗客アプリ（地図から）,1769,412,3,2,2018/11/3 13:08,,,35.447541 139.644914,シルク博物館,35.456605 139.635327,横浜ベイホテル東急,2018/11/3 13:26,,2018/11/3 13:45,,,2018/11/3 13:03,0:00:00,0:00:00,,00,23,,,2018/11/3 13:03,1900/1/0 0:00,43407.543750,#N/A,,,,
-,☆,13,2018/11/3 13:06,8942,乗客アプリ（目的地から）,4862,875,4,1,2018/11/3 13:18,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 13:18,,2018/11/3 13:28,,,2018/11/3 13:06,0:00:00,0:00:00,,00,11,,,2018/11/3 13:06,1900/1/0 0:00,43407.54583333330,#N/A,,,,
★,☆,13,2018/11/3 13:21,8951,乗客アプリ（目的地から）,3428,807,2,5,2018/11/3 13:21,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 13:49,,2018/11/3 14:04,,2018/11/3 13:31,2018/11/3 13:31,0:00:00,0:00:00,,00,,,,2018/11/3 13:21,1900/1/0 0:00,43407.556250,#N/A,,※141行と同一人物と思われるため一番短いものを採用,,
-,☆,13,2018/11/3 13:22,8953,乗客アプリ（目的地から）,3428,887,2,1,2018/11/3 13:22,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 13:34,,2018/11/3 13:45,,,2018/11/3 13:22,0:00:00,0:00:00,,00,12,,,2018/11/3 13:22,1900/1/0 0:00,43407.55694444440,#N/A,,※140行と同一人物と思われるため一番短いものを採用,,
-,☆,13,2018/11/3 13:25,8955,まちかど端末（乗降ポイントから）,0,238,6,3,2018/11/3 13:26,,,35.445857 139.647636,ホテルモントレ横浜,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/3 13:54,,2018/11/3 14:13,,,2018/11/3 13:25,0:00:00,0:00:00,,00,29,,,2018/11/3 13:25,1900/1/0 0:00,43407.55902777780,#N/A,,,,
-,☆,13,2018/11/3 13:25,8956,乗客アプリ（地図から）,2934,412,4,2,2018/11/3 13:25,,,35.443073 139.651914,横浜人形の家,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 13:55,,2018/11/3 14:05,,,2018/11/3 13:25,0:00:00,0:00:00,,00,30,,,2018/11/3 13:25,1900/1/0 0:00,43407.55902777780,#N/A,,,,
-,☆,13,2018/11/3 13:26,8957,乗客アプリ（目的地から）,2512,186,1,1,2018/11/3 13:27,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 13:45,,2018/11/3 14:03,,,2018/11/3 13:26,0:00:00,0:00:00,,00,,,,2018/11/3 13:26,1900/1/0 0:00,43407.55972222220,#N/A,,"※145,146,148,149行と同一人物と思われるため一番短いものを採用",,
-,☆,13,2018/11/3 13:28,8959,乗客アプリ（目的地から）,2512,802,1,1,2018/11/3 13:28,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 13:43,,2018/11/3 14:01,,,2018/11/3 13:28,0:00:00,0:00:00,,00,,,,2018/11/3 13:28,1900/1/0 0:00,43407.56111111110,#N/A,,"※144,146,148,149行と同一人物と思われるため一番短いものを採用",,
-,☆,13,2018/11/3 13:29,8961,乗客アプリ（目的地から）,2512,988,1,1,2018/11/3 13:30,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 13:42,,2018/11/3 13:59,,,2018/11/3 13:29,0:00:00,0:00:00,,00,,,,2018/11/3 13:29,1900/1/0 0:00,43407.56180555560,#N/A,,"※144,145,148,149行と同一人物と思われるため一番短いものを採用",,
-,☆,13,2018/11/3 13:29,8962,乗客アプリ（地図から）,3395,639,4,2,2018/11/3 13:29,,,35.452963 139.642093,横浜赤レンガ倉庫,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/3 13:58,,2018/11/3 14:12,,,2018/11/3 13:29,0:00:00,0:00:00,,00,28,,,2018/11/3 13:29,1900/1/0 0:00,43407.56180555560,#N/A,,,,
-,☆,13,2018/11/3 13:30,8963,乗客アプリ（目的地から）,2512,334,1,1,2018/11/3 13:30,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 13:42,,2018/11/3 14:00,,,2018/11/3 13:30,0:00:00,0:00:00,,00,11,,,2018/11/3 13:30,1900/1/0 0:00,43407.56250,#N/A,,"※144,145,146,149行と同一人物と思われるため一番短いものを採用",,
-,☆,13,2018/11/3 13:31,8965,乗客アプリ（目的地から）,2512,957,1,1,2018/11/3 13:31,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 13:43,,2018/11/3 14:01,,,2018/11/3 13:31,0:00:00,0:00:00,,00,,,,2018/11/3 13:31,1900/1/0 0:00,43407.56319444440,#N/A,,"※144,145,146,148行と同一人物と思われるため一番短いものを採用",,
-,☆,13,2018/11/3 14:01,8991,乗客アプリ（地図から）,1769,945,8,2,2018/11/3 14:06,,,35.456605 139.635327,横浜ベイホテル東急,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 14:07,,2018/11/3 14:15,,,2018/11/3 14:01,0:00:00,0:00:00,,00,06,,,2018/11/3 14:01,1900/1/0 0:00,43407.58402777780,#N/A,,,,
★,☆,13,2018/11/3 13:32,8968,乗客アプリWeb（簡単予約）,4837,854,6,2,2018/11/3 13:46,,,35.454389 139.630904,横浜ランドマークタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/3 13:42,,2018/11/3 14:05,,2018/11/3 13:42,2018/11/3 13:42,0:00:00,0:00:00,,00,03,,,2018/11/3 13:32,1900/1/0 0:00,43407.56388888890,#N/A,,,,
-,☆,13,2018/11/3 13:33,8970,まちかど端末（店舗から）,0,907,1,2,2018/11/3 13:33,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.454389 139.630904,横浜ランドマークタワー,2018/11/3 13:58,,2018/11/3 14:10,,,2018/11/3 13:33,0:00:00,0:00:00,,00,25,,,2018/11/3 13:33,1900/1/0 0:00,43407.56458333330,#N/A,,,,
-,☆,13,2018/11/3 13:35,8971,乗客アプリ（地図から）,4838,439,1,2,2018/11/3 13:36,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/3 14:01,,2018/11/3 14:13,,,2018/11/3 13:35,0:00:00,0:00:00,,00,26,,,2018/11/3 13:35,1900/1/0 0:00,43407.56597222220,#N/A,,,,
★,☆,13,2018/11/3 13:36,8972,乗客アプリ（地図から）,2934,625,1,2,2018/11/3 13:36,,,35.443704 139.651332,ホテルメルパルク横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 14:06,,2018/11/3 14:14,,2018/11/3 13:46,2018/11/3 13:46,0:00:00,0:00:00,,00,20,,,2018/11/3 13:36,1900/1/0 0:00,43407.56666666670,#N/A,,,,
-,☆,13,2018/11/3 13:40,8974,乗客アプリ（目的地から）,1877,4,4,2,2018/11/3 13:50,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/3 13:52,,2018/11/3 14:06,,,2018/11/3 13:40,0:00:00,0:00:00,,00,11,,,2018/11/3 13:40,1900/1/0 0:00,43407.56944444440,#N/A,,,,
-,☆,13,2018/11/3 13:44,8977,乗客アプリ（目的地から）,3600,393,2,1,2018/11/3 13:44,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 14:06,,2018/11/3 14:22,,,2018/11/3 13:44,0:00:00,0:00:00,,00,22,,,2018/11/3 13:44,1900/1/0 0:00,43407.57222222220,#N/A,,,,
-,☆,13,2018/11/3 13:47,8979,乗客アプリWeb（地図から）,4841,825,7,2,2018/11/3 13:47,,,35.454389 139.630904,横浜ランドマークタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/3 14:02,,2018/11/3 14:22,,,2018/11/3 13:47,0:00:00,0:00:00,,00,,,,2018/11/3 13:47,1900/1/0 0:00,43407.57430555560,#N/A,,※159行と同一人物と思われるため一番短いものを採用,,
-,☆,13,2018/11/3 13:47,8980,乗客アプリWeb（簡単予約）,4837,218,8,2,2018/11/3 14:01,,,35.454389 139.630904,横浜ランドマークタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/3 13:59,,2018/11/3 14:16,,,2018/11/3 13:47,0:00:00,0:00:00,,00,13,,,2018/11/3 13:47,1900/1/0 0:00,43407.57430555560,#N/A,,,,
-,☆,13,2018/11/3 13:48,8981,乗客アプリWeb（目的地から）,4841,598,8,2,2018/11/3 13:50,,,35.454389 139.630904,横浜ランドマークタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/3 14:00,,2018/11/3 14:17,,,2018/11/3 13:48,0:00:00,0:00:00,,00,12,,,2018/11/3 13:48,1900/1/0 0:00,43407.5750,#N/A,,※157行と同一人物と思われるため一番短いものを採用,,
-,☆,13,2018/11/3 13:50,8983,乗客アプリ（地図から）,3445,387,6,1,2018/11/3 13:50,,,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/3 14:10,,2018/11/3 14:29,,,2018/11/3 13:50,0:00:00,0:00:00,,00,,,,2018/11/3 13:50,1900/1/0 0:00,43407.57638888890,#N/A,,※161行と同一人物と思われるため一番短いものを採用,,
-,☆,13,2018/11/3 13:53,8985,乗客アプリ（地図から）,3445,390,6,1,2018/11/3 13:53,,,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/3 14:08,,2018/11/3 14:27,,,2018/11/3 13:53,0:00:00,0:00:00,,00,15,,,2018/11/3 13:53,1900/1/0 0:00,43407.57847222220,#N/A,,※160行と同一人物と思われるため一番短いものを採用,,
-,☆,13,2018/11/3 13:58,8990,まちかど端末（店舗から）,0,288,6,4,2018/11/3 14:10,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/3 14:25,,2018/11/3 14:42,,,2018/11/3 13:58,0:00:00,0:00:00,,00,27,,,2018/11/3 13:58,1900/1/0 0:00,43407.58194444440,#N/A,,,,
★,-,14,2018/11/3 13:57,8989,乗客アプリ（地図から）,1877,484,1,3,,2018/11/3 14:08,2018/11/3 14:24,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/3 14:07,2018/11/3 14:07,2018/11/3 14:28,2018/11/3 14:28,2018/11/3 14:07,2018/11/3 14:07,0:16:16,0:48:48,844,00,00,12,14,2018/11/3 13:57,2018/11/3 14:24,43407.5812543407.6,#N/A,,,,
-,-,14,2018/11/3 14:03,8992,乗客アプリ（地図から）,3615,186,9,4,,2018/11/3 14:12,2018/11/3 14:20,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/3 14:15,2018/11/3 14:15,2018/11/3 14:32,2018/11/3 14:32,,2018/11/3 14:03,0:08:03,0:32:12,,00,09,,,2018/11/3 14:03,2018/11/3 14:20,43407.585416666743407.5972222222,#N/A,,,,
-,-,14,2018/11/3 14:03,8993,乗客アプリWeb（地図から）,4841,299,4,2,,2018/11/3 14:16,2018/11/3 14:26,35.454389 139.630904,横浜ランドマークタワー,35.443659 139.650847,横浜マリンタワー,2018/11/3 14:18,2018/11/3 14:18,2018/11/3 14:35,2018/11/3 14:30,,2018/11/3 14:03,0:10:23,0:20:46,,00,12,,,2018/11/3 14:03,2018/11/3 14:26,43407.585416666743407.6013888889,#N/A,,,,
★,-,14,2018/11/3 14:04,8994,乗客アプリ（地図から）,2934,878,5,2,,2018/11/3 14:12,2018/11/3 14:17,35.443704 139.651332,ホテルメルパルク横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 14:14,2018/11/3 14:14,2018/11/3 14:22,2018/11/3 14:22,2018/11/3 14:14,2018/11/3 14:14,0:05:04,0:10:08,,00,00,,,2018/11/3 14:04,2018/11/3 14:17,43407.586111111143407.5951388889,#N/A,,,,
-,-,14,2018/11/3 14:11,8998,まちかど端末（乗降ポイントから）,0,857,6,3,,2018/11/3 14:20,2018/11/3 14:31,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 14:22,2018/11/3 14:22,2018/11/3 14:31,2018/11/3 14:35,,2018/11/3 14:11,0:10:51,0:32:33,,00,09,,,2018/11/3 14:11,2018/11/3 14:31,43407.590972222243407.6048611111,#N/A,,,,
-,-,14,2018/11/3 14:11,8999,乗客アプリ（地図から）,3698,897,8,2,,2018/11/3 14:17,2018/11/3 14:21,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/3 14:14,2018/11/3 14:16,2018/11/3 14:21,2018/11/3 14:23,,2018/11/3 14:11,0:04:07,0:08:14,,03,05,,,2018/11/3 14:11,2018/11/3 14:21,43407.590972222243407.5979166667,#N/A,,"※173,174行と同一人物と思われるため一番短いものを採用",,
-,-,14,2018/11/3 14:11,9000,乗客アプリWeb（目的地から）,4819,435,7,2,,2018/11/3 14:21,2018/11/3 14:32,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 14:20,2018/11/3 14:20,2018/11/3 14:35,2018/11/3 14:36,,2018/11/3 14:11,0:11:35,0:23:10,,00,09,,,2018/11/3 14:11,2018/11/3 14:32,43407.590972222243407.6055555556,#N/A,,"※173,175行と同一人物と思われるため一番短いものを採用",,
-,-,14,2018/11/3 14:14,9001,乗客アプリ（目的地から）,4861,90,5,1,,2018/11/3 14:28,2018/11/3 14:39,35.448676 139.635696,横浜平和プラザホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/3 14:28,2018/11/3 14:28,2018/11/3 14:41,2018/11/3 14:44,,2018/11/3 14:14,0:10:37,0:10:37,,00,14,,,2018/11/3 14:14,2018/11/3 14:39,43407.593055555643407.6104166667,#N/A,,"※173,174行と同一人物と思われるため一番短いものを採用",,
-,-,14,2018/11/3 14:14,9002,乗客アプリ（目的地から）,4256,767,2,2,,2018/11/3 14:23,2018/11/3 14:33,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 14:27,2018/11/3 14:27,2018/11/3 14:39,2018/11/3 14:39,,2018/11/3 14:14,0:09:36,0:19:12,,00,09,,,2018/11/3 14:14,2018/11/3 14:33,43407.593055555643407.60625,#N/A,,,,
-,-,14,2018/11/3 14:16,9005,乗客アプリ（地図から）,2677,613,8,1,,2018/11/3 14:26,2018/11/3 14:41,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/3 14:29,2018/11/3 14:33,2018/11/3 14:40,2018/11/3 14:46,,2018/11/3 14:16,0:14:13,0:14:13,,00,10,,,2018/11/3 14:16,2018/11/3 14:41,43407.594444444443407.6118055556,#N/A,,,,
-,-,14,2018/11/3 14:16,9006,乗客アプリ（地図から）,1769,760,9,2,,2018/11/3 14:27,2018/11/3 14:32,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 14:33,2018/11/3 14:33,2018/11/3 14:45,2018/11/3 14:46,,2018/11/3 14:16,0:04:51,0:09:42,,00,11,,,2018/11/3 14:16,2018/11/3 14:32,43407.594444444443407.6055555556,#N/A,,,,
-,-,14,2018/11/3 14:16,9007,まちかど端末（乗降ポイントから）,0,820,4,2,,2018/11/3 14:32,2018/11/3 14:42,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/3 14:35,2018/11/3 14:35,2018/11/3 14:49,2018/11/3 14:49,,2018/11/3 14:16,0:09:51,0:19:42,,00,15,,,2018/11/3 14:16,2018/11/3 14:42,43407.594444444443407.6125,#N/A,,,,
-,-,14,2018/11/3 14:18,9009,乗客アプリ（目的地から）,1742,724,8,1,,2018/11/3 14:26,2018/11/3 14:47,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/3 14:31,2018/11/3 14:33,2018/11/3 14:46,2018/11/3 14:51,,2018/11/3 14:18,0:20:46,0:20:46,,00,07,,,2018/11/3 14:18,2018/11/3 14:47,43407.595833333343407.6159722222,#N/A,,,,
-,-,14,2018/11/3 14:20,9012,乗客アプリ（目的地から）,3945,993,9,1,,2018/11/3 14:28,2018/11/3 14:43,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 14:34,2018/11/3 14:34,2018/11/3 14:54,2018/11/3 14:54,,2018/11/3 14:20,0:15:25,0:15:25,,00,07,,,2018/11/3 14:20,2018/11/3 14:43,43407.597222222243407.6131944444,#N/A,,,,
-,-,14,2018/11/3 14:23,9013,まちかど端末（乗降ポイントから）,0,61,5,1,,2018/11/3 14:28,2018/11/3 14:39,35.448801 139.636702,ホテルルートイン横浜馬車道,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/3 14:31,2018/11/3 14:31,2018/11/3 14:44,2018/11/3 14:44,,2018/11/3 14:23,0:10:22,0:10:22,,00,05,,,2018/11/3 14:23,2018/11/3 14:39,43407.599305555643407.6104166667,#N/A,,,,
-,-,14,2018/11/3 14:23,9014,乗客アプリ（地図から）,4146,731,3,1,,2018/11/3 14:46,2018/11/3 14:53,35.452963 139.642093,横浜赤レンガ倉庫,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/3 14:32,2018/11/3 14:36,2018/11/3 14:44,2018/11/3 14:48,,2018/11/3 14:23,0:06:54,0:06:54,,13,22,,,2018/11/3 14:23,2018/11/3 14:53,43407.599305555643407.6201388889,#N/A,,,,
-,-,14,2018/11/3 14:24,9015,まちかど端末（店舗から）,0,493,5,1,,2018/11/3 14:39,2018/11/3 14:47,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.448676 139.635696,横浜平和プラザホテル,2018/11/3 14:44,2018/11/3 14:44,2018/11/3 14:53,2018/11/3 14:53,,2018/11/3 14:24,0:07:24,0:07:24,,00,15,,,2018/11/3 14:24,2018/11/3 14:47,43407.643407.6159722222,#N/A,,,,
-,-,14,2018/11/3 14:26,9017,乗客アプリ（目的地から）,2563,872,6,3,,2018/11/3 14:45,2018/11/3 14:58,35.441441 139.648505,横浜中華街朱雀門,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/3 14:42,2018/11/3 14:42,2018/11/3 15:04,2018/11/3 15:04,,2018/11/3 14:26,0:13:19,0:39:57,,03,18,,,2018/11/3 14:26,2018/11/3 14:58,43407.601388888943407.6236111111,#N/A,,,,
-,-,14,2018/11/3 14:31,9020,まちかど端末（乗降ポイントから）,0,572,2,2,,2018/11/3 14:33,2018/11/3 14:44,35.452963 139.642093,横浜赤レンガ倉庫,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 14:34,2018/11/3 14:34,2018/11/3 14:44,2018/11/3 14:44,,2018/11/3 14:31,0:10:18,0:20:36,,00,02,,,2018/11/3 14:31,2018/11/3 14:44,43407.604861111143407.6138888889,#N/A,,,,
