,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,,
-,-,10,2018/10/27 10:34,6904,まちかど設置端末（地図から）,0,473,9,2,,2018/10/27 10:38,2018/10/27 10:54,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/27 10:41,2018/10/27 10:41,2018/10/27 10:58,2018/10/27 10:58,,2018/10/27 10:34,0:16:26,0:32:52,,00,03,,,2018/10/27 10:34,2018/10/27 10:54,43400.440277777843400.4541666667,#N/A,,,,
-,-,10,2018/10/27 10:35,6905,まちかど設置端末（店舗から）,0,571,2,1,,2018/10/27 10:40,2018/10/27 10:45,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/10/27 10:41,2018/10/27 10:41,2018/10/27 10:49,2018/10/27 10:49,,2018/10/27 10:35,0:05:09,0:05:09,,00,05,,,2018/10/27 10:35,2018/10/27 10:45,43400.440972222243400.4479166667,#N/A,,,,
-,-,10,2018/10/27 10:41,6906,まちかど設置端末（店舗から）,0,637,10,1,,2018/10/27 10:42,2018/10/27 10:46,35.447541 139.644914,シルク博物館,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/27 10:43,2018/10/27 10:43,2018/10/27 10:47,2018/10/27 10:47,,2018/10/27 10:41,0:04:19,0:04:19,,00,01,,,2018/10/27 10:41,2018/10/27 10:46,43400.445138888943400.4486111111,#N/A,,,,
-,-,10,2018/10/27 10:43,6907,まちかど設置端末（店舗から）,0,608,9,2,,2018/10/27 10:46,2018/10/27 10:54,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/27 10:47,2018/10/27 10:47,2018/10/27 10:59,2018/10/27 10:59,,2018/10/27 10:43,0:07:44,0:15:28,,00,03,,,2018/10/27 10:43,2018/10/27 10:54,43400.446527777843400.4541666667,#N/A,,,,
-,-,10,2018/10/27 10:48,6908,まちかど設置端末（店舗から）,0,450,3,1,,2018/10/27 10:50,2018/10/27 10:57,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/27 10:50,2018/10/27 10:50,2018/10/27 10:58,2018/10/27 10:57,,2018/10/27 10:48,0:06:36,0:06:36,,00,01,,,2018/10/27 10:48,2018/10/27 10:57,43400.4543400.45625,#N/A,,,,
-,-,10,2018/10/27 10:49,6909,乗客アプリ（地図から）,3582,766,2,3,,2018/10/27 10:52,2018/10/27 11:09,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/27 10:54,2018/10/27 10:54,2018/10/27 11:13,2018/10/27 11:13,,2018/10/27 10:49,0:16:51,0:50:33,,00,02,,,2018/10/27 10:49,2018/10/27 11:09,43400.450694444443400.4645833333,#N/A,,,,
-,☆,10,2018/10/27 9:10,6875,乗客アプリ（地図から）,2856,1135,6,1,2018/10/27 9:10,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/27 10:03,,2018/10/27 10:12,,,2018/10/27 9:10,0:00:00,0:00:00,,00,03,,,2018/10/27 9:10,1900/1/0 0:00,43400.38194444440,#N/A,,2018/10/27 10:00,※10時以前に予約しているため,
-,☆,10,2018/10/27 9:56,6878,乗客アプリ（目的地から）,4139,555,3,1,2018/10/27 9:56,,,35.441002 139.650809,横浜元町ショッピングストリート,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/27 10:14,,2018/10/27 10:27,,,2018/10/27 9:56,0:00:00,0:00:00,,00,,,,2018/10/27 9:56,1900/1/0 0:00,43400.41388888890,#N/A,,2018/10/27 10:00,※10時以前に予約しているため,※31行と同一人物と思われるため一番短いものを採用
-,☆,10,2018/10/27 9:57,6879,乗客アプリ（目的地から）,4139,778,3,1,2018/10/27 9:57,,,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/27 10:13,,2018/10/27 10:25,,,2018/10/27 9:57,0:00:00,0:00:00,,00,13,,,2018/10/27 9:57,1900/1/0 0:00,43400.41458333330,#N/A,,2018/10/27 10:00,※10時以前に予約しているため,※30行と同一人物と思われるため一番短いものを採用
-,☆,10,2018/10/27 10:02,6883,まちかど設置端末（地図から）,0,1185,5,1,2018/10/27 10:02,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447541 139.644914,シルク博物館,2018/10/27 10:07,,2018/10/27 10:26,,,2018/10/27 10:02,0:00:00,0:00:00,,00,04,,,2018/10/27 10:02,1900/1/0 0:00,43400.41805555560,#N/A,,,,
