,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,
-,☆,12,2018/11/10 12:20,022-162-GREEN,11873,乗客アプリ（簡単予約）,2436,116,2,1,2018/11/10 12:21,,,35.452963 139.642093,横浜赤レンガ倉庫,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 12:55,,2018/11/10 13:05,,,2018/11/10 12:20,0:00:00,0:00:00,,00,34,,,2018/11/10 12:20,1900/1/0 0:00,43414.51388888890,#N/A,,,
-,☆,12,2018/11/10 12:23,029-833-GREEN 029-871-GREEN,11875,まちかど端末（店舗から）,0,183,4,2,2018/11/10 12:46,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/10 12:35,,2018/11/10 12:47,,,2018/11/10 12:23,0:00:00,0:00:00,,00,23,,,2018/11/10 12:23,1900/1/0 0:00,43414.51597222220,#N/A,,,
★,☆,12,2018/11/10 12:24,075-199-ORANGE 075-200-ORANGE,11878,まちかど端末（乗降ポイントから）,0,841,4,2,2018/11/10 13:00,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/10 12:58,,2018/11/10 13:12,,2018/11/10 12:33,2018/11/10 12:33,0:00:00,0:00:00,,00,26,,,2018/11/10 12:24,1900/1/0 0:00,43414.51666666670,#N/A,,,
-,☆,12,2018/11/10 12:24,022-160-GREEN 022-161-GREEN,11879,まちかど端末（店舗から）,0,493,10,2,2018/11/10 12:40,,,35.452963 139.642093,横浜赤レンガ倉庫,35.443908 139.635249,イセザキ・モール,2018/11/10 13:07,,2018/11/10 13:19,,,2018/11/10 12:24,0:00:00,0:00:00,,00,42,,,2018/11/10 12:24,1900/1/0 0:00,43414.51666666670,#N/A,,,
★,☆,12,2018/11/10 12:25,068-183-BANANA 068-182-BANANA 070-686-ORANGE 068-184-BANANA 068-185-BANANA 068-186-BANANA,11880,まちかど端末（乗降ポイントから）,0,735,2,6,2018/11/10 12:34,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/10 13:15,,2018/11/10 13:30,,2018/11/10 12:33,2018/11/10 12:33,0:00:00,0:00:00,,00,42,,,2018/11/10 12:25,1900/1/0 0:00,43414.51736111110,#N/A,,,
★,☆,12,2018/11/10 12:28,024-540-GREEN 024-541-GREEN,11882,乗客アプリ（地図から）,1857,929,5,2,2018/11/10 12:29,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/10 13:04,,2018/11/10 13:15,,2018/11/10 12:38,2018/11/10 12:38,0:00:00,0:00:00,,00,,,,2018/11/10 12:28,1900/1/0 0:00,43414.51944444440,#N/A,※131行と同一人物と思われるため一番短いものを採用,,
★,☆,12,2018/11/10 12:31,024-541-GREEN,11885,乗客アプリ（地図から）,1857,176,6,1,2018/11/10 12:50,2018/11/10 12:43,,35.443908 139.635249,イセザキ・モール,35.447541 139.644914,シルク博物館,2018/11/10 12:43,2018/11/10 12:43,2018/11/10 12:51,,2018/11/10 12:41,2018/11/10 12:41,,,,00,09,,,2018/11/10 12:31,1900/1/0 0:00,43414.52152777780,#N/A,※130行と同一人物と思われるため一番短いものを採用,,
-,☆,12,2018/11/10 12:32,051-654-STRAWBERRY,11886,まちかど端末（店舗から）,0,280,1,1,2018/11/10 12:37,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/10 12:59,,2018/11/10 13:17,,,2018/11/10 12:32,0:00:00,0:00:00,,00,26,,,2018/11/10 12:32,1900/1/0 0:00,43414.52222222220,#N/A,,,
-,☆,12,2018/11/10 12:32,167-476-CAKE,11887,乗客アプリ（目的地から）,4566,178,5,2,2018/11/10 12:33,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443659 139.650847,横浜マリンタワー,2018/11/10 13:01,,2018/11/10 13:21,,,2018/11/10 12:32,0:00:00,0:00:00,,00,28,,,2018/11/10 12:32,1900/1/0 0:00,43414.52222222220,#N/A,,,
-,☆,12,2018/11/10 12:36,167-489-CAKE,11891,乗客アプリWeb（目的地から）,5037,202,2,1,2018/11/10 12:36,,,35.443908 139.635249,イセザキ・モール,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/10 13:04,,2018/11/10 13:12,,,2018/11/10 12:36,0:00:00,0:00:00,,00,28,,,2018/11/10 12:36,1900/1/0 0:00,43414.5250,#N/A,,,
-,☆,12,2018/11/10 12:37,063-122-BANANA 068-187-BANANA 068-188-BANANA 068-184-BANANA 068-186-BANANA 068-185-BANANA,11893,乗客アプリ（目的地から）,5744,18,6,6,2018/11/10 12:37,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 13:20,,2018/11/10 13:32,,,2018/11/10 12:37,0:00:00,0:00:00,,00,43,,,2018/11/10 12:37,1900/1/0 0:00,43414.52569444440,#N/A,,,
-,☆,12,2018/11/10 12:37,105-814-SNOW 102-508-SNOW 102-589-SNOW 102-586-SNOW,11894,乗客アプリ（地図から）,5697,681,5,4,2018/11/10 12:38,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441441 139.648505,横浜中華街朱雀門,2018/11/10 13:12,,2018/11/10 13:31,,,2018/11/10 12:37,0:00:00,0:00:00,,00,35,,,2018/11/10 12:37,1900/1/0 0:00,43414.52569444440,#N/A,,,
-,☆,12,2018/11/10 12:43,025-859-GREEN,11899,乗客アプリ（地図から）,4540,378,3,1,2018/11/10 12:43,,,35.441002 139.650809,横浜元町ショッピングストリート,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/10 13:32,,2018/11/10 13:48,,,2018/11/10 12:43,0:00:00,0:00:00,,00,49,,,2018/11/10 12:43,1900/1/0 0:00,43414.52986111110,#N/A,,,
-,☆,12,2018/11/10 12:47,063-103-BANANA 063-102-BANANA,11903,まちかど端末（店舗から）,0,888,7,2,2018/11/10 13:12,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/10 13:04,,2018/11/10 13:16,,,2018/11/10 12:47,0:00:00,0:00:00,,00,25,,,2018/11/10 12:47,1900/1/0 0:00,43414.53263888890,#N/A,,,
-,☆,12,2018/11/10 12:51,024-541-GREEN 024-540-GREEN,11906,乗客アプリ（地図から）,1857,360,6,2,2018/11/10 12:53,,,35.443908 139.635249,イセザキ・モール,35.447541 139.644914,シルク博物館,2018/11/10 13:30,,2018/11/10 13:40,,,2018/11/10 12:51,0:00:00,0:00:00,,00,39,,,2018/11/10 12:51,1900/1/0 0:00,43414.53541666670,#N/A,,,
-,☆,12,2018/11/10 12:52,067-169-BANANA 063-396-BANANA 067-168-BANANA,11907,まちかど端末（乗降ポイントから）,0,847,8,3,2018/11/10 12:59,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 13:27,,2018/11/10 13:46,,,2018/11/10 12:52,0:00:00,0:00:00,,00,34,,,2018/11/10 12:52,1900/1/0 0:00,43414.53611111110,#N/A,,,
-,☆,12,2018/11/10 12:53,070-414-ORANGE 070-415-ORANGE 070-420-ORANGE 072-221-ORANGE,11909,乗客アプリ（目的地から）,5404,905,6,4,2018/11/10 12:54,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/10 13:31,,2018/11/10 13:43,,,2018/11/10 12:53,0:00:00,0:00:00,,00,37,,,2018/11/10 12:53,1900/1/0 0:00,43414.53680555560,#N/A,,,
-,☆,12,2018/11/10 12:54,018-392-RED 018-331-RED,11910,乗客アプリ（地図から）,3738,113,3,2,2018/11/10 13:21,,,35.441002 139.650809,横浜元町ショッピングストリート,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/10 13:32,,2018/11/10 13:49,,,2018/11/10 12:54,0:00:00,0:00:00,,00,37,,,2018/11/10 12:54,1900/1/0 0:00,43414.53750,#N/A,,,
-,☆,12,2018/11/10 12:55,032-204-YELLOW,11911,乗客アプリ（簡単予約）,5650,573,6,1,2018/11/10 12:56,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/10 13:30,,2018/11/10 13:44,,,2018/11/10 12:55,0:00:00,0:00:00,,00,35,,,2018/11/10 12:55,1900/1/0 0:00,43414.53819444440,#N/A,,,
★,-,13,2018/11/10 12:51,111-922-SUN 111-921-SUN,11905,乗客アプリ（地図から）,1703,359,7,2,,2018/11/10 13:21,2018/11/10 13:31,35.448801 139.636702,ホテルルートイン横浜馬車道,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/10 13:25,2018/11/10 13:25,2018/11/10 13:35,2018/11/10 13:35,2018/11/10 13:01,2018/11/10 13:01,0:10:01,0:20:02,1043,00,20,10,09,2018/11/10 12:51,2018/11/10 13:31,43414.535416666743414.5631944444,#N/A,,,
★,-,13,2018/11/10 12:53,015-670-RED,11908,乗客アプリ（目的地から）,2584,116,1,1,,2018/11/10 12:58,2018/11/10 13:06,35.452963 139.642093,横浜赤レンガ倉庫,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/10 13:03,2018/11/10 13:03,2018/11/10 13:21,2018/11/10 13:21,2018/11/10 13:03,2018/11/10 13:03,0:08:18,0:08:18,,00,00,,,2018/11/10 12:53,2018/11/10 13:06,43414.536805555643414.5458333333,#N/A,,,
★,-,13,2018/11/10 13:00,002-638-BLUE,11914,乗客アプリ（地図から）,1591,980,9,1,,2018/11/10 13:06,2018/11/10 13:19,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/10 13:10,2018/11/10 13:10,2018/11/10 13:29,2018/11/10 13:29,2018/11/10 13:10,2018/11/10 13:10,0:13:48,0:13:48,,00,00,,,2018/11/10 13:00,2018/11/10 13:19,43414.541666666743414.5548611111,肯定的,,,
-,-,13,2018/11/10 13:01,026-293-GREEN 109-637-SNOW,11915,乗客アプリ（目的地から）,5743,543,10,2,,2018/11/10 13:11,2018/11/10 13:28,35.454389 139.630904,横浜ランドマークタワー,35.445857 139.647636,ホテルモントレ横浜,2018/11/10 13:11,2018/11/10 13:19,2018/11/10 13:27,2018/11/10 13:37,,2018/11/10 13:01,0:17:05,0:34:10,,00,09,,,2018/11/10 13:01,2018/11/10 13:28,43414.542361111143414.5611111111,#N/A,,,
-,-,13,2018/11/10 13:04,019-415-RED,11917,まちかど端末（乗降ポイントから）,0,582,4,1,,2018/11/10 13:11,2018/11/10 13:29,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/10 13:16,2018/11/10 13:16,2018/11/10 13:29,2018/11/10 13:29,,2018/11/10 13:04,0:18:43,0:18:43,,00,06,,,2018/11/10 13:04,2018/11/10 13:29,43414.544444444443414.5618055556,#N/A,,,
★,-,13,2018/11/10 13:06,112-657-SUN,11918,乗客アプリ（地図から）,2953,948,8,1,,2018/11/10 13:17,2018/11/10 13:31,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/10 13:16,2018/11/10 13:16,2018/11/10 13:36,2018/11/10 13:36,2018/11/10 13:16,2018/11/10 13:16,0:14:13,0:14:13,,00,00,,,2018/11/10 13:06,2018/11/10 13:31,43414.545833333343414.5631944444,#N/A,,,
-,-,13,2018/11/10 13:07,019-092-RED 019-091-RED 019-093-RED,11919,まちかど端末（乗降ポイントから）,0,160,6,3,,2018/11/10 13:17,2018/11/10 13:27,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/10 13:19,2018/11/10 13:19,2018/11/10 13:31,2018/11/10 13:34,,2018/11/10 13:07,0:09:57,0:29:51,,00,10,,,2018/11/10 13:07,2018/11/10 13:27,43414.546527777843414.5604166667,#N/A,,,
-,-,13,2018/11/10 13:07,102-902-SNOW,11920,乗客アプリ（簡単予約）,5747,625,6,1,,2018/11/10 13:17,2018/11/10 13:22,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 13:21,2018/11/10 13:21,2018/11/10 13:29,2018/11/10 13:29,,2018/11/10 13:07,0:05:53,0:05:53,,00,09,,,2018/11/10 13:07,2018/11/10 13:22,43414.546527777843414.5569444444,#N/A,,,
-,-,13,2018/11/10 13:09,028-738-GREEN 015-853-RED 015-849-RED 015-848-RED,11925,まちかど端末（乗降ポイントから）,0,472,8,4,,2018/11/10 13:31,2018/11/10 13:39,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/10 13:36,2018/11/10 13:36,2018/11/10 13:53,2018/11/10 13:53,,2018/11/10 13:09,0:07:33,0:30:12,,00,22,,,2018/11/10 13:09,2018/11/10 13:39,43414.547916666743414.56875,#N/A,,,
-,-,13,2018/11/10 13:09,019-236-RED 019-232-RED,11926,乗客アプリ（地図から）,5749,605,9,2,,2018/11/10 13:24,2018/11/10 13:28,35.443659 139.650847,横浜マリンタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/10 13:24,2018/11/10 13:24,2018/11/10 13:32,2018/11/10 13:32,,2018/11/10 13:09,0:03:38,0:07:16,,00,15,,,2018/11/10 13:09,2018/11/10 13:28,43414.547916666743414.5611111111,#N/A,,,
-,-,13,2018/11/10 13:10,075-070-ORANGE,11927,乗客アプリ（地図から）,3598,239,10,1,,2018/11/10 13:19,2018/11/10 13:28,35.450554 139.632616,横浜桜木町ワシントンホテル,35.445857 139.647636,ホテルモントレ横浜,2018/11/10 13:25,2018/11/10 13:25,2018/11/10 13:36,2018/11/10 13:36,,2018/11/10 13:10,0:08:43,0:08:43,,00,09,,,2018/11/10 13:10,2018/11/10 13:28,43414.548611111143414.5611111111,#N/A,,,
★,-,13,2018/11/10 13:10,075-204-ORANGE 075-205-ORANGE 075-206-ORANGE,11928,まちかど端末（店舗から）,0,824,1,3,,2018/11/10 13:30,2018/11/10 13:40,35.445857 139.647636,ホテルモントレ横浜,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/10 13:24,2018/11/10 13:24,2018/11/10 13:38,2018/11/10 13:46,2018/11/10 13:15,2018/11/10 13:15,0:10:03,0:30:09,,05,15,,,2018/11/10 13:10,2018/11/10 13:40,43414.548611111143414.5694444444,#N/A,,,
★,-,13,2018/11/10 13:12,063-535-BANANA,11929,乗客アプリ（地図から）,4924,518,2,1,,2018/11/10 13:19,2018/11/10 13:28,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.445783 139.642958,横浜情報文化センター,2018/11/10 13:22,2018/11/10 13:22,2018/11/10 13:37,2018/11/10 13:37,2018/11/10 13:22,2018/11/10 13:22,0:09:26,0:09:26,,00,00,,,2018/11/10 13:12,2018/11/10 13:28,43414.5543414.5611111111,肯定的,,,
★,-,13,2018/11/10 13:12,064-243-BANANA 064-242-BANANA 064-244-BANANA 063-201-BANANA 064-241-BANANA,11930,乗客アプリ（目的地から）,5699,697,4,5,,2018/11/10 13:22,2018/11/10 13:29,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.456605 139.635327,横浜ベイホテル東急,2018/11/10 13:22,2018/11/10 13:22,2018/11/10 13:52,2018/11/10 13:52,2018/11/10 13:22,2018/11/10 13:22,0:07:43,0:38:35,,00,00,,,2018/11/10 13:12,2018/11/10 13:29,43414.5543414.5618055556,#N/A,,,
★,-,13,2018/11/10 13:13,027-319-GREEN 028-686-GREEN,11931,乗客アプリ（地図から）,5690,845,6,2,,2018/11/10 13:30,2018/11/10 13:38,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/10 13:38,2018/11/10 13:38,2018/11/10 13:54,2018/11/10 13:54,2018/11/10 13:23,2018/11/10 13:23,0:08:07,0:16:14,,00,07,,,2018/11/10 13:13,2018/11/10 13:38,43414.550694444443414.5680555556,#N/A,,,
-,-,13,2018/11/10 13:14,104-830-SNOW,11932,まちかど端末（店舗から）,0,208,9,1,,2018/11/10 13:37,2018/11/10 13:46,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/10 13:39,2018/11/10 13:39,2018/11/10 13:46,2018/11/10 13:46,,2018/11/10 13:14,0:09:14,0:09:14,,00,22,,,2018/11/10 13:14,2018/11/10 13:46,43414.551388888943414.5736111111,肯定的,,,
-,-,13,2018/11/10 13:14,110-552-SUN 110-553-SUN,11933,乗客アプリ（簡単予約）,4256,834,7,2,,2018/11/10 13:39,2018/11/10 13:50,35.443908 139.635249,イセザキ・モール,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 13:45,2018/11/10 13:45,2018/11/10 14:01,2018/11/10 14:01,,2018/11/10 13:14,0:10:40,0:21:20,,00,25,,,2018/11/10 13:14,2018/11/10 13:50,43414.551388888943414.5763888889,#N/A,,,
-,-,13,2018/11/10 13:17,068-181-BANANA 018-216-RED,11936,まちかど端末（店舗から）,0,366,13,2,,2018/11/10 13:23,2018/11/10 13:34,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/10 13:21,2018/11/10 13:23,2018/11/10 13:35,2018/11/10 13:37,,2018/11/10 13:17,0:11:25,0:22:50,,01,05,,,2018/11/10 13:17,2018/11/10 13:34,43414.553472222243414.5652777778,#N/A,,,
-,-,13,2018/11/10 13:23,106-148-SNOW 106-149-SNOW,11942,乗客アプリ（地図から）,4855,514,3,2,,2018/11/10 13:33,2018/11/10 13:37,35.443908 139.635249,イセザキ・モール,35.448676 139.635696,横浜平和プラザホテル,2018/11/10 13:34,2018/11/10 13:34,2018/11/10 13:40,2018/11/10 13:40,,2018/11/10 13:23,0:04:22,0:08:44,,00,09,,,2018/11/10 13:23,2018/11/10 13:37,43414.557638888943414.5673611111,#N/A,,,
-,-,13,2018/11/10 13:27,109-382-SNOW,11944,乗客アプリ（地図から）,5181,490,10,1,,2018/11/10 13:36,2018/11/10 13:43,35.448676 139.635696,横浜平和プラザホテル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/10 13:38,2018/11/10 13:38,2018/11/10 13:44,2018/11/10 13:44,,2018/11/10 13:27,0:06:44,0:06:44,,00,08,,,2018/11/10 13:27,2018/11/10 13:43,43414.560416666743414.5715277778,#N/A,,,
-,-,13,2018/11/10 13:28,028-216-GREEN,11945,まちかど端末（乗降ポイントから）,0,183,5,1,,2018/11/10 13:32,2018/11/10 13:50,35.447541 139.644914,シルク博物館,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/10 13:33,2018/11/10 13:33,2018/11/10 13:58,2018/11/10 13:58,,2018/11/10 13:28,0:17:41,0:17:41,,00,03,,,2018/11/10 13:28,2018/11/10 13:50,43414.561111111143414.5763888889,#N/A,,,
-,-,13,2018/11/10 13:30,110-820-SUN,11946,乗客アプリ（簡単予約）,4956,736,3,1,,2018/11/10 13:31,2018/11/10 13:47,35.443908 139.635249,イセザキ・モール,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 13:35,2018/11/10 13:35,2018/11/10 13:53,2018/11/10 13:53,,2018/11/10 13:30,0:16:38,0:16:38,,00,01,,,2018/11/10 13:30,2018/11/10 13:47,43414.562543414.5743055556,#N/A,,,
★,-,13,2018/11/10 13:33,018-392-RED 018-331-RED,11947,乗客アプリ（地図から）,3738,100,4,2,,2018/11/10 13:47,2018/11/10 14:01,35.441002 139.650809,横浜元町ショッピングストリート,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/10 13:43,2018/11/10 13:43,2018/11/10 14:00,2018/11/10 14:00,2018/11/10 13:43,2018/11/10 13:43,0:13:19,0:26:38,,04,04,,,2018/11/10 13:33,2018/11/10 14:01,43414.564583333343414.5840277778,#N/A,,,
-,-,13,2018/11/10 13:33,103-429-SNOW 103-428-SNOW,11948,乗客アプリ（地図から）,5277,176,8,2,,2018/11/10 13:39,2018/11/10 13:46,35.452963 139.642093,横浜赤レンガ倉庫,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/10 13:46,2018/11/10 13:46,2018/11/10 14:01,2018/11/10 13:53,,2018/11/10 13:33,0:06:51,0:13:42,,00,06,,,2018/11/10 13:33,2018/11/10 13:46,43414.564583333343414.5736111111,#N/A,,,
-,-,13,2018/11/10 13:34,166-566-agekke,11949,まちかど端末（乗降ポイントから）,0,831,9,1,,2018/11/10 13:46,2018/11/10 13:55,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.443908 139.635249,イセザキ・モール,2018/11/10 13:46,2018/11/10 13:46,2018/11/10 13:57,2018/11/10 13:57,,2018/11/10 13:34,0:09:11,0:09:11,,00,12,,,2018/11/10 13:34,2018/11/10 13:55,43414.565277777843414.5798611111,#N/A,,,
-,-,13,2018/11/10 13:34,167-473-CAKE,11950,乗客アプリWeb（地図から）,5701,508,6,4,,2018/11/10 13:43,2018/11/10 14:13,35.456605 139.635327,横浜ベイホテル東急,35.441441 139.648505,横浜中華街朱雀門,2018/11/10 13:50,2018/11/10 13:50,2018/11/10 14:09,2018/11/10 14:21,,2018/11/10 13:34,0:30:41,2:02:44,,00,08,,,2018/11/10 13:34,2018/11/10 14:13,43414.565277777843414.5923611111,#N/A,,,
-,-,13,2018/11/10 13:36,109-635-SNOW 104-831-SNOW 109-636-SNOW,11951,乗客アプリ（目的地から）,2858,111,1,3,,2018/11/10 13:42,2018/11/10 13:50,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 13:42,2018/11/10 13:42,2018/11/10 13:56,2018/11/10 13:56,,2018/11/10 13:36,0:07:36,0:22:48,,00,06,,,2018/11/10 13:36,2018/11/10 13:50,43414.566666666743414.5763888889,肯定的,,,
-,-,13,2018/11/10 13:37,104-659-SNOW,11955,乗客アプリ（地図から）,4241,232,1,1,,2018/11/10 13:42,2018/11/10 14:01,35.450554 139.632616,横浜桜木町ワシントンホテル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/10 13:44,2018/11/10 13:44,2018/11/10 14:12,2018/11/10 14:12,,2018/11/10 13:37,0:18:16,0:18:16,,00,05,,,2018/11/10 13:37,2018/11/10 14:01,43414.567361111143414.5840277778,#N/A,,,
-,-,13,2018/11/10 13:39,068-179-BANANA 068-180-BANANA,11957,乗客アプリ（目的地から）,5723,724,10,2,,2018/11/10 13:46,2018/11/10 14:05,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/10 13:46,2018/11/10 13:48,2018/11/10 14:03,2018/11/10 14:10,,2018/11/10 13:39,0:18:36,0:37:12,,00,07,,,2018/11/10 13:39,2018/11/10 14:05,43414.5687543414.5868055556,#N/A,,,
-,-,13,2018/11/10 13:39,063-126-BANANA 063-984-BANANA 070-687-ORANGE 063-125-BANANA 063-128-BANANA 063-983-BANANA,11958,まちかど端末（店舗から）,0,637,8,6,,2018/11/10 13:54,2018/11/10 14:04,35.45435 139.631762,横浜ロイヤルパークホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/10 13:58,2018/11/10 13:58,2018/11/10 14:17,2018/11/10 14:17,,2018/11/10 13:39,0:09:46,0:58:36,,00,14,,,2018/11/10 13:39,2018/11/10 14:04,43414.5687543414.5861111111,肯定的,,,
-,-,13,2018/11/10 13:42,063-534-BANANA 063-532-BANANA,11959,乗客アプリ（地図から）,5736,407,13,2,,2018/11/10 13:42,2018/11/10 13:55,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.441441 139.648505,横浜中華街朱雀門,2018/11/10 13:43,2018/11/10 13:43,2018/11/10 14:01,2018/11/10 14:01,,2018/11/10 13:42,0:13:01,0:26:02,,00,00,,,2018/11/10 13:42,2018/11/10 13:55,43414.570833333343414.5798611111,#N/A,,,
★,-,13,2018/11/10 13:43,102-430-SNOW 102-575-SNOW,11961,乗客アプリ（目的地から）,2917,470,6,2,,2018/11/10 13:49,2018/11/10 13:58,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/10 13:53,2018/11/10 13:53,2018/11/10 14:12,2018/11/10 14:12,2018/11/10 13:53,2018/11/10 13:53,0:09:20,0:18:40,,00,00,,,2018/11/10 13:43,2018/11/10 13:58,43414.571527777843414.5819444444,#N/A,,,
-,-,13,2018/11/10 13:44,018-216-RED 068-181-BANANA,11962,まちかど端末（乗降ポイントから）,0,780,5,2,,2018/11/10 13:56,2018/11/10 14:08,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/10 13:57,2018/11/10 13:57,2018/11/10 14:11,2018/11/10 14:20,,2018/11/10 13:44,0:11:22,0:22:44,,00,12,,,2018/11/10 13:44,2018/11/10 14:08,43414.572222222243414.5888888889,#N/A,,,
-,-,13,2018/11/10 13:45,104-657-SNOW 104-655-SNOW 104-658-SNOW 104-656-SNOW,11964,乗客アプリ（簡単予約）,1476,466,7,4,,2018/11/10 13:56,2018/11/10 14:02,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/10 14:00,2018/11/10 14:00,2018/11/10 14:14,2018/11/10 14:14,,2018/11/10 13:45,0:06:34,0:26:16,,00,10,,,2018/11/10 13:45,2018/11/10 14:02,43414.572916666743414.5847222222,肯定的,,,
-,-,13,2018/11/10 13:47,167-490-CAKE,11965,乗客アプリWeb（地図から）,5745,191,11,1,,2018/11/10 13:54,2018/11/10 14:15,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/10 13:53,2018/11/10 13:54,2018/11/10 14:12,2018/11/10 14:20,,2018/11/10 13:47,0:21:49,0:21:49,,00,06,,,2018/11/10 13:47,2018/11/10 14:15,43414.574305555643414.59375,肯定的,,,
-,-,13,2018/11/10 13:48,110-585-SUN,11967,乗客アプリ（地図から）,3445,376,13,1,,2018/11/10 14:02,2018/11/10 14:11,35.441002 139.650809,横浜元町ショッピングストリート,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/10 14:01,2018/11/10 14:01,2018/11/10 14:08,2018/11/10 14:11,,2018/11/10 13:48,0:09:18,0:09:18,,01,14,,,2018/11/10 13:48,2018/11/10 14:11,43414.57543414.5909722222,#N/A,,,
