,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,
★,-,10,2018/11/11 10:35,167-517-CAKE,12395,乗客アプリWeb（目的地から）,5870,92,4,4,,2018/11/11 10:47,2018/11/11 10:52,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/11 10:44,2018/11/11 10:44,2018/11/11 10:55,2018/11/11 10:55,2018/11/11 10:44,2018/11/11 10:44,0:05:13,0:20:52,,03,03,,,2018/11/11 10:35,2018/11/11 10:52,43415.440972222243415.4527777778,#N/A,,,
-,-,10,2018/11/11 10:36,166-590-agekke 019-217-RED 166-820-agekke,12396,まちかど端末（乗降ポイントから）,0,202,5,3,,2018/11/11 10:38,2018/11/11 10:46,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/11 10:38,2018/11/11 10:38,2018/11/11 10:49,2018/11/11 10:49,,2018/11/11 10:36,0:08:19,0:24:57,,00,02,,,2018/11/11 10:36,2018/11/11 10:46,43415.441666666743415.4486111111,#N/A,,,
★,-,10,2018/11/11 10:40,062-969-BANANA 062-968-BANANA 062-970-BANANA 064-749-BANANA,12397,乗客アプリ（目的地から）,5794,701,8,4,,2018/11/11 10:50,2018/11/11 10:59,35.443908 139.635249,イセザキ・モール,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/11 10:50,2018/11/11 10:50,2018/11/11 11:05,2018/11/11 11:05,2018/11/11 10:50,2018/11/11 10:50,0:08:32,0:34:08,,00,00,,,2018/11/11 10:40,2018/11/11 10:59,43415.444444444443415.4576388889,肯定的,,,
-,-,10,2018/11/11 10:46,111-793-SUN,12399,乗客アプリ（地図から）,2759,170,10,1,,2018/11/11 10:54,2018/11/11 11:01,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/11 10:52,2018/11/11 10:52,2018/11/11 11:03,2018/11/11 11:03,,2018/11/11 10:46,0:06:19,0:06:19,,02,08,,,2018/11/11 10:46,2018/11/11 11:01,43415.448611111143415.4590277778,#N/A,,,
-,-,10,2018/11/11 10:50,018-240-RED 018-239-RED 018-238-RED,12400,乗客アプリ（地図から）,5856,706,9,3,,2018/11/11 11:06,2018/11/11 11:16,35.454389 139.630904,横浜ランドマークタワー,35.445857 139.647636,ホテルモントレ横浜,2018/11/11 10:58,2018/11/11 10:58,2018/11/11 11:11,2018/11/11 11:11,,2018/11/11 10:50,0:09:40,0:29:00,,08,16,,,2018/11/11 10:50,2018/11/11 11:16,43415.451388888943415.4694444444,#N/A,,,
-,-,10,2018/11/11 10:51,068-156-BANANA 068-157-BANANA 068-152-BANANA,12403,乗客アプリ（目的地から）,5865,737,11,3,,2018/11/11 10:57,2018/11/11 11:02,35.456605 139.635327,横浜ベイホテル東急,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/11 11:01,2018/11/11 11:01,2018/11/11 11:09,2018/11/11 11:09,,2018/11/11 10:51,0:04:25,0:13:15,,00,05,,,2018/11/11 10:51,2018/11/11 11:02,43415.452083333343415.4597222222,肯定的,,,
-,-,10,2018/11/11 10:54,062-754-BANANA 062-753-BANANA,12404,乗客アプリ（地図から）,5816,417,13,2,,2018/11/11 10:57,2018/11/11 11:04,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/11 10:57,2018/11/11 10:57,2018/11/11 11:08,2018/11/11 11:08,,2018/11/11 10:54,0:07:28,0:14:56,,00,02,,,2018/11/11 10:54,2018/11/11 11:04,43415.454166666743415.4611111111,#N/A,,,
-,-,10,2018/11/11 10:55,027-112-GREEN 027-113-GREEN,12405,乗客アプリ（地図から）,5852,69,1,2,,2018/11/11 11:03,2018/11/11 11:09,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/11 11:03,2018/11/11 11:03,2018/11/11 11:10,2018/11/11 11:10,,2018/11/11 10:55,0:06:12,0:12:24,,00,07,,,2018/11/11 10:55,2018/11/11 11:09,43415.454861111143415.4645833333,#N/A,,,
-,-,10,2018/11/11 10:56,167-519-CAKE,12406,乗客アプリ（目的地から）,5875,238,4,2,,2018/11/11 11:00,2018/11/11 11:07,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/11 11:00,2018/11/11 11:00,2018/11/11 11:11,2018/11/11 11:11,,2018/11/11 10:56,0:06:43,0:13:26,,00,03,,,2018/11/11 10:56,2018/11/11 11:07,43415.455555555643415.4631944444,#N/A,,,
-,☆,10,2018/11/11 10:21,026-163-GREEN 019-902-RED,12386,まちかど端末（乗降ポイントから）,0,135,7,2,2018/11/11 10:29,,,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/11 10:26,,2018/11/11 10:36,,,2018/11/11 10:21,0:00:00,0:00:00,,00,08,,,2018/11/11 10:21,1900/1/0 0:00,43415.431250,#N/A,,,
