,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,計算用ダミー,
-,-,10,2018/11/1 10:33,8097,まちかど端末（乗降ポイントから）,0,160,8,1,,2018/11/1 10:38,2018/11/1 10:48,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443073 139.651914,横浜人形の家,2018/11/1 10:37,2018/11/1 10:37,2018/11/1 10:53,2018/11/1 10:53,,2018/11/1 10:33,0:10:05,0:10:05,,01,04,,,2018/11/1 10:33,2018/11/1 10:48,43405.439583333343405.45,#N/A,,
★,-,10,2018/11/1 10:49,8099,乗客アプリ（簡単予約）,3620,33,2,2,,2018/11/1 11:28,2018/11/1 11:44,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447541 139.644914,シルク博物館,2018/11/1 11:19,2018/11/1 11:25,2018/11/1 11:33,2018/11/1 11:40,2018/11/1 11:19,2018/11/1 11:19,0:15:49,0:31:38,,09,09,,,2018/11/1 10:49,2018/11/1 11:44,43405.450694444443405.4888888889,#N/A,,
-,-,10,2018/11/1 10:51,8100,乗客アプリ（目的地から）,4032,249,1,2,,2018/11/1 10:56,2018/11/1 11:03,35.453715 139.638133,横浜ワールドポーターズ,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 10:55,2018/11/1 10:55,2018/11/1 11:07,2018/11/1 11:07,,2018/11/1 10:51,0:07:00,0:14:00,,00,04,,,2018/11/1 10:51,2018/11/1 11:03,43405.452083333343405.4604166667,肯定的,,
-,-,10,2018/11/1 10:59,8101,乗客アプリ（目的地から）,3162,747,7,1,,2018/11/1 11:01,2018/11/1 11:18,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/1 11:02,2018/11/1 11:02,2018/11/1 11:10,2018/11/1 11:10,,2018/11/1 10:59,0:16:14,0:16:14,,00,02,,,2018/11/1 10:59,2018/11/1 11:18,43405.457638888943405.4708333333,#N/A,,
-,-,10,2018/11/1 10:59,8102,まちかど端末（店舗から）,0,606,3,1,,2018/11/1 11:02,2018/11/1 11:15,35.447541 139.644914,シルク博物館,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 11:00,2018/11/1 11:02,2018/11/1 11:10,2018/11/1 11:20,,2018/11/1 10:59,0:13:01,0:13:01,,01,03,,,2018/11/1 10:59,2018/11/1 11:15,43405.457638888943405.46875,#N/A,,
-,☆,10,2018/11/1 9:18,8070,乗客アプリ（地図から）,4363,136,1,1,2018/11/1 9:19,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 10:06,,2018/11/1 10:12,,,2018/11/1 9:18,0:00:00,0:00:00,,00,06,,,2018/11/1 9:18,1900/1/0 0:00,43405.38750,#N/A,2018/11/1 10:00,※10時以前に予約しているため
-,☆,10,2018/11/1 9:20,8071,乗客アプリ（地図から）,4363,560,1,1,2018/11/1 10:13,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 10:05,,2018/11/1 10:12,,,2018/11/1 9:20,0:00:00,0:00:00,,00,,,,2018/11/1 9:20,1900/1/0 0:00,43405.38888888890,#N/A,2018/11/1 10:00,※10時以前に予約しているため
-,☆,10,2018/11/1 9:38,8073,乗客アプリ（目的地から）,3162,298,9,2,2018/11/1 9:39,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/1 10:11,,2018/11/1 10:28,,,2018/11/1 9:38,0:00:00,0:00:00,,00,11,,,2018/11/1 9:38,1900/1/0 0:00,43405.40138888890,#N/A,2018/11/1 10:00,※10時以前に予約しているため
-,☆,10,2018/11/1 10:47,8098,乗客アプリ（地図から）,4032,38,10,2,2018/11/1 10:47,,,35.453715 139.638133,横浜ワールドポーターズ,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 10:49,,2018/11/1 11:02,,,2018/11/1 10:47,0:00:00,0:00:00,,00,02,,,2018/11/1 10:47,1900/1/0 0:00,43405.44930555560,#N/A,,
-,-,11,2018/11/1 11:00,8103,まちかど端末（乗降ポイントから）,0,807,3,2,,2018/11/1 11:05,2018/11/1 11:12,35.445857 139.647636,ホテルモントレ横浜,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/1 11:04,2018/11/1 11:04,2018/11/1 11:15,2018/11/1 11:15,,2018/11/1 11:00,0:07:10,0:14:20,381,00,04,04,05,2018/11/1 11:00,2018/11/1 11:12,43405.458333333343405.4666666667,#N/A,,
-,-,11,2018/11/1 11:02,8104,乗客アプリ（地図から）,4073,770,7,1,,2018/11/1 11:07,2018/11/1 11:23,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447541 139.644914,シルク博物館,2018/11/1 11:08,2018/11/1 11:08,2018/11/1 11:23,2018/11/1 11:23,,2018/11/1 11:02,0:16:13,0:16:13,,00,04,,,2018/11/1 11:02,2018/11/1 11:23,43405.459722222243405.4743055556,#N/A,,
-,-,11,2018/11/1 11:03,8105,乗客アプリWeb（目的地から）,4569,206,8,3,,2018/11/1 11:10,2018/11/1 11:21,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/1 11:05,2018/11/1 11:07,2018/11/1 11:17,2018/11/1 11:25,,2018/11/1 11:03,0:11:01,0:33:03,,04,07,,,2018/11/1 11:03,2018/11/1 11:21,43405.460416666743405.4729166667,#N/A,,
-,-,11,2018/11/1 11:07,8107,乗客アプリWeb（目的地から）,4570,513,8,1,,2018/11/1 11:13,2018/11/1 11:18,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 11:11,2018/11/1 11:13,2018/11/1 11:21,2018/11/1 11:22,,2018/11/1 11:07,0:05:33,0:05:33,,01,06,,,2018/11/1 11:07,2018/11/1 11:18,43405.463194444443405.4708333333,#N/A,,
-,-,11,2018/11/1 11:08,8108,まちかど端末（店舗から）,0,415,7,2,,2018/11/1 11:15,2018/11/1 11:26,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 11:13,2018/11/1 11:13,2018/11/1 11:28,2018/11/1 11:28,,2018/11/1 11:08,0:10:50,0:21:40,,01,06,,,2018/11/1 11:08,2018/11/1 11:26,43405.463888888943405.4763888889,肯定的,,
-,-,11,2018/11/1 11:10,8109,乗客アプリ（目的地から）,4511,166,2,1,,2018/11/1 11:21,2018/11/1 11:33,35.456605 139.635327,横浜ベイホテル東急,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 11:18,2018/11/1 11:18,2018/11/1 11:32,2018/11/1 11:32,,2018/11/1 11:10,0:12:02,0:12:02,,03,11,,,2018/11/1 11:10,2018/11/1 11:33,43405.465277777843405.48125,#N/A,,
★,-,11,2018/11/1 11:12,8110,まちかど端末（店舗から）,0,854,8,1,,2018/11/1 11:39,2018/11/1 11:53,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 11:42,2018/11/1 11:42,2018/11/1 11:54,2018/11/1 12:02,2018/11/1 11:42,2018/11/1 11:42,0:13:43,0:13:43,,00,00,,,2018/11/1 11:12,2018/11/1 11:53,43405.466666666743405.4951388889,#N/A,,
-,-,11,2018/11/1 11:13,8111,乗客アプリ（地図から）,4380,115,4,1,,2018/11/1 11:19,2018/11/1 11:27,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/1 11:16,2018/11/1 11:16,2018/11/1 11:29,2018/11/1 11:29,,2018/11/1 11:13,0:08:41,0:08:41,,02,05,,,2018/11/1 11:13,2018/11/1 11:27,43405.467361111143405.4770833333,#N/A,,
-,-,11,2018/11/1 11:17,8112,まちかど端末（店舗から）,0,923,5,2,,2018/11/1 11:22,2018/11/1 11:35,35.45435 139.631762,横浜ロイヤルパークホテル,35.443908 139.635249,イセザキ・モール,2018/11/1 11:22,2018/11/1 11:22,2018/11/1 11:32,2018/11/1 11:35,,2018/11/1 11:17,0:12:49,0:25:38,,00,05,,,2018/11/1 11:17,2018/11/1 11:35,43405.470138888943405.4826388889,#N/A,,
-,-,11,2018/11/1 11:20,8113,まちかど端末（店舗から）,0,842,7,2,,2018/11/1 11:26,2018/11/1 11:47,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/1 11:26,2018/11/1 11:26,2018/11/1 11:40,2018/11/1 11:40,,2018/11/1 11:20,0:20:06,0:40:12,,00,06,,,2018/11/1 11:20,2018/11/1 11:47,43405.472222222243405.4909722222,#N/A,,
