,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,
-,-,10,2018/11/7 10:25,023-319-GREEN,10593,乗客アプリ（地図から）,4092,420,7,1,,2018/11/7 10:31,2018/11/7 10:37,35.441002 139.650809,横浜元町ショッピングストリート,35.445783 139.642958,横浜情報文化センター,2018/11/7 10:29,2018/11/7 10:29,2018/11/7 10:36,2018/11/7 10:36,,2018/11/7 10:25,0:05:24,0:05:24,,02,06,,,2018/11/7 10:25,2018/11/7 10:37,43411.434027777843411.4423611111,#N/A,,,
★,-,10,2018/11/7 10:26,065-779-BANANA 065-777-BANANA,10594,乗客アプリ（目的地から）,3202,157,1,2,,2018/11/7 10:37,2018/11/7 10:57,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/7 10:36,2018/11/7 10:36,2018/11/7 10:57,2018/11/7 10:57,2018/11/7 10:36,2018/11/7 10:36,0:19:50,0:39:40,,00,00,,,2018/11/7 10:26,2018/11/7 10:57,43411.434722222243411.45625,#N/A,,,
★,-,10,2018/11/7 10:26,166-658-agekke,10595,乗客アプリ（地図から）,1751,968,3,1,,2018/11/7 10:38,2018/11/7 10:42,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/7 10:36,2018/11/7 10:36,2018/11/7 10:44,2018/11/7 10:44,2018/11/7 10:36,2018/11/7 10:36,0:03:40,0:03:40,,01,01,,,2018/11/7 10:26,2018/11/7 10:42,43411.434722222243411.4458333333,肯定的,,,
-,-,10,2018/11/7 10:29,114-889-SUN,10596,乗客アプリ（目的地から）,3162,462,9,1,,2018/11/7 10:31,2018/11/7 10:35,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/7 10:31,2018/11/7 10:31,2018/11/7 10:38,2018/11/7 10:38,,2018/11/7 10:29,0:03:33,0:03:33,,00,02,,,2018/11/7 10:29,2018/11/7 10:35,43411.436805555643411.4409722222,#N/A,,,
-,-,10,2018/11/7 10:29,075-069-ORANGE,10597,乗客アプリ（地図から）,3598,917,10,1,,2018/11/7 10:35,2018/11/7 10:44,35.445857 139.647636,ホテルモントレ横浜,35.443908 139.635249,イセザキ・モール,2018/11/7 10:31,2018/11/7 10:31,2018/11/7 10:39,2018/11/7 10:39,,2018/11/7 10:29,0:08:20,0:08:20,,04,05,,,2018/11/7 10:29,2018/11/7 10:44,43411.436805555643411.4472222222,#N/A,,,
-,-,10,2018/11/7 10:31,063-068-BANANA 062-848-BANANA 074-055-ORANGE,10598,まちかど端末（店舗から）,0,795,5,3,,2018/11/7 10:33,2018/11/7 10:46,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/7 10:34,2018/11/7 10:34,2018/11/7 10:47,2018/11/7 10:47,,2018/11/7 10:31,0:12:59,0:38:57,,00,02,,,2018/11/7 10:31,2018/11/7 10:46,43411.438194444443411.4486111111,#N/A,,,
-,-,10,2018/11/7 10:32,063-600-BANANA 067-026-BANANA,10599,乗客アプリ（地図から）,5394,249,8,2,,2018/11/7 10:39,2018/11/7 10:52,35.443704 139.651332,ホテルメルパルク横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/7 10:40,2018/11/7 10:40,2018/11/7 10:58,2018/11/7 10:58,,2018/11/7 10:32,0:13:32,0:27:04,,00,06,,,2018/11/7 10:32,2018/11/7 10:52,43411.438888888943411.4527777778,#N/A,,,
-,-,10,2018/11/7 10:32,111-230-SUN,10600,乗客アプリ（地図から）,5348,453,2,1,,2018/11/7 10:37,2018/11/7 10:56,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/7 10:35,2018/11/7 10:35,2018/11/7 10:46,2018/11/7 10:46,,2018/11/7 10:32,0:18:58,0:18:58,,02,05,,,2018/11/7 10:32,2018/11/7 10:56,43411.438888888943411.4555555556,否定的,,,
-,-,10,2018/11/7 10:35,028-357-GREEN,10601,乗客アプリ（目的地から）,5119,62,7,1,,2018/11/7 10:42,2018/11/7 10:51,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/7 10:44,2018/11/7 10:44,2018/11/7 10:59,2018/11/7 10:59,,2018/11/7 10:35,0:08:52,0:08:52,,00,06,,,2018/11/7 10:35,2018/11/7 10:51,43411.440972222243411.4520833333,#N/A,,,
-,-,10,2018/11/7 10:38,112-406-SUN,10602,乗客アプリ（目的地から）,1748,775,6,1,,2018/11/7 10:42,2018/11/7 10:50,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/7 10:44,2018/11/7 10:44,2018/11/7 10:53,2018/11/7 10:53,,2018/11/7 10:38,0:07:52,0:07:52,,00,04,,,2018/11/7 10:38,2018/11/7 10:50,43411.443055555643411.4513888889,#N/A,,,
★,-,10,2018/11/7 10:41,012-711-RED,10603,乗客アプリ（簡単予約）,1853,644,2,1,,2018/11/7 10:49,2018/11/7 11:07,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/7 10:51,2018/11/7 10:51,2018/11/7 11:09,2018/11/7 11:09,2018/11/7 10:51,2018/11/7 10:51,0:17:11,0:17:11,,00,00,,,2018/11/7 10:41,2018/11/7 11:07,43411.445138888943411.4631944444,#N/A,,,
-,-,10,2018/11/7 10:46,109-619-SNOW,10604,乗客アプリ（目的地から）,5390,123,4,1,,2018/11/7 10:49,2018/11/7 10:54,35.450681 139.632446,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/7 10:50,2018/11/7 10:50,2018/11/7 10:58,2018/11/7 10:58,,2018/11/7 10:46,0:05:11,0:05:11,,00,02,,,2018/11/7 10:46,2018/11/7 10:54,43411.448611111143411.4541666667,#N/A,,,
-,-,10,2018/11/7 10:49,112-079-SUN,10606,乗客アプリ（地図から）,3698,299,10,1,,2018/11/7 10:56,2018/11/7 11:04,35.448676 139.635696,横浜平和プラザホテル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/7 10:51,2018/11/7 10:51,2018/11/7 10:59,2018/11/7 10:59,,2018/11/7 10:49,0:07:16,0:07:16,,05,07,,,2018/11/7 10:49,2018/11/7 11:04,43411.450694444443411.4611111111,#N/A,,,
