,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
-,☆,10,2018/11/5 10:07,028-675-GREEN,9894,乗客アプリ（目的地から）,1312,844,10,1,2018/11/5 10:08,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/5 10:13,,2018/11/5 10:21,,,2018/11/5 10:07,0:00:00,0:00:00,,00,05,,,2018/11/5 10:07,1900/1/0 0:00,43409.42152777780,#N/A,,※24行と同一人物と思われるため一番短い待ち時間を採用,,
-,☆,10,2018/11/5 10:08,028-675-GREEN,9896,乗客アプリ（目的地から）,1312,9,5,1,2018/11/5 10:09,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/5 10:14,,2018/11/5 10:20,,,2018/11/5 10:08,0:00:00,0:00:00,,00,,,,2018/11/5 10:08,1900/1/0 0:00,43409.42222222220,#N/A,,※23行と同一人物と思われるため一番短い待ち時間を採用,,
-,☆,10,2018/11/5 10:17,166-762-agekke,9899,乗客アプリ（地図から）,1885,860,1,1,2018/11/5 10:19,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/5 10:21,,2018/11/5 10:32,,,2018/11/5 10:17,0:00:00,0:00:00,,00,,,,2018/11/5 10:17,1900/1/0 0:00,43409.42847222220,#N/A,,"※26,27行と同一人物と思われるため一番短い待ち時間を採用",,
-,☆,10,2018/11/5 10:19,166-762-agekke,9900,乗客アプリ（地図から）,1885,7,1,1,2018/11/5 10:19,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/5 10:26,,2018/11/5 10:37,,,2018/11/5 10:19,0:00:00,0:00:00,,00,,,,2018/11/5 10:19,1900/1/0 0:00,43409.42986111110,#N/A,,"※25,27行と同一人物と思われるため一番短い待ち時間を採用",,
-,☆,10,2018/11/5 10:20,166-762-agekke,9901,乗客アプリ（地図から）,1885,538,1,1,2018/11/5 10:20,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/5 10:27,,2018/11/5 10:39,,,2018/11/5 10:20,0:00:00,0:00:00,,00,07,,,2018/11/5 10:20,1900/1/0 0:00,43409.43055555560,#N/A,,"※25,26行と同一人物と思われるため一番短い待ち時間を採用",,
-,☆,10,2018/11/5 10:30,167-314-CAKE,9903,乗客アプリWeb（地図から）,5111,271,7,1,2018/11/5 10:30,,,35.443908 139.635249,イセザキ・モール,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 10:33,,2018/11/5 10:41,,,2018/11/5 10:30,0:00:00,0:00:00,,00,02,,,2018/11/5 10:30,1900/1/0 0:00,43409.43750,#N/A,,,,
-,☆,10,2018/11/5 10:35,167-308-CAKE,9905,乗客アプリWeb（目的地から）,4566,176,6,1,2018/11/5 10:35,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 10:37,,2018/11/5 10:48,,,2018/11/5 10:35,0:00:00,0:00:00,,00,02,,,2018/11/5 10:35,1900/1/0 0:00,43409.44097222220,#N/A,,,,
★,☆,10,2018/11/5 10:37,065-269-BANANA,9906,乗客アプリ（目的地から）,2867,899,7,1,2018/11/5 10:37,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 10:46,,2018/11/5 10:56,,2018/11/5 10:46,2018/11/5 10:46,0:00:00,0:00:00,,00,00,,,2018/11/5 10:37,1900/1/0 0:00,43409.44236111110,#N/A,,,,
★,☆,10,2018/11/5 10:42,167-315-CAKE,9907,乗客アプリWeb（目的地から）,5112,264,3,3,2018/11/5 11:18,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 10:52,,2018/11/5 11:03,,2018/11/5 10:52,2018/11/5 10:52,0:00:00,0:00:00,,00,26,,,2018/11/5 10:42,1900/1/0 0:00,43409.44583333330,#N/A,,,,
-,☆,10,2018/11/5 10:52,167-316-CAKE,9909,乗客アプリWeb（目的地から）,5113,855,6,1,2018/11/5 10:53,,,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 10:56,,2018/11/5 11:06,,,2018/11/5 10:52,0:00:00,0:00:00,,00,03,,,2018/11/5 10:52,1900/1/0 0:00,43409.45277777780,#N/A,,,,
