,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
★,☆,13,2018/11/5 12:27,167-309-CAKE,9949,乗客アプリWeb（目的地から）,5103,933,2,1,2018/11/5 12:27,,,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/5 13:25,,2018/11/5 13:43,,2018/11/5 13:25,2018/11/5 13:25,0:00:00,0:00:00,,00,00,,,2018/11/5 12:27,1900/1/0 0:00,43409.518750,#N/A,,,,
★,☆,13,2018/11/5 12:52,105-411-SNOW 020-927-GREEN,9960,まちかど端末（店舗から）,0,975,1,2,2018/11/5 13:00,,,35.454389 139.630904,横浜ランドマークタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/5 13:02,,2018/11/5 13:09,,2018/11/5 13:02,2018/11/5 13:02,0:00:00,0:00:00,,00,00,,,2018/11/5 12:52,1900/1/0 0:00,43409.53611111110,#N/A,,,,
-,☆,13,2018/11/5 13:08,065-057-BANANA,9968,乗客アプリ（目的地から）,2078,405,5,1,2018/11/5 13:08,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/5 13:18,,2018/11/5 13:27,,,2018/11/5 13:08,0:00:00,0:00:00,,00,10,,,2018/11/5 13:08,1900/1/0 0:00,43409.54722222220,#N/A,,,,
-,☆,13,2018/11/5 13:16,166-782-agekke,9972,乗客アプリ（地図から）,1751,225,3,1,2018/11/5 13:19,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447541 139.644914,シルク博物館,2018/11/5 13:22,,2018/11/5 13:38,,,2018/11/5 13:16,0:00:00,0:00:00,,00,05,,,2018/11/5 13:16,1900/1/0 0:00,43409.55277777780,#N/A,,,,
-,☆,13,2018/11/5 13:21,106-152-SNOW,9975,乗客アプリ（目的地から）,2282,950,5,1,2018/11/5 13:22,,,35.453715 139.638133,横浜ワールドポーターズ,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/5 13:30,,2018/11/5 13:47,,,2018/11/5 13:21,0:00:00,0:00:00,,00,09,,,2018/11/5 13:21,1900/1/0 0:00,43409.556250,#N/A,,,,
-,☆,13,2018/11/5 13:21,106-128-SNOW,9977,乗客アプリ（目的地から）,3474,473,1,1,2018/11/5 13:22,,,35.453715 139.638133,横浜ワールドポーターズ,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/5 13:32,,2018/11/5 13:48,,,2018/11/5 13:21,0:00:00,0:00:00,,00,10,,,2018/11/5 13:21,1900/1/0 0:00,43409.556250,#N/A,,,,
-,☆,13,2018/11/5 13:33,111-660-SUN 111-684-SUN 105-415-SNOW 105-414-SNOW,9985,まちかど端末（店舗から）,0,553,3,4,2018/11/5 14:20,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 13:52,,2018/11/5 14:07,,,2018/11/5 13:33,0:00:00,0:00:00,,00,46,,,2018/11/5 13:33,1900/1/0 0:00,43409.56458333330,#N/A,,,,
★,☆,13,2018/11/5 13:35,115-682-SUN,9986,乗客アプリ（地図から）,1310,928,2,1,2018/11/5 13:39,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/5 13:45,,2018/11/5 14:03,,2018/11/5 13:45,2018/11/5 13:45,0:00:00,0:00:00,,00,00,,,2018/11/5 13:35,1900/1/0 0:00,43409.56597222220,#N/A,,,,
★,-,14,2018/11/5 13:53,114-433-SUN,9993,乗客アプリ（目的地から）,5124,291,2,1,,2018/11/5 14:07,2018/11/5 14:13,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 14:03,2018/11/5 14:13,2018/11/5 14:14,2018/11/5 14:24,2018/11/5 14:03,2018/11/5 14:03,0:05:52,0:05:52,336,04,04,05,05,2018/11/5 13:53,2018/11/5 14:13,43409.578472222243409.5923611111,肯定的,,,,
★,-,14,2018/11/5 13:55,111-134-SUN 111-124-SUN,9995,乗客アプリ（地図から）,4140,805,2,2,,2018/11/5 14:01,2018/11/5 14:23,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 14:05,2018/11/5 14:05,2018/11/5 14:34,2018/11/5 14:34,2018/11/5 14:05,2018/11/5 14:05,0:22:42,0:45:24,,00,00,,,2018/11/5 13:55,2018/11/5 14:23,43409.579861111143409.5993055556,#N/A,,,,
-,-,14,2018/11/5 14:06,023-806-GREEN 023-800-GREEN,9997,まちかど端末（店舗から）,0,265,8,2,,2018/11/5 14:09,2018/11/5 14:16,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 14:09,2018/11/5 14:09,2018/11/5 14:21,2018/11/5 14:21,,2018/11/5 14:06,0:06:54,0:13:48,,00,03,,,2018/11/5 14:06,2018/11/5 14:16,43409.587543409.5944444444,#N/A,,,,
-,-,14,2018/11/5 14:10,166-793-agekke,9998,乗客アプリ（目的地から）,3945,81,9,1,,2018/11/5 14:17,2018/11/5 14:25,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 14:24,2018/11/5 14:24,2018/11/5 14:40,2018/11/5 14:40,,2018/11/5 14:10,0:08:38,0:08:38,,00,07,,,2018/11/5 14:10,2018/11/5 14:25,43409.590277777843409.6006944444,#N/A,,,,
-,-,14,2018/11/5 14:10,105-419-SNOW 105-420-SNOW 105-421-SNOW,9999,まちかど端末（店舗から）,0,753,2,3,,2018/11/5 14:14,2018/11/5 14:27,35.452963 139.642093,横浜赤レンガ倉庫,35.443704 139.651332,ホテルメルパルク横浜,2018/11/5 14:16,2018/11/5 14:16,2018/11/5 14:32,2018/11/5 14:32,,2018/11/5 14:10,0:12:18,0:36:54,,00,04,,,2018/11/5 14:10,2018/11/5 14:27,43409.590277777843409.6020833333,#N/A,,,,
-,-,14,2018/11/5 14:10,166-783-agekke,10000,乗客アプリ（目的地から）,2225,475,5,1,,2018/11/5 14:21,2018/11/5 14:39,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/5 14:29,2018/11/5 14:29,2018/11/5 14:43,2018/11/5 14:43,,2018/11/5 14:10,0:17:36,0:17:36,,00,10,,,2018/11/5 14:10,2018/11/5 14:39,43409.590277777843409.6104166667,肯定的,,,,
-,-,14,2018/11/5 14:11,166-784-agekke,10001,乗客アプリ（目的地から）,1742,237,7,1,,2018/11/5 14:28,2018/11/5 14:48,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/5 14:30,2018/11/5 14:37,2018/11/5 14:48,2018/11/5 14:55,,2018/11/5 14:11,0:20:16,0:20:16,,00,16,,,2018/11/5 14:11,2018/11/5 14:48,43409.590972222243409.6166666667,#N/A,,,,
-,-,14,2018/11/5 14:16,050-918-STRAWBERRY,10003,乗客アプリ（地図から）,2092,78,8,1,,2018/11/5 14:22,2018/11/5 14:28,35.453715 139.638133,横浜ワールドポーターズ,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/5 14:24,2018/11/5 14:24,2018/11/5 14:34,2018/11/5 14:31,,2018/11/5 14:16,0:06:23,0:06:23,,00,05,,,2018/11/5 14:16,2018/11/5 14:28,43409.594444444443409.6027777778,#N/A,,,,
★,-,14,2018/11/5 14:16,114-877-SUN,10004,乗客アプリ（簡単予約）,1305,850,7,1,,2018/11/5 14:22,2018/11/5 14:26,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/5 14:26,2018/11/5 14:26,2018/11/5 14:35,2018/11/5 14:35,2018/11/5 14:26,2018/11/5 14:26,0:04:05,0:04:05,,00,00,,,2018/11/5 14:16,2018/11/5 14:26,43409.594444444443409.6013888889,肯定的,,,,
-,-,14,2018/11/5 14:19,109-549-SNOW,10005,乗客アプリ（目的地から）,5167,182,10,1,,2018/11/5 14:26,2018/11/5 14:30,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/11/5 14:28,2018/11/5 14:28,2018/11/5 14:37,2018/11/5 14:37,,2018/11/5 14:19,0:03:36,0:03:36,,00,07,,,2018/11/5 14:19,2018/11/5 14:30,43409.596527777843409.6041666667,肯定的,,,,
-,-,14,2018/11/5 14:22,024-686-GREEN,10006,乗客アプリ（地図から）,3919,762,5,1,,2018/11/5 14:28,2018/11/5 14:38,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.448676 139.635696,横浜平和プラザホテル,2018/11/5 14:29,2018/11/5 14:29,2018/11/5 14:37,2018/11/5 14:37,,2018/11/5 14:22,0:10:04,0:10:04,,00,06,,,2018/11/5 14:22,2018/11/5 14:38,43409.598611111143409.6097222222,#N/A,,,,
-,-,14,2018/11/5 14:22,166-797-agekke,10007,まちかど端末（乗降ポイントから）,0,326,8,1,,2018/11/5 14:28,2018/11/5 14:42,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/5 14:31,2018/11/5 14:31,2018/11/5 14:49,2018/11/5 14:49,,2018/11/5 14:22,0:14:11,0:14:11,,00,05,,,2018/11/5 14:22,2018/11/5 14:42,43409.598611111143409.6125,#N/A,,,,
★,-,14,2018/11/5 14:25,109-912-SNOW 109-914-SNOW,10008,まちかど端末（乗降ポイントから）,0,265,9,2,,2018/11/5 14:28,2018/11/5 14:36,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.456605 139.635327,横浜ベイホテル東急,2018/11/5 14:34,2018/11/5 14:34,2018/11/5 14:55,2018/11/5 14:55,2018/11/5 14:34,2018/11/5 14:34,0:08:27,0:16:54,,00,00,,,2018/11/5 14:25,2018/11/5 14:36,43409.600694444443409.6083333333,#N/A,,,,
-,-,14,2018/11/5 14:26,023-379-GREEN,10009,乗客アプリ（地図から）,2328,735,3,1,,2018/11/5 14:33,2018/11/5 14:37,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/5 14:37,2018/11/5 14:37,2018/11/5 14:48,2018/11/5 14:48,,2018/11/5 14:26,0:04:37,0:04:37,,00,07,,,2018/11/5 14:26,2018/11/5 14:37,43409.601388888943409.6090277778,肯定的,,,,
-,-,14,2018/11/5 14:30,166-795-agekke,10012,乗客アプリ（目的地から）,2589,302,7,1,,2018/11/5 14:33,2018/11/5 14:42,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 14:35,2018/11/5 14:35,2018/11/5 14:52,2018/11/5 14:52,,2018/11/5 14:30,0:09:14,0:09:14,,00,03,,,2018/11/5 14:30,2018/11/5 14:42,43409.604166666743409.6125,肯定的,,,,
-,-,14,2018/11/5 14:31,050-906-STRAWBERRY 050-905-STRAWBERRY 063-753-BANANA,10013,乗客アプリ（地図から）,4980,874,10,3,,2018/11/5 14:45,2018/11/5 14:52,35.452963 139.642093,横浜赤レンガ倉庫,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 14:42,2018/11/5 14:42,2018/11/5 14:55,2018/11/5 14:55,,2018/11/5 14:31,0:07:26,0:22:18,,03,14,,,2018/11/5 14:31,2018/11/5 14:52,43409.604861111143409.6194444444,#N/A,,,,
★,-,14,2018/11/5 14:35,167-325-CAKE,10016,乗客アプリ（目的地から）,5133,61,8,2,,2018/11/5 14:40,2018/11/5 14:50,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 14:45,2018/11/5 14:45,2018/11/5 15:03,2018/11/5 15:03,2018/11/5 14:45,2018/11/5 14:45,0:09:54,0:19:48,,00,00,,,2018/11/5 14:35,2018/11/5 14:50,43409.607638888943409.6180555556,#N/A,,,,
-,-,14,2018/11/5 14:45,166-765-agekke,10017,乗客アプリ（目的地から）,1888,316,4,1,,2018/11/5 14:50,2018/11/5 14:58,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/5 14:50,2018/11/5 14:50,2018/11/5 15:06,2018/11/5 15:06,,2018/11/5 14:45,0:08:33,0:08:33,,00,05,,,2018/11/5 14:45,2018/11/5 14:58,43409.614583333343409.6236111111,#N/A,,,,
-,-,14,2018/11/5 14:45,166-795-agekke,10018,乗客アプリ（目的地から）,2589,334,6,1,,2018/11/5 14:50,2018/11/5 15:14,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/5 14:54,2018/11/5 14:54,2018/11/5 15:13,2018/11/5 15:24,,2018/11/5 14:45,0:23:49,0:23:49,,00,05,,,2018/11/5 14:45,2018/11/5 15:14,43409.614583333343409.6347222222,肯定的,,,,
★,-,14,2018/11/5 14:49,110-571-SUN,10019,まちかど端末（乗降ポイントから）,0,754,6,1,,2018/11/5 14:57,2018/11/5 15:10,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/5 14:58,2018/11/5 14:58,2018/11/5 15:18,2018/11/5 15:18,2018/11/5 14:58,2018/11/5 14:58,0:13:17,0:13:17,,00,00,,,2018/11/5 14:49,2018/11/5 15:10,43409.617361111143409.6319444444,#N/A,,,,
-,-,14,2018/11/5 14:49,022-431-GREEN,10020,まちかど端末（店舗から）,0,287,5,1,,2018/11/5 14:52,2018/11/5 14:59,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 14:53,2018/11/5 14:53,2018/11/5 15:04,2018/11/5 15:04,,2018/11/5 14:49,0:06:22,0:06:22,,00,02,,,2018/11/5 14:49,2018/11/5 14:59,43409.617361111143409.6243055556,#N/A,,,,
-,-,14,2018/11/5 14:55,167-316-CAKE,10022,乗客アプリWeb（地図から）,5113,43,7,1,,2018/11/5 15:02,2018/11/5 15:12,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/5 15:01,2018/11/5 15:01,2018/11/5 15:17,2018/11/5 15:17,,2018/11/5 14:55,0:10:23,0:10:23,,00,06,,,2018/11/5 14:55,2018/11/5 15:12,43409.621527777843409.6333333333,#N/A,,,,
-,-,14,2018/11/5 14:57,111-685-SUN,10023,まちかど端末（店舗から）,0,171,8,1,,2018/11/5 15:00,2018/11/5 15:06,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/5 15:05,2018/11/5 15:05,2018/11/5 15:13,2018/11/5 15:13,,2018/11/5 14:57,0:05:45,0:05:45,,00,03,,,2018/11/5 14:57,2018/11/5 15:06,43409.622916666743409.6291666667,#N/A,,,,
-,-,14,2018/11/5 14:58,105-419-SNOW,10024,まちかど端末（店舗から）,0,690,1,1,,2018/11/5 15:04,2018/11/5 15:13,35.441002 139.650809,横浜元町ショッピングストリート,35.443908 139.635249,イセザキ・モール,2018/11/5 15:09,2018/11/5 15:09,2018/11/5 15:19,2018/11/5 15:19,,2018/11/5 14:58,0:08:31,0:08:31,,00,06,,,2018/11/5 14:58,2018/11/5 15:13,43409.623611111143409.6340277778,#N/A,,,,
-,☆,14,2018/11/5 14:15,015-763-RED 112-510-SUN,10002,乗客アプリ（目的地から）,5048,521,8,2,2018/11/5 14:15,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 14:27,,2018/11/5 14:42,,,2018/11/5 14:15,0:00:00,0:00:00,,00,11,,,2018/11/5 14:15,1900/1/0 0:00,43409.593750,#N/A,,,,
-,☆,14,2018/11/5 14:29,167-308-CAKE,10010,乗客アプリWeb（目的地から）,4566,556,10,4,2018/11/5 14:30,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 14:36,,2018/11/5 14:53,,,2018/11/5 14:29,0:00:00,0:00:00,,00,06,,,2018/11/5 14:29,1900/1/0 0:00,43409.60347222220,#N/A,,,,
-,☆,14,2018/11/5 14:30,111-457-SUN,10011,乗客アプリ（目的地から）,4034,958,6,1,2018/11/5 14:30,,,35.441441 139.648505,横浜中華街朱雀門,35.443908 139.635249,イセザキ・モール,2018/11/5 14:44,,2018/11/5 14:54,,,2018/11/5 14:30,0:00:00,0:00:00,,00,,,,2018/11/5 14:30,1900/1/0 0:00,43409.60416666670,#N/A,,"※144,145行と同一人物と思われるため一番短い待ち時間を採用",,
-,☆,14,2018/11/5 14:31,111-457-SUN,10014,乗客アプリ（目的地から）,4034,933,6,1,2018/11/5 14:31,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/11/5 14:44,,2018/11/5 14:53,,,2018/11/5 14:31,0:00:00,0:00:00,,00,,,,2018/11/5 14:31,1900/1/0 0:00,43409.60486111110,#N/A,,"※143,145行と同一人物と思われるため一番短い待ち時間を採用",,
-,☆,14,2018/11/5 14:32,111-457-SUN,10015,乗客アプリ（目的地から）,4034,807,4,1,2018/11/5 14:37,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443908 139.635249,イセザキ・モール,2018/11/5 14:42,,2018/11/5 14:47,,,2018/11/5 14:32,0:00:00,0:00:00,,00,09,,,2018/11/5 14:32,1900/1/0 0:00,43409.60555555560,#N/A,,"※143,144行と同一人物と思われるため一番短い待ち時間を採用",,
★,-,15,2018/11/5 14:52,167-338-CAKE,10021,乗客アプリWeb（目的地から）,5173,126,10,3,,2018/11/5 14:56,2018/11/5 15:05,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 15:02,2018/11/5 15:02,2018/11/5 15:15,2018/11/5 15:15,2018/11/5 15:02,2018/11/5 15:02,0:08:33,0:25:39,312,00,00,04,03,2018/11/5 14:52,2018/11/5 15:05,43409.619444444443409.6284722222,#N/A,,,,
-,-,15,2018/11/5 15:03,026-867-GREEN 026-868-GREEN,10026,乗客アプリ（目的地から）,4261,414,10,2,,2018/11/5 15:05,2018/11/5 15:13,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/5 15:07,2018/11/5 15:07,2018/11/5 15:25,2018/11/5 15:25,,2018/11/5 15:03,0:07:58,0:15:56,,00,02,,,2018/11/5 15:03,2018/11/5 15:13,43409.627083333343409.6340277778,#N/A,,,,
-,-,15,2018/11/5 15:03,111-375-SUN,10027,乗客アプリ（地図から）,1075,676,9,1,,2018/11/5 15:09,2018/11/5 15:21,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 15:10,2018/11/5 15:10,2018/11/5 15:22,2018/11/5 15:22,,2018/11/5 15:03,0:11:52,0:11:52,,00,06,,,2018/11/5 15:03,2018/11/5 15:21,43409.627083333343409.6395833333,#N/A,,,,
-,-,15,2018/11/5 15:03,065-298-BANANA,10028,まちかど端末（乗降ポイントから）,0,133,8,1,,2018/11/5 15:08,2018/11/5 15:23,35.443704 139.651332,ホテルメルパルク横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 15:10,2018/11/5 15:10,2018/11/5 15:25,2018/11/5 15:40,,2018/11/5 15:03,0:15:30,0:15:30,,00,04,,,2018/11/5 15:03,2018/11/5 15:23,43409.627083333343409.6409722222,#N/A,,,,
★,-,15,2018/11/5 15:05,114-433-SUN,10029,乗客アプリ（目的地から）,5124,329,2,1,,2018/11/5 15:11,2018/11/5 15:35,35.452963 139.642093,横浜赤レンガ倉庫,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 15:15,2018/11/5 15:15,2018/11/5 15:27,2018/11/5 15:27,2018/11/5 15:15,2018/11/5 15:15,0:24:14,0:24:14,,00,00,,,2018/11/5 15:05,2018/11/5 15:35,43409.628472222243409.6493055556,#N/A,,,,
★,-,15,2018/11/5 15:06,113-934-SUN 110-531-SUN,10030,乗客アプリ（目的地から）,5125,722,8,2,,2018/11/5 15:13,2018/11/5 15:21,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/5 15:16,2018/11/5 15:16,2018/11/5 15:35,2018/11/5 15:35,2018/11/5 15:16,2018/11/5 15:16,0:08:42,0:17:24,,00,00,,,2018/11/5 15:06,2018/11/5 15:21,43409.629166666743409.6395833333,#N/A,,,,
-,-,15,2018/11/5 15:08,167-318-CAKE,10031,乗客アプリ（目的地から）,5115,423,1,1,,2018/11/5 15:23,2018/11/5 15:31,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 15:23,2018/11/5 15:23,2018/11/5 15:34,2018/11/5 15:34,,2018/11/5 15:08,0:08:14,0:08:14,,00,14,,,2018/11/5 15:08,2018/11/5 15:31,43409.630555555643409.6465277778,#N/A,,,,
-,-,15,2018/11/5 15:11,110-435-SUN,10032,乗客アプリ（目的地から）,4511,383,5,1,,2018/11/5 15:15,2018/11/5 15:21,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.456605 139.635327,横浜ベイホテル東急,2018/11/5 15:12,2018/11/5 15:12,2018/11/5 15:20,2018/11/5 15:20,,2018/11/5 15:11,0:06:07,0:06:07,,02,04,,,2018/11/5 15:11,2018/11/5 15:21,43409.632638888943409.6395833333,#N/A,,,,
★,-,15,2018/11/5 15:12,023-807-GREEN 023-809-GREEN,10033,まちかど端末（店舗から）,0,641,2,2,,2018/11/5 15:17,2018/11/5 15:24,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/5 15:21,2018/11/5 15:21,2018/11/5 15:31,2018/11/5 15:31,2018/11/5 15:21,2018/11/5 15:21,0:07:50,0:15:40,,00,00,,,2018/11/5 15:12,2018/11/5 15:24,43409.633333333343409.6416666667,#N/A,,,,
-,-,15,2018/11/5 15:17,017-736-RED,10035,乗客アプリ（地図から）,3394,542,3,1,,2018/11/5 15:19,2018/11/5 15:25,35.453715 139.638133,横浜ワールドポーターズ,35.447541 139.644914,シルク博物館,2018/11/5 15:19,2018/11/5 15:19,2018/11/5 15:29,2018/11/5 15:29,,2018/11/5 15:17,0:05:57,0:05:57,,00,01,,,2018/11/5 15:17,2018/11/5 15:25,43409.636805555643409.6423611111,肯定的,,,,
-,-,15,2018/11/5 15:19,166-778-agekke,10036,乗客アプリ（目的地から）,2314,720,6,1,,2018/11/5 15:25,2018/11/5 15:36,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/11/5 15:27,2018/11/5 15:27,2018/11/5 15:39,2018/11/5 15:39,,2018/11/5 15:19,0:10:11,0:10:11,,00,06,,,2018/11/5 15:19,2018/11/5 15:36,43409.638194444443409.65,#N/A,,,,
★,-,15,2018/11/5 15:21,026-160-GREEN,10037,乗客アプリ（地図から）,5171,999,7,1,,2018/11/5 15:27,2018/11/5 15:33,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 15:31,2018/11/5 15:31,2018/11/5 15:41,2018/11/5 15:41,2018/11/5 15:31,2018/11/5 15:31,0:06:19,0:06:19,,00,00,,,2018/11/5 15:21,2018/11/5 15:33,43409.639583333343409.6479166667,#N/A,,,,
-,-,15,2018/11/5 15:23,166-795-agekke,10038,乗客アプリ（目的地から）,2589,307,10,1,,2018/11/5 15:29,2018/11/5 15:34,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/5 15:26,2018/11/5 15:26,2018/11/5 15:32,2018/11/5 15:32,,2018/11/5 15:23,0:05:08,0:05:08,,03,05,,,2018/11/5 15:23,2018/11/5 15:34,43409.640972222243409.6486111111,#N/A,,,,
-,-,15,2018/11/5 15:26,005-774-BLUE 025-754-GREEN,10039,まちかど端末（店舗から）,0,81,8,2,,2018/11/5 15:28,2018/11/5 15:36,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.443908 139.635249,イセザキ・モール,2018/11/5 15:28,2018/11/5 15:28,2018/11/5 15:41,2018/11/5 15:41,,2018/11/5 15:26,0:07:30,0:15:00,,00,02,,,2018/11/5 15:26,2018/11/5 15:36,43409.643055555643409.65,#N/A,,,,
★,-,15,2018/11/5 15:28,065-265-BANANA,10040,乗客アプリ（地図から）,3393,949,7,1,,2018/11/5 15:38,2018/11/5 15:44,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 15:38,2018/11/5 15:38,2018/11/5 15:49,2018/11/5 15:49,2018/11/5 15:38,2018/11/5 15:38,0:06:28,0:06:28,,00,00,,,2018/11/5 15:28,2018/11/5 15:44,43409.644444444443409.6555555556,#N/A,,,,
-,-,15,2018/11/5 15:30,064-426-BANANA 064-424-BANANA,10041,乗客アプリ（目的地から）,1162,350,4,2,,2018/11/5 15:35,2018/11/5 15:45,35.448801 139.636702,ホテルルートイン横浜馬車道,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 15:36,2018/11/5 15:36,2018/11/5 15:45,2018/11/5 15:45,,2018/11/5 15:30,0:09:08,0:18:16,,00,05,,,2018/11/5 15:30,2018/11/5 15:45,43409.645833333343409.65625,肯定的,,,,
-,-,15,2018/11/5 15:31,063-971-BANANA 063-081-BANANA,10042,まちかど端末（乗降ポイントから）,0,237,3,2,,2018/11/5 15:35,2018/11/5 15:42,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 15:36,2018/11/5 15:36,2018/11/5 15:49,2018/11/5 15:49,,2018/11/5 15:31,0:06:39,0:13:18,,00,03,,,2018/11/5 15:31,2018/11/5 15:42,43409.646527777843409.6541666667,#N/A,,,,
-,-,15,2018/11/5 15:36,109-378-SNOW,10043,乗客アプリ（目的地から）,1226,904,9,1,,2018/11/5 15:39,2018/11/5 15:46,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/11/5 15:40,2018/11/5 15:40,2018/11/5 15:49,2018/11/5 15:49,,2018/11/5 15:36,0:06:52,0:06:52,,00,03,,,2018/11/5 15:36,2018/11/5 15:46,43409.6543409.6569444444,肯定的,,,,
-,-,15,2018/11/5 15:41,166-780-agekke,10044,乗客アプリ（目的地から）,2306,447,4,1,,2018/11/5 15:44,2018/11/5 15:50,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.456605 139.635327,横浜ベイホテル東急,2018/11/5 15:47,2018/11/5 15:47,2018/11/5 16:07,2018/11/5 16:07,,2018/11/5 15:41,0:05:51,0:05:51,,00,03,,,2018/11/5 15:41,2018/11/5 15:50,43409.653472222243409.6597222222,肯定的,,,,
