,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,
-,-,11,2018/10/30 11:20,7460,乗客アプリ（地図から）,3217,683,3,1,,2018/10/30 11:24,2018/10/30 11:33,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/30 11:23,2018/10/30 11:23,2018/10/30 11:32,2018/10/30 11:32,,2018/10/30 11:20,0:08:12,0:08:12,,00,04,,,2018/10/30 11:20,2018/10/30 11:33,43403.472222222243403.48125,#N/A,,,
-,-,11,2018/10/30 11:20,7461,乗客アプリ（目的地から）,985,643,9,1,,2018/10/30 11:22,2018/10/30 11:31,35.445857 139.647636,ホテルモントレ横浜,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/30 11:22,2018/10/30 11:22,2018/10/30 11:32,2018/10/30 11:32,,2018/10/30 11:20,0:08:39,0:08:39,,00,02,,,2018/10/30 11:20,2018/10/30 11:31,43403.472222222243403.4798611111,肯定的,,,
-,-,11,2018/10/30 11:27,7464,乗客アプリ（目的地から）,1747,352,7,1,,2018/10/30 11:31,2018/10/30 11:35,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/30 11:29,2018/10/30 11:29,2018/10/30 11:38,2018/10/30 11:42,,2018/10/30 11:27,0:04:27,0:04:27,,01,04,,,2018/10/30 11:27,2018/10/30 11:35,43403.477083333343403.4826388889,#N/A,,,
-,-,11,2018/10/30 11:35,7467,乗客アプリ（地図から）,985,457,6,1,,2018/10/30 11:40,2018/10/30 11:45,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/30 11:41,2018/10/30 11:41,2018/10/30 11:49,2018/10/30 11:49,,2018/10/30 11:35,0:04:49,0:04:49,,00,05,,,2018/10/30 11:35,2018/10/30 11:45,43403.482638888943403.4895833333,#N/A,,,
-,-,11,2018/10/30 11:35,7468,まちかど設置端末（店舗から）,0,1247,3,2,,2018/10/30 11:45,2018/10/30 11:47,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/30 11:45,2018/10/30 11:45,2018/10/30 11:53,2018/10/30 11:53,,2018/10/30 11:35,0:02:43,0:05:26,,00,09,,,2018/10/30 11:35,2018/10/30 11:47,43403.482638888943403.4909722222,#N/A,,,
-,-,11,2018/10/30 11:39,7469,乗客アプリ（簡単予約）,3954,1141,5,3,,2018/10/30 11:46,2018/10/30 12:05,35.452963 139.642093,横浜赤レンガ倉庫,35.443908 139.635249,イセザキ・モール,2018/10/30 11:48,2018/10/30 11:48,2018/10/30 11:59,2018/10/30 11:59,,2018/10/30 11:39,0:18:39,0:55:57,,00,06,,,2018/10/30 11:39,2018/10/30 12:05,43403.485416666743403.5034722222,否定的,,,
-,-,11,2018/10/30 11:48,7470,乗客アプリ（目的地から）,4339,1102,5,1,,2018/10/30 11:53,2018/10/30 12:00,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.447541 139.644914,シルク博物館,2018/10/30 11:52,2018/10/30 11:52,2018/10/30 11:58,2018/10/30 11:58,,2018/10/30 11:48,0:07:04,0:07:04,,01,04,,,2018/10/30 11:48,2018/10/30 12:00,43403.491666666743403.5,#N/A,,,
-,-,11,2018/10/30 11:54,7471,乗客アプリ（地図から）,985,1225,6,1,,2018/10/30 11:58,2018/10/30 12:03,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.45435 139.631762,横浜ロイヤルパークホテル,2018/10/30 11:59,2018/10/30 12:00,2018/10/30 12:05,2018/10/30 12:13,,2018/10/30 11:54,0:04:18,0:04:18,,00,04,,,2018/10/30 11:54,2018/10/30 12:03,43403.495833333343403.5020833333,肯定的,,,
-,-,11,2018/10/30 11:54,7472,乗客アプリ（目的地から）,1747,537,7,1,,2018/10/30 11:56,2018/10/30 12:02,35.452963 139.642093,横浜赤レンガ倉庫,35.445857 139.647636,ホテルモントレ横浜,2018/10/30 11:57,2018/10/30 11:57,2018/10/30 12:04,2018/10/30 12:04,,2018/10/30 11:54,0:05:25,0:05:25,,00,02,,,2018/10/30 11:54,2018/10/30 12:02,43403.495833333343403.5013888889,#N/A,,,
-,-,11,2018/10/30 11:58,7474,乗客アプリ（目的地から）,4343,695,9,2,,2018/10/30 12:04,2018/10/30 12:23,35.441002 139.650809,横浜元町ショッピングストリート,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/30 12:01,2018/10/30 12:01,2018/10/30 12:14,2018/10/30 12:14,,2018/10/30 11:58,0:18:52,0:37:44,,03,06,,,2018/10/30 11:58,2018/10/30 12:23,43403.498611111143403.5159722222,肯定的,,,
