,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,,
-,☆,12,2018/11/9 12:31,019-515-RED 019-516-RED,11442,まちかど端末（店舗から）,0,152,4,2,2018/11/9 12:39,,,35.452963 139.642093,横浜赤レンガ倉庫,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 12:42,,2018/11/9 12:55,,,2018/11/9 12:31,0:00:00,0:00:00,,00,10,,,2018/11/9 12:31,1900/1/0 0:00,43413.52152777780,#N/A,,,,
★,☆,12,2018/11/9 12:42,110-767-SUN,11449,乗客アプリ（地図から）,5506,970,1,1,2018/11/9 12:47,,,35.456605 139.635327,横浜ベイホテル東急,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 12:52,,2018/11/9 13:08,,2018/11/9 12:52,2018/11/9 12:52,0:00:00,0:00:00,,00,00,,,2018/11/9 12:42,1900/1/0 0:00,43413.52916666670,#N/A,,,,
★,☆,12,2018/11/9 12:42,112-362-SUN,11450,乗客アプリ（地図から）,5574,873,3,1,2018/11/9 12:43,,,35.441002 139.650809,横浜元町ショッピングストリート,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/9 12:52,,2018/11/9 13:19,,2018/11/9 12:52,2018/11/9 12:52,0:00:00,0:00:00,,00,00,,,2018/11/9 12:42,1900/1/0 0:00,43413.52916666670,#N/A,,※104行と同一人物と思われるため一番短い待ち時間を採用,,
★,☆,12,2018/11/9 12:42,112-363-SUN,11451,乗客アプリ（地図から）,5609,671,6,1,2018/11/9 12:43,,,35.441002 139.650809,横浜元町ショッピングストリート,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/9 12:52,,2018/11/9 13:20,,2018/11/9 12:52,2018/11/9 12:52,0:00:00,0:00:00,,00,,,,2018/11/9 12:42,1900/1/0 0:00,43413.52916666670,#N/A,,※103行と同一人物と思われるため一番短い待ち時間を採用,,
★,☆,12,2018/11/9 12:43,019-664-RED,11452,乗客アプリ（地図から）,5408,540,8,1,2018/11/9 12:44,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/9 12:53,,2018/11/9 13:03,,2018/11/9 12:53,2018/11/9 12:53,0:00:00,0:00:00,,00,00,,,2018/11/9 12:43,1900/1/0 0:00,43413.52986111110,#N/A,,,,
-,☆,12,2018/11/9 12:45,075-197-ORANGE,11454,まちかど端末（乗降ポイントから）,0,137,6,1,2018/11/9 12:54,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 12:59,,2018/11/9 13:08,,,2018/11/9 12:45,0:00:00,0:00:00,,00,14,,,2018/11/9 12:45,1900/1/0 0:00,43413.531250,#N/A,,,,
-,☆,12,2018/11/9 12:49,101-828-SNOW,11456,乗客アプリ（目的地から）,3930,395,3,1,2018/11/9 12:49,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 13:04,,2018/11/9 13:12,,,2018/11/9 12:49,0:00:00,0:00:00,,00,,,,2018/11/9 12:49,1900/1/0 0:00,43413.53402777780,#N/A,,※108行と同一人物と思われるため一番短い待ち時間を採用,,
-,☆,12,2018/11/9 12:52,101-828-SNOW,11458,乗客アプリ（目的地から）,3930,746,5,1,2018/11/9 12:53,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 13:07,,2018/11/9 13:15,,,2018/11/9 12:52,0:00:00,0:00:00,,00,14,,,2018/11/9 12:52,1900/1/0 0:00,43413.53611111110,#N/A,,※107行と同一人物と思われるため一番短い待ち時間を採用,,
-,☆,12,2018/11/9 12:53,166-647-agekke,11459,乗客アプリ（地図から）,1888,600,1,1,2018/11/9 12:55,,,35.441441 139.648505,横浜中華街朱雀門,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/9 13:03,,2018/11/9 13:12,,,2018/11/9 12:53,0:00:00,0:00:00,,00,10,,,2018/11/9 12:53,1900/1/0 0:00,43413.53680555560,#N/A,,,,
★,-,13,2018/11/9 12:59,063-008-BANANA 021-226-GREEN,11465,乗客アプリ（目的地から）,5595,751,1,2,,2018/11/9 13:59,2018/11/9 14:05,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/9 13:59,2018/11/9 13:59,2018/11/9 14:17,2018/11/9 14:17,2018/11/9 13:59,2018/11/9 13:59,0:06:56,0:13:52,275,00,00,04,04,2018/11/9 12:59,2018/11/9 14:05,43413.540972222243413.5868055556,#N/A,,,,
★,-,13,2018/11/9 12:59,166-757-agekke 166-639-agekke,11466,乗客アプリWeb（目的地から）,1885,312,8,1,,2018/11/9 13:05,2018/11/9 13:15,35.443908 139.635249,イセザキ・モール,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/9 13:09,2018/11/9 13:09,2018/11/9 13:28,2018/11/9 13:28,2018/11/9 13:09,2018/11/9 13:09,0:09:47,0:09:47,,00,00,,,2018/11/9 12:59,2018/11/9 13:15,43413.540972222243413.5520833333,肯定的,,,,
-,-,13,2018/11/9 13:01,167-435-CAKE,11467,乗客アプリ（地図から）,5581,389,9,3,,2018/11/9 13:06,2018/11/9 13:20,35.456605 139.635327,横浜ベイホテル東急,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 13:10,2018/11/9 13:10,2018/11/9 13:28,2018/11/9 13:28,,2018/11/9 13:01,0:13:44,0:41:12,,00,05,,,2018/11/9 13:01,2018/11/9 13:20,43413.542361111143413.5555555556,#N/A,,,,
-,-,13,2018/11/9 13:02,074-921-ORANGE,11468,乗客アプリ（目的地から）,3587,237,2,1,,2018/11/9 13:08,2018/11/9 13:19,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/9 13:10,2018/11/9 13:10,2018/11/9 13:23,2018/11/9 13:23,,2018/11/9 13:02,0:10:41,0:10:41,,00,06,,,2018/11/9 13:02,2018/11/9 13:19,43413.543055555643413.5548611111,#N/A,,,,
-,-,13,2018/11/9 13:07,110-767-SUN,11469,乗客アプリ（地図から）,5506,927,5,1,,2018/11/9 13:14,2018/11/9 13:24,35.456605 139.635327,横浜ベイホテル東急,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 13:21,2018/11/9 13:21,2018/11/9 13:37,2018/11/9 13:37,,2018/11/9 13:07,0:09:07,0:09:07,,00,07,,,2018/11/9 13:07,2018/11/9 13:24,43413.546527777843413.5583333333,#N/A,,,,
-,-,13,2018/11/9 13:08,167-445-CAKE,11470,乗客アプリWeb（地図から）,5592,536,10,1,,2018/11/9 13:11,2018/11/9 13:14,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443908 139.635249,イセザキ・モール,2018/11/9 13:10,2018/11/9 13:10,2018/11/9 13:15,2018/11/9 13:15,,2018/11/9 13:08,0:02:52,0:02:52,,01,03,,,2018/11/9 13:08,2018/11/9 13:14,43413.547222222243413.5513888889,#N/A,,,,
-,-,13,2018/11/9 13:11,018-571-RED,11471,乗客アプリ（地図から）,3988,445,4,1,,2018/11/9 13:14,2018/11/9 13:19,35.441441 139.648505,横浜中華街朱雀門,35.447541 139.644914,シルク博物館,2018/11/9 13:13,2018/11/9 13:13,2018/11/9 13:19,2018/11/9 13:20,,2018/11/9 13:11,0:04:47,0:04:47,,01,03,,,2018/11/9 13:11,2018/11/9 13:19,43413.549305555643413.5548611111,肯定的,,,,
-,-,13,2018/11/9 13:11,023-687-GREEN,11472,乗客アプリ（目的地から）,3989,406,4,1,,2018/11/9 13:14,2018/11/9 13:19,35.441441 139.648505,横浜中華街朱雀門,35.447541 139.644914,シルク博物館,2018/11/9 13:13,2018/11/9 13:13,2018/11/9 13:20,2018/11/9 13:20,,2018/11/9 13:11,0:04:57,0:04:57,,01,03,,,2018/11/9 13:11,2018/11/9 13:19,43413.549305555643413.5548611111,肯定的,,,,
-,-,13,2018/11/9 13:13,166-656-agekke,11473,まちかど端末（乗降ポイントから）,0,140,7,1,,2018/11/9 13:19,2018/11/9 13:26,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/9 13:21,2018/11/9 13:21,2018/11/9 13:31,2018/11/9 13:31,,2018/11/9 13:13,0:07:47,0:07:47,,00,05,,,2018/11/9 13:13,2018/11/9 13:26,43413.550694444443413.5597222222,#N/A,,,,
-,-,13,2018/11/9 13:15,166-664-agekke,11474,乗客アプリ（地図から）,1751,681,6,1,,2018/11/9 13:20,2018/11/9 13:31,35.447541 139.644914,シルク博物館,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/9 13:21,2018/11/9 13:21,2018/11/9 13:40,2018/11/9 13:40,,2018/11/9 13:15,0:10:32,0:10:32,,00,05,,,2018/11/9 13:15,2018/11/9 13:31,43413.552083333343413.5631944444,#N/A,,,,
-,-,13,2018/11/9 13:16,028-364-GREEN,11475,乗客アプリ（目的地から）,5304,555,10,1,,2018/11/9 13:21,2018/11/9 13:29,35.447541 139.644914,シルク博物館,35.454389 139.630904,横浜ランドマークタワー,2018/11/9 13:20,2018/11/9 13:20,2018/11/9 13:37,2018/11/9 13:37,,2018/11/9 13:16,0:08:41,0:08:41,,00,04,,,2018/11/9 13:16,2018/11/9 13:29,43413.552777777843413.5618055556,#N/A,,,,
-,-,13,2018/11/9 13:18,057-500-STRAWBERRY,11477,乗客アプリ（地図から）,1478,434,11,1,,2018/11/9 13:23,2018/11/9 13:29,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/9 13:24,2018/11/9 13:24,2018/11/9 13:37,2018/11/9 13:37,,2018/11/9 13:18,0:06:45,0:06:45,,00,04,,,2018/11/9 13:18,2018/11/9 13:29,43413.554166666743413.5618055556,#N/A,,,,
-,-,13,2018/11/9 13:20,019-332-RED 019-331-RED,11478,乗客アプリ（地図から）,5067,4,7,2,,2018/11/9 13:28,2018/11/9 13:33,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 13:32,2018/11/9 13:32,2018/11/9 13:42,2018/11/9 13:42,,2018/11/9 13:20,0:04:57,0:09:54,,00,07,,,2018/11/9 13:20,2018/11/9 13:33,43413.555555555643413.5645833333,肯定的,,,,
-,-,13,2018/11/9 13:33,167-455-CAKE,11482,乗客アプリWeb（目的地から）,5618,985,11,1,,2018/11/9 13:41,2018/11/9 13:46,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/9 13:39,2018/11/9 13:42,2018/11/9 13:50,2018/11/9 13:53,,2018/11/9 13:33,0:05:29,0:05:29,,01,07,,,2018/11/9 13:33,2018/11/9 13:46,43413.564583333343413.5736111111,肯定的,,,,
★,-,13,2018/11/9 13:34,167-451-CAKE,11483,乗客アプリWeb（地図から）,5610,361,8,1,,2018/11/9 13:41,2018/11/9 13:46,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/9 13:44,2018/11/9 13:44,2018/11/9 13:57,2018/11/9 13:57,2018/11/9 13:44,2018/11/9 13:44,0:04:06,0:04:06,,00,00,,,2018/11/9 13:34,2018/11/9 13:46,43413.565277777843413.5736111111,#N/A,,,,
-,-,13,2018/11/9 13:36,114-130-SUN,11486,乗客アプリ（地図から）,4777,260,6,1,,2018/11/9 13:45,2018/11/9 13:54,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/9 13:45,2018/11/9 13:45,2018/11/9 13:56,2018/11/9 13:56,,2018/11/9 13:36,0:08:59,0:08:59,,00,09,,,2018/11/9 13:36,2018/11/9 13:54,43413.566666666743413.5791666667,#N/A,,,,
-,-,13,2018/11/9 13:36,019-332-RED 019-331-RED,11487,乗客アプリ（簡単予約）,5067,138,11,2,,2018/11/9 13:38,2018/11/9 13:46,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/9 13:42,2018/11/9 13:42,2018/11/9 13:54,2018/11/9 13:54,,2018/11/9 13:36,0:08:36,0:17:12,,00,01,,,2018/11/9 13:36,2018/11/9 13:46,43413.566666666743413.5736111111,肯定的,,,,
-,-,13,2018/11/9 13:38,101-828-SNOW,11488,乗客アプリ（目的地から）,3930,226,2,1,,2018/11/9 13:45,2018/11/9 13:52,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/9 13:47,2018/11/9 13:47,2018/11/9 13:53,2018/11/9 13:53,,2018/11/9 13:38,0:06:51,0:06:51,,00,06,,,2018/11/9 13:38,2018/11/9 13:52,43413.568055555643413.5777777778,#N/A,,,,
-,-,13,2018/11/9 13:39,023-658-GREEN,11489,乗客アプリ（地図から）,4323,38,4,1,,2018/11/9 13:44,2018/11/9 13:47,35.450554 139.632616,横浜桜木町ワシントンホテル,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/9 13:46,2018/11/9 13:46,2018/11/9 13:55,2018/11/9 13:55,,2018/11/9 13:39,0:02:22,0:02:22,,00,05,,,2018/11/9 13:39,2018/11/9 13:47,43413.5687543413.5743055556,#N/A,,,,
★,-,13,2018/11/9 13:42,019-746-RED,11490,乗客アプリ（地図から）,3388,223,10,1,,2018/11/9 13:53,2018/11/9 14:02,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447546 139.64358,横浜開港資料館,2018/11/9 13:53,2018/11/9 13:53,2018/11/9 14:07,2018/11/9 14:07,2018/11/9 13:52,2018/11/9 13:52,0:09:21,0:09:21,,00,00,,,2018/11/9 13:42,2018/11/9 14:02,43413.570833333343413.5847222222,肯定的,,,,
-,-,13,2018/11/9 13:47,105-405-SNOW,11491,乗客アプリ（目的地から）,3162,471,4,1,,2018/11/9 13:52,2018/11/9 14:03,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/9 13:53,2018/11/9 13:53,2018/11/9 14:10,2018/11/9 14:10,,2018/11/9 13:47,0:10:57,0:10:57,,00,05,,,2018/11/9 13:47,2018/11/9 14:03,43413.574305555643413.5854166667,#N/A,,,,
-,-,13,2018/11/9 13:49,100-770-SNOW,11492,乗客アプリ（地図から）,5387,981,8,1,,2018/11/9 13:55,2018/11/9 14:00,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/9 13:57,2018/11/9 13:57,2018/11/9 14:04,2018/11/9 14:04,,2018/11/9 13:49,0:05:29,0:05:29,,00,06,,,2018/11/9 13:49,2018/11/9 14:00,43413.575694444443413.5833333333,肯定的,,,,
-,-,13,2018/11/9 13:50,019-432-RED 019-433-RED,11493,まちかど端末（店舗から）,0,497,3,2,,2018/11/9 13:54,2018/11/9 13:59,35.453715 139.638133,横浜ワールドポーターズ,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/9 13:54,2018/11/9 13:54,2018/11/9 14:06,2018/11/9 14:06,,2018/11/9 13:50,0:04:18,0:08:36,,00,04,,,2018/11/9 13:50,2018/11/9 13:59,43413.576388888943413.5826388889,#N/A,,,,
-,-,13,2018/11/9 13:52,070-414-ORANGE 070-415-ORANGE,11494,乗客アプリ（目的地から）,5404,720,5,2,,2018/11/9 13:59,2018/11/9 14:09,35.443073 139.651914,横浜人形の家,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/9 13:59,2018/11/9 13:59,2018/11/9 14:16,2018/11/9 14:16,,2018/11/9 13:52,0:10:25,0:20:50,,00,07,,,2018/11/9 13:52,2018/11/9 14:09,43413.577777777843413.5895833333,#N/A,,,,
-,-,13,2018/11/9 13:53,019-332-RED 019-331-RED,11495,乗客アプリ（地図から）,5067,783,11,2,,2018/11/9 13:58,2018/11/9 14:07,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/9 14:03,2018/11/9 14:03,2018/11/9 14:17,2018/11/9 14:17,,2018/11/9 13:53,0:08:28,0:16:56,,00,05,,,2018/11/9 13:53,2018/11/9 14:07,43413.578472222243413.5881944444,#N/A,,,,
-,-,13,2018/11/9 13:56,166-647-agekke,11496,乗客アプリ（地図から）,1888,681,9,1,,2018/11/9 14:03,2018/11/9 14:06,35.441441 139.648505,横浜中華街朱雀門,35.443659 139.650847,横浜マリンタワー,2018/11/9 13:59,2018/11/9 13:59,2018/11/9 14:03,2018/11/9 14:03,,2018/11/9 13:56,0:02:07,0:02:07,,04,07,,,2018/11/9 13:56,2018/11/9 14:06,43413.580555555643413.5875,#N/A,,,,
-,-,13,2018/11/9 13:58,167-449-CAKE,11497,乗客アプリWeb（簡単予約）,5600,334,2,1,,2018/11/9 14:02,2018/11/9 14:14,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.447541 139.644914,シルク博物館,2018/11/9 14:06,2018/11/9 14:06,2018/11/9 14:20,2018/11/9 14:20,,2018/11/9 13:58,0:11:52,0:11:52,,00,04,,,2018/11/9 13:58,2018/11/9 14:14,43413.581944444443413.5930555556,#N/A,,,,
★,-,13,2018/11/9 13:59,104-982-SNOW,11498,乗客アプリ（目的地から）,5623,482,3,1,,2018/11/9 14:04,2018/11/9 14:07,35.450554 139.632616,横浜桜木町ワシントンホテル,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/9 14:09,2018/11/9 14:09,2018/11/9 14:17,2018/11/9 14:17,2018/11/9 14:09,2018/11/9 14:09,0:03:08,0:03:08,,00,00,,,2018/11/9 13:59,2018/11/9 14:07,43413.582638888943413.5881944444,#N/A,,,,
★,☆,13,2018/11/9 12:56,063-008-BANANA 021-226-GREEN,11463,乗客アプリ（簡単予約）,5595,824,1,2,2018/11/9 12:56,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/9 13:06,,2018/11/9 13:23,,2018/11/9 13:06,2018/11/9 13:06,0:00:00,0:00:00,,00,00,,,2018/11/9 12:56,1900/1/0 0:00,43413.53888888890,#N/A,,※139行と同一人物と思われるため一番短い待ち時間を採用,,
★,☆,13,2018/11/9 12:57,063-008-BANANA 021-226-GREEN,11464,乗客アプリ（簡単予約）,5595,250,4,2,2018/11/9 12:58,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/9 13:57,,2018/11/9 14:15,,2018/11/9 13:57,2018/11/9 13:57,0:00:00,0:00:00,,00,,,,2018/11/9 12:57,1900/1/0 0:00,43413.53958333330,#N/A,,※138行と同一人物と思われるため一番短い待ち時間を採用,,
-,☆,13,2018/11/9 13:29,104-722-SNOW,11479,乗客アプリ（地図から）,5579,391,8,1,2018/11/9 13:29,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 13:33,,2018/11/9 13:36,,,2018/11/9 13:29,0:00:00,0:00:00,,00,03,,,2018/11/9 13:29,1900/1/0 0:00,43413.56180555560,#N/A,,,,
★,☆,13,2018/11/9 13:32,114-130-SUN,11481,乗客アプリ（地図から）,4777,56,11,1,2018/11/9 13:33,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/9 13:42,,2018/11/9 13:54,,2018/11/9 13:42,2018/11/9 13:42,0:00:00,0:00:00,,00,00,,,2018/11/9 13:32,1900/1/0 0:00,43413.56388888890,#N/A,,"※142,143行と同一人物と思われるため一番短い待ち時間を採用",,
★,☆,13,2018/11/9 13:34,114-130-SUN,11484,乗客アプリ（地図から）,4777,848,11,1,2018/11/9 13:35,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/9 13:44,,2018/11/9 14:05,,2018/11/9 13:44,2018/11/9 13:44,0:00:00,0:00:00,,00,,,,2018/11/9 13:34,1900/1/0 0:00,43413.56527777780,#N/A,,"※141,143行と同一人物と思われるため一番短い待ち時間を採用",,
-,☆,13,2018/11/9 13:35,114-130-SUN,11485,乗客アプリ（地図から）,4777,245,2,1,2018/11/9 13:36,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/9 13:42,,2018/11/9 13:51,,,2018/11/9 13:35,0:00:00,0:00:00,,00,,,,2018/11/9 13:35,1900/1/0 0:00,43413.56597222220,#N/A,,"※141,142行と同一人物と思われるため一番短い待ち時間を採用",,
★,-,14,2018/11/9 13:31,024-935-GREEN,11480,まちかど端末（店舗から）,0,912,3,1,,2018/11/9 14:23,2018/11/9 14:30,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 14:31,2018/11/9 14:31,2018/11/9 14:42,2018/11/9 14:42,2018/11/9 14:31,2018/11/9 14:31,0:06:49,0:06:49,630,00,00,06,05,2018/11/9 13:31,2018/11/9 14:30,43413.563194444443413.6041666667,#N/A,,,,
-,-,14,2018/11/9 14:00,063-894-BANANA 063-893-BANANA,11499,まちかど端末（店舗から）,0,297,10,2,,2018/11/9 14:09,2018/11/9 14:13,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/9 14:10,2018/11/9 14:10,2018/11/9 14:23,2018/11/9 14:23,,2018/11/9 14:00,0:04:39,0:09:18,,00,08,,,2018/11/9 14:00,2018/11/9 14:13,43413.583333333343413.5923611111,#N/A,,,,
★,-,14,2018/11/9 14:01,016-640-RED 066-787-BANANA,11500,乗客アプリ（地図から）,3869,475,11,2,,2018/11/9 14:07,2018/11/9 14:26,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 14:11,2018/11/9 14:11,2018/11/9 14:32,2018/11/9 14:33,2018/11/9 14:11,2018/11/9 14:11,0:18:26,0:36:52,,00,00,,,2018/11/9 14:01,2018/11/9 14:26,43413.584027777843413.6013888889,#N/A,,,,
★,-,14,2018/11/9 14:02,023-658-GREEN,11501,乗客アプリ（地図から）,4323,381,8,1,,2018/11/9 14:12,2018/11/9 14:17,35.45435 139.631762,横浜ロイヤルパークホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/9 14:12,2018/11/9 14:12,2018/11/9 14:19,2018/11/9 14:19,2018/11/9 14:12,2018/11/9 14:12,0:05:43,0:05:43,,00,00,,,2018/11/9 14:02,2018/11/9 14:17,43413.584722222243413.5951388889,#N/A,,,,
-,-,14,2018/11/9 14:03,104-990-SNOW 104-983-SNOW,11502,乗客アプリ（地図から）,5625,405,2,2,,2018/11/9 14:08,2018/11/9 14:22,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/9 14:07,2018/11/9 14:08,2018/11/9 14:24,2018/11/9 14:26,,2018/11/9 14:03,0:13:35,0:27:10,,00,05,,,2018/11/9 14:03,2018/11/9 14:22,43413.585416666743413.5986111111,肯定的,,,,
-,-,14,2018/11/9 14:04,166-640-agekke,11503,乗客アプリ（目的地から）,2589,508,8,1,,2018/11/9 14:18,2018/11/9 14:28,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/9 14:19,2018/11/9 14:19,2018/11/9 14:36,2018/11/9 14:36,,2018/11/9 14:04,0:09:42,0:09:42,,00,14,,,2018/11/9 14:04,2018/11/9 14:28,43413.586111111143413.6027777778,#N/A,,,,
-,-,14,2018/11/9 14:04,020-358-GREEN,11504,まちかど端末（乗降ポイントから）,0,841,6,1,,2018/11/9 14:12,2018/11/9 14:29,35.443073 139.651914,横浜人形の家,35.443908 139.635249,イセザキ・モール,2018/11/9 14:08,2018/11/9 14:08,2018/11/9 14:20,2018/11/9 14:20,,2018/11/9 14:04,0:17:04,0:17:04,,04,07,,,2018/11/9 14:04,2018/11/9 14:29,43413.586111111143413.6034722222,#N/A,,,,
-,-,14,2018/11/9 14:04,104-727-SNOW,11505,乗客アプリ（地図から）,1083,749,2,1,,2018/11/9 14:07,2018/11/9 14:14,35.450554 139.632616,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/9 14:09,2018/11/9 14:09,2018/11/9 14:18,2018/11/9 14:18,,2018/11/9 14:04,0:06:27,0:06:27,,00,03,,,2018/11/9 14:04,2018/11/9 14:14,43413.586111111143413.5930555556,肯定的,,,,
-,-,14,2018/11/9 14:05,166-653-agekke,11506,乗客アプリ（目的地から）,3945,530,3,1,,2018/11/9 14:16,2018/11/9 14:19,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/9 14:17,2018/11/9 14:17,2018/11/9 14:25,2018/11/9 14:25,,2018/11/9 14:05,0:03:10,0:03:10,,00,10,,,2018/11/9 14:05,2018/11/9 14:19,43413.586805555643413.5965277778,#N/A,,,,
-,-,14,2018/11/9 14:05,104-989-SNOW 104-991-SNOW,11507,乗客アプリ（地図から）,1050,375,4,2,,2018/11/9 14:12,2018/11/9 14:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/9 14:14,2018/11/9 14:14,2018/11/9 14:29,2018/11/9 14:29,,2018/11/9 14:05,0:08:48,0:17:36,,00,07,,,2018/11/9 14:05,2018/11/9 14:21,43413.586805555643413.5979166667,#N/A,,,,
-,-,14,2018/11/9 14:06,166-665-agekke,11508,まちかど端末（乗降ポイントから）,0,268,1,1,,2018/11/9 14:20,2018/11/9 14:26,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/11/9 14:16,2018/11/9 14:16,2018/11/9 14:26,2018/11/9 14:26,,2018/11/9 14:06,0:06:09,0:06:09,,03,13,,,2018/11/9 14:06,2018/11/9 14:26,43413.587543413.6013888889,#N/A,,,,
-,-,14,2018/11/9 14:07,111-158-SUN,11509,乗客アプリ（地図から）,3598,824,9,1,,2018/11/9 14:11,2018/11/9 14:20,35.445857 139.647636,ホテルモントレ横浜,35.443908 139.635249,イセザキ・モール,2018/11/9 14:09,2018/11/9 14:09,2018/11/9 14:18,2018/11/9 14:18,,2018/11/9 14:07,0:09:24,0:09:24,,02,03,,,2018/11/9 14:07,2018/11/9 14:20,43413.588194444443413.5972222222,#N/A,,,,
-,-,14,2018/11/9 14:07,114-453-SUN,11510,まちかど端末（店舗から）,0,514,5,1,,2018/11/9 14:15,2018/11/9 14:24,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 14:18,2018/11/9 14:18,2018/11/9 14:31,2018/11/9 14:31,,2018/11/9 14:07,0:09:06,0:09:06,,00,08,,,2018/11/9 14:07,2018/11/9 14:24,43413.588194444443413.6,#N/A,,,,
