,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,,
-,☆,10,2018/11/9 9:46,018-002-RED,11359,乗客アプリ（目的地から）,5081,914,4,1,2018/11/9 9:47,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/9 10:05,,2018/11/9 10:13,,,2018/11/9 9:46,0:00:00,0:00:00,,00,00,,,2018/11/9 9:46,1900/1/0 0:00,43413.40694444440,#N/A,,2018/11/9 10:00,※10時以前に予約しているため,
-,☆,10,2018/11/9 10:00,166-657-agekke,11361,乗客アプリ（地図から）,5522,359,10,1,2018/11/9 10:05,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/9 10:02,,2018/11/9 10:15,,,2018/11/9 10:00,0:00:00,0:00:00,,00,04,,,2018/11/9 10:00,1900/1/0 0:00,43413.41666666670,#N/A,,,,
-,☆,10,2018/11/9 10:03,022-885-GREEN,11365,乗客アプリ（目的地から）,3457,68,9,1,2018/11/9 10:11,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/9 10:10,,2018/11/9 10:16,,,2018/11/9 10:03,0:00:00,0:00:00,,00,07,,,2018/11/9 10:03,1900/1/0 0:00,43413.418750,#N/A,,,,
-,☆,10,2018/11/9 10:20,018-542-RED,11380,乗客アプリ（簡単予約）,5550,759,7,1,2018/11/9 10:29,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/9 10:25,,2018/11/9 10:33,,,2018/11/9 10:20,0:00:00,0:00:00,,00,08,,,2018/11/9 10:20,1900/1/0 0:00,43413.43055555560,#N/A,,,,
★,☆,10,2018/11/9 10:20,025-747-GREEN,11381,乗客アプリ（目的地から）,1312,768,7,1,2018/11/9 10:31,2018/11/9 10:28,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/9 10:30,2018/11/9 10:30,2018/11/9 10:39,,2018/11/9 10:30,2018/11/9 10:30,,,,00,00,,,2018/11/9 10:20,1900/1/0 0:00,43413.43055555560,#N/A,,※37行と同一人物と思われるため一番短いものを採用,,
-,☆,10,2018/11/9 10:27,017-606-RED 017-605-RED,11383,まちかど端末（乗降ポイントから）,0,595,1,2,2018/11/9 10:39,,,35.443073 139.651914,横浜人形の家,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/9 10:28,,2018/11/9 10:46,,,2018/11/9 10:27,0:00:00,0:00:00,,00,12,,,2018/11/9 10:27,1900/1/0 0:00,43413.43541666670,#N/A,,,,
-,☆,10,2018/11/9 10:32,025-747-GREEN,11385,乗客アプリ（目的地から）,1312,624,4,1,2018/11/9 10:32,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/9 10:36,,2018/11/9 10:44,,,2018/11/9 10:32,0:00:00,0:00:00,,00,,,,2018/11/9 10:32,1900/1/0 0:00,43413.43888888890,#N/A,,※35行と同一人物と思われるため一番短いものを採用,,
-,☆,10,2018/11/9 10:36,114-130-SUN,11387,乗客アプリ（地図から）,4777,383,2,1,2018/11/9 10:37,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/9 10:38,,2018/11/9 10:54,,,2018/11/9 10:36,0:00:00,0:00:00,,00,02,,,2018/11/9 10:36,1900/1/0 0:00,43413.44166666670,#N/A,,,,
-,☆,10,2018/11/9 10:44,016-966-RED 017-606-RED,11390,まちかど端末（乗降ポイントから）,0,10,1,2,2018/11/9 11:00,,,35.443073 139.651914,横浜人形の家,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/9 10:46,,2018/11/9 11:04,,,2018/11/9 10:44,0:00:00,0:00:00,,00,16,,,2018/11/9 10:44,1900/1/0 0:00,43413.44722222220,#N/A,,,,
-,☆,10,2018/11/9 10:50,023-744-GREEN,11391,乗客アプリ（簡単予約）,4380,264,5,1,2018/11/9 10:51,,,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/9 10:54,,2018/11/9 11:07,,,2018/11/9 10:50,0:00:00,0:00:00,,00,04,,,2018/11/9 10:50,1900/1/0 0:00,43413.45138888890,#N/A,,,,
★,-,11,2018/11/9 10:02,027-847-GREEN,11363,乗客アプリ（地図から）,4033,642,11,1,,2018/11/9 11:01,2018/11/9 11:06,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/9 11:02,2018/11/9 11:02,2018/11/9 11:09,2018/11/9 11:09,2018/11/9 11:02,2018/11/9 11:02,0:04:26,0:04:26,351,00,00,03,03,2018/11/9 10:02,2018/11/9 11:06,43413.418055555643413.4625,肯定的,,,,
★,-,11,2018/11/9 10:50,017-112-RED,11392,乗客アプリ（目的地から）,2177,803,7,1,,2018/11/9 11:50,2018/11/9 12:01,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/9 11:50,2018/11/9 11:50,2018/11/9 12:02,2018/11/9 12:02,2018/11/9 11:50,2018/11/9 11:50,0:10:42,0:10:42,,00,00,,,2018/11/9 10:50,2018/11/9 12:01,43413.451388888943413.5006944444,#N/A,,,,
★,-,11,2018/11/9 10:51,166-792-agekke,11393,乗客アプリ（地図から）,2176,945,11,1,,2018/11/9 10:57,2018/11/9 11:11,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/9 11:01,2018/11/9 11:01,2018/11/9 11:14,2018/11/9 11:14,2018/11/9 11:01,2018/11/9 11:01,0:13:34,0:13:34,,00,00,,,2018/11/9 10:51,2018/11/9 11:11,43413.452083333343413.4659722222,#N/A,,,,
★,-,11,2018/11/9 10:52,016-640-RED 066-787-BANANA 111-255-SUN,11395,乗客アプリ（地図から）,3869,953,4,3,,2018/11/9 11:01,2018/11/9 11:17,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/9 11:02,2018/11/9 11:02,2018/11/9 11:21,2018/11/9 11:21,2018/11/9 11:02,2018/11/9 11:02,0:15:40,0:47:00,,00,00,,,2018/11/9 10:52,2018/11/9 11:17,43413.452777777843413.4701388889,#N/A,,,,
