,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,
-,-,10,2018/11/12 10:49,026-980-GREEN,12936,乗客アプリ（地図から）,5119,559,5,1,,2018/11/12 11:03,2018/11/12 11:11,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/12 10:50,2018/11/12 10:50,2018/11/12 11:05,2018/11/12 11:05,,2018/11/12 10:49,0:08:33,0:08:33,,12,13,,,2018/11/12 10:49,2018/11/12 11:11,43416.450694444443416.4659722222,肯定的,,
-,-,10,2018/11/12 10:50,022-331-GREEN,12937,まちかど端末（乗降ポイントから）,0,878,9,1,,2018/11/12 10:52,2018/11/12 10:59,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.454389 139.630904,横浜ランドマークタワー,2018/11/12 10:52,2018/11/12 10:52,2018/11/12 10:59,2018/11/12 10:59,,2018/11/12 10:50,0:06:51,0:06:51,,00,01,,,2018/11/12 10:50,2018/11/12 10:59,43416.451388888943416.4576388889,#N/A,,
-,-,10,2018/11/12 10:54,166-698-agekke,12938,乗客アプリ（地図から）,1996,139,3,1,,2018/11/12 10:58,2018/11/12 11:07,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/12 10:56,2018/11/12 10:56,2018/11/12 11:07,2018/11/12 11:07,,2018/11/12 10:54,0:09:45,0:09:45,,02,03,,,2018/11/12 10:54,2018/11/12 11:07,43416.454166666743416.4631944444,#N/A,,
-,-,10,2018/11/12 10:57,167-559-CAKE,12939,乗客アプリWeb（地図から）,5986,934,11,2,,2018/11/12 11:02,2018/11/12 11:13,35.443908 139.635249,イセザキ・モール,35.445857 139.647636,ホテルモントレ横浜,2018/11/12 11:01,2018/11/12 11:01,2018/11/12 11:10,2018/11/12 11:10,,2018/11/12 10:57,0:10:41,0:21:22,,01,04,,,2018/11/12 10:57,2018/11/12 11:13,43416.4562543416.4673611111,肯定的,,
★,☆,10,2018/11/12 9:42,005-604-BLUE,12903,乗客アプリ（目的地から）,5081,546,4,1,2018/11/12 10:00,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/12 10:05,,2018/11/12 10:13,,2018/11/12 9:52,2018/11/12 9:52,0:00:00,0:00:00,,00,05,,,2018/11/12 9:42,1900/1/0 0:00,43416.40416666670,#N/A,2018/11/12 10:00,※10時以前に予約しているため
★,☆,10,2018/11/12 9:48,167-553-CAKE,12905,乗客アプリWeb（目的地から）,5975,901,4,4,2018/11/12 9:49,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443659 139.650847,横浜マリンタワー,2018/11/12 10:48,,2018/11/12 10:56,,2018/11/12 10:48,2018/11/12 10:48,0:00:00,0:00:00,,00,00,,,2018/11/12 9:48,1900/1/0 0:00,43416.40833333330,#N/A,,
-,☆,10,2018/11/12 9:54,167-554-CAKE,12907,乗客アプリWeb（地図から）,5600,521,4,1,2018/11/12 9:56,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/12 10:20,,2018/11/12 10:36,,,2018/11/12 9:54,0:00:00,0:00:00,,00,20,,,2018/11/12 9:54,1900/1/0 0:00,43416.41250,#N/A,2018/11/12 10:00,※10時以前に予約しているため
-,☆,10,2018/11/12 9:59,166-614-agekke,12910,乗客アプリ（地図から）,2435,800,9,1,2018/11/12 10:08,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/12 10:01,,2018/11/12 10:14,,,2018/11/12 9:59,0:00:00,0:00:00,,00,08,,,2018/11/12 9:59,1900/1/0 0:00,43416.41597222220,#N/A,2018/11/12 10:00,※10時以前に予約しているため
-,☆,10,2018/11/12 10:19,166-681-agekke,12923,乗客アプリ（地図から）,1888,410,7,1,2018/11/12 10:25,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/12 10:21,,2018/11/12 10:27,,,2018/11/12 10:19,0:00:00,0:00:00,,00,05,,,2018/11/12 10:19,1900/1/0 0:00,43416.42986111110,#N/A,,
-,☆,10,2018/11/12 10:41,105-665-SNOW,12931,乗客アプリ（地図から）,2535,156,13,1,2018/11/12 10:41,,,35.445783 139.642958,横浜情報文化センター,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/12 10:43,,2018/11/12 10:52,,,2018/11/12 10:41,0:00:00,0:00:00,,00,02,,,2018/11/12 10:41,1900/1/0 0:00,43416.44513888890,#N/A,※33行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,10,2018/11/12 10:40,105-665-SNOW,12930,乗客アプリ（地図から）,2535,873,7,1,2018/11/12 10:40,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/12 10:44,,2018/11/12 11:00,,,2018/11/12 10:40,0:00:00,0:00:00,,00,,,,2018/11/12 10:40,1900/1/0 0:00,43416.44444444440,#N/A,※32行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,10,2018/11/12 10:45,167-558-CAKE,12933,乗客アプリWeb（地図から）,5984,42,1,1,2018/11/12 10:45,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/12 10:50,,2018/11/12 10:59,,,2018/11/12 10:45,0:00:00,0:00:00,,00,05,,,2018/11/12 10:45,1900/1/0 0:00,43416.44791666670,#N/A,,
