,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
-,-,10,2018/11/29 10:34,053-171-STRAWBERRY,21549,乗客アプリ（Myルートから）,6658,20,7,1,,2018/11/29 10:39,2018/11/29 10:50,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/29 10:37,2018/11/29 10:37,2018/11/29 10:48,2018/11/29 10:48,,2018/11/29 10:34,0:11:07,0:11:07,,01,04,,,,,
-,-,10,2018/11/29 10:37,118-835-SUN 118-660-SUN,21552,乗客アプリ（目的地から）,7705,491,13,2,,2018/11/29 10:43,2018/11/29 10:48,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/29 10:40,2018/11/29 10:43,2018/11/29 10:46,2018/11/29 10:49,,2018/11/29 10:37,0:04:29,0:08:58,,02,06,,,,,
-,-,10,2018/11/29 10:37,018-312-RED,21553,乗客アプリ（地図から）,7630,863,5,1,,2018/11/29 10:40,2018/11/29 10:53,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/11/29 10:40,2018/11/29 10:40,2018/11/29 10:52,2018/11/29 10:52,,2018/11/29 10:37,0:13:13,0:13:13,,00,02,,,,,
-,-,10,2018/11/29 10:39,112-191-SUN,21554,まちかど端末（乗降ポイントから）,0,388,1,1,,2018/11/29 10:52,2018/11/29 11:01,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/29 10:48,2018/11/29 10:48,2018/11/29 10:58,2018/11/29 10:58,,2018/11/29 10:39,0:09:40,0:09:40,,03,12,,,,,
-,-,10,2018/11/29 10:39,116-121-SUN 116-120-SUN,21555,まちかど端末（乗降ポイントから）,0,450,2,2,,2018/11/29 10:46,2018/11/29 10:56,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/29 10:46,2018/11/29 10:46,2018/11/29 10:56,2018/11/29 11:01,,2018/11/29 10:39,0:09:58,0:19:56,,00,06,,,,,
-,-,10,2018/11/29 10:41,026-284-GREEN,21557,乗客アプリ（目的地から）,3988,284,10,1,,2018/11/29 10:55,2018/11/29 11:00,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.447541 139.644914,シルク博物館,2018/11/29 10:51,2018/11/29 10:51,2018/11/29 10:56,2018/11/29 10:56,,2018/11/29 10:41,0:05:07,0:05:07,,04,14,,,,,
★,-,10,2018/11/29 10:44,103-769-SNOW,21558,乗客アプリ（Myルートから）,6349,864,2,1,,2018/11/29 10:50,2018/11/29 11:02,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443073 139.651914,横浜人形の家,2018/11/29 10:54,2018/11/29 10:54,2018/11/29 11:07,2018/11/29 11:07,2018/11/29 10:54,2018/11/29 10:54,0:12:19,0:12:19,,00,00,,,,,
-,-,10,2018/11/29 10:47,018-314-RED,21559,乗客アプリ（地図から）,7663,901,4,1,,2018/11/29 10:52,2018/11/29 11:00,35.443908 139.635249,イセザキ・モール,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/29 10:51,2018/11/29 10:51,2018/11/29 11:03,2018/11/29 11:03,,2018/11/29 10:47,0:08:00,0:08:00,,00,05,,,,,
-,-,10,2018/11/29 10:50,073-184-ORANGE 073-185-ORANGE 062-557-BANANA,21560,まちかど端末（店舗から）,0,566,13,3,,2018/11/29 10:56,2018/11/29 11:00,35.445857 139.647636,ホテルモントレ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/29 10:54,2018/11/29 10:54,2018/11/29 11:00,2018/11/29 11:00,,2018/11/29 10:50,0:03:55,0:11:45,,02,06,,,,,
-,-,10,2018/11/29 10:54,015-292-RED,21561,乗客アプリ（Myルートから）,6833,385,5,1,,2018/11/29 11:02,2018/11/29 11:06,35.443908 139.635249,イセザキ・モール,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/29 10:56,2018/11/29 10:56,2018/11/29 11:03,2018/11/29 11:03,,2018/11/29 10:54,0:04:16,0:04:16,,06,07,,,,,
-,-,10,2018/11/29 10:56,022-336-GREEN 022-337-GREEN,21562,乗客アプリ（目的地から）,4860,653,7,2,,2018/11/29 11:01,2018/11/29 11:09,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/29 11:02,2018/11/29 11:02,2018/11/29 11:12,2018/11/29 11:12,,2018/11/29 10:56,0:07:47,0:15:34,,00,05,,,,,
-,-,10,2018/11/29 10:59,065-451-BANANA,21563,乗客アプリ（地図から）,7602,1000,1,1,,2018/11/29 11:05,2018/11/29 11:14,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/29 11:03,2018/11/29 11:03,2018/11/29 11:13,2018/11/29 11:13,,2018/11/29 10:59,0:09:21,0:09:21,,01,05,,,,,
