,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,,
-,-,10,2018/11/22 10:23,003-772-BLUE,17581,乗客アプリ（地図から）,6333,857,3,1,,2018/11/22 10:31,2018/11/22 10:47,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/22 10:33,2018/11/22 10:33,2018/11/22 10:42,2018/11/22 10:48,,2018/11/22 10:23,0:16:00,0:16:00,,00,08,,,,,,
★,-,10,2018/11/22 10:25,065-197-BANANA,17584,まちかど端末（店舗から）,0,269,4,1,,2018/11/22 10:38,2018/11/22 10:41,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/22 10:35,2018/11/22 10:35,2018/11/22 10:39,2018/11/22 10:39,2018/11/22 10:35,2018/11/22 10:35,0:03:34,0:03:34,,02,02,,,,,,
-,-,10,2018/11/22 10:26,166-484-agekke,17585,まちかど端末（乗降ポイントから）,0,502,1,1,,2018/11/22 10:32,2018/11/22 10:36,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/22 10:33,2018/11/22 10:33,2018/11/22 10:41,2018/11/22 10:41,,2018/11/22 10:26,0:04:52,0:04:52,,00,05,,,,,,
-,-,10,2018/11/22 10:27,107-378-SNOW,17586,乗客アプリ（目的地から）,6126,675,6,1,,2018/11/22 10:30,2018/11/22 10:39,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/22 10:32,2018/11/22 10:32,2018/11/22 10:43,2018/11/22 10:43,,2018/11/22 10:27,0:09:24,0:09:24,,00,02,,,,,,
-,-,10,2018/11/22 10:28,014-954-RED,17587,乗客アプリ（地図から）,1756,604,7,1,,2018/11/22 10:47,2018/11/22 10:55,35.441441 139.648505,横浜中華街朱雀門,35.443908 139.635249,イセザキ・モール,2018/11/22 10:43,2018/11/22 10:43,2018/11/22 10:51,2018/11/22 10:51,,2018/11/22 10:28,0:08:15,0:08:15,,04,18,,,,,,
-,-,10,2018/11/22 10:31,022-247-GREEN,17589,乗客アプリ（目的地から）,1312,921,2,1,,2018/11/22 10:34,2018/11/22 10:38,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/22 10:35,2018/11/22 10:35,2018/11/22 10:43,2018/11/22 10:43,,2018/11/22 10:31,0:04:33,0:04:33,,00,02,,,,,,
-,-,10,2018/11/22 10:34,026-012-GREEN,17590,乗客アプリ（簡単予約）,6917,983,8,1,,2018/11/22 10:39,2018/11/22 10:48,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447541 139.644914,シルク博物館,2018/11/22 10:39,2018/11/22 10:39,2018/11/22 10:51,2018/11/22 10:51,,2018/11/22 10:34,0:09:05,0:09:05,,00,05,,,,,,
-,-,10,2018/11/22 10:35,019-750-RED,17591,乗客アプリ（地図から）,6956,628,5,1,,2018/11/22 10:38,2018/11/22 10:45,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.453715 139.638133,横浜ワールドポーターズ,2018/11/22 10:43,2018/11/22 10:43,2018/11/22 10:52,2018/11/22 10:52,,2018/11/22 10:35,0:06:36,0:06:36,,00,03,,,,,,
-,-,10,2018/11/22 10:43,031-658-YELLOW,17592,まちかど端末（乗降ポイントから）,0,570,15,1,,2018/11/22 10:45,2018/11/22 10:52,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/22 10:45,2018/11/22 10:45,2018/11/22 10:54,2018/11/22 10:54,,2018/11/22 10:43,0:06:46,0:06:46,,00,01,,,,,,
-,-,10,2018/11/22 10:44,069-630-BANANA,17593,乗客アプリ（目的地から）,6959,195,2,1,,2018/11/22 10:50,2018/11/22 11:08,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/22 10:51,2018/11/22 10:51,2018/11/22 11:03,2018/11/22 11:03,,2018/11/22 10:44,0:17:27,0:17:27,,00,06,,,,,,
