,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
-,-,10,2018/12/6 10:21,166-182-agekke,25775,乗客アプリ（地図から）,2435,157,2,1,,2018/12/6 10:25,2018/12/6 10:34,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/12/6 10:23,2018/12/6 10:23,2018/12/6 10:37,2018/12/6 10:37,,2018/12/6 10:21,0:08:36,0:08:36,,01,04,,,,,
-,-,10,2018/12/6 10:23,037-192-YELLOW 077-106-ORANGE 075-807-ORANGE,25777,乗客アプリ（目的地から）,4746,4,11,3,,2018/12/6 10:28,2018/12/6 10:34,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/12/6 10:27,2018/12/6 10:27,2018/12/6 10:38,2018/12/6 10:38,,2018/12/6 10:23,0:06:37,0:19:51,,00,04,,,,,
-,-,10,2018/12/6 10:25,166-190-agekke,25778,乗客アプリ（Myルートから）,2171,889,3,1,,2018/12/6 10:30,2018/12/6 10:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/6 10:28,2018/12/6 10:29,2018/12/6 10:38,2018/12/6 10:39,,2018/12/6 10:25,0:05:52,0:05:52,,01,04,,,,,
-,-,10,2018/12/6 10:26,166-285-agekke,25779,まちかど端末（乗降ポイントから）,0,912,15,1,,2018/12/6 10:28,2018/12/6 10:34,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/6 10:27,2018/12/6 10:27,2018/12/6 10:34,2018/12/6 10:34,,2018/12/6 10:26,0:06:17,0:06:17,,00,01,,,,,
-,-,10,2018/12/6 10:26,110-402-SUN,25780,乗客アプリ（目的地から）,6120,832,7,1,,2018/12/6 10:30,2018/12/6 10:37,35.448676 139.635696,横浜平和プラザホテル,35.447541 139.644914,シルク博物館,2018/12/6 10:29,2018/12/6 10:29,2018/12/6 10:35,2018/12/6 10:35,,2018/12/6 10:26,0:07:08,0:07:08,,00,03,,,,,
-,-,10,2018/12/6 10:27,077-479-ORANGE,25781,まちかど端末（乗降ポイントから）,0,9,10,1,,2018/12/6 10:35,2018/12/6 10:41,35.456605 139.635327,横浜ベイホテル東急,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/12/6 10:35,2018/12/6 10:39,2018/12/6 10:41,2018/12/6 10:45,,2018/12/6 10:27,0:05:59,0:05:59,,00,07,,,,,
-,-,10,2018/12/6 10:28,166-158-agekke,25782,乗客アプリ（地図から）,1751,982,3,1,,2018/12/6 10:30,2018/12/6 10:39,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447546 139.64358,横浜開港資料館,2018/12/6 10:30,2018/12/6 10:30,2018/12/6 10:44,2018/12/6 10:39,,2018/12/6 10:28,0:08:33,0:08:33,,00,01,,,,,
-,-,10,2018/12/6 10:29,032-992-YELLOW,25784,乗客アプリ（Myルートから）,1312,313,5,1,,2018/12/6 10:33,2018/12/6 10:37,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/6 10:33,2018/12/6 10:33,2018/12/6 10:42,2018/12/6 10:42,,2018/12/6 10:29,0:03:59,0:03:59,,00,03,,,,,
-,-,10,2018/12/6 10:30,166-245-agekke,25785,まちかど端末（乗降ポイントから）,0,681,6,1,,2018/12/6 10:38,2018/12/6 10:44,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/12/6 10:39,2018/12/6 10:41,2018/12/6 10:47,2018/12/6 10:49,,2018/12/6 10:30,0:05:30,0:05:30,,00,08,,,,,
★,-,10,2018/12/6 10:36,109-269-SNOW,25788,乗客アプリ（地図から）,1756,530,4,1,,2018/12/6 10:42,2018/12/6 10:50,35.441002 139.650809,横浜元町ショッピングストリート,35.445783 139.642958,横浜情報文化センター,2018/12/6 10:46,2018/12/6 10:46,2018/12/6 10:52,2018/12/6 10:50,2018/12/6 10:46,2018/12/6 10:46,0:07:25,0:07:25,,00,00,,,,,
-,-,10,2018/12/6 10:37,003-792-BLUE,25789,乗客アプリ（Myルートから）,6333,642,15,1,,2018/12/6 10:43,2018/12/6 10:49,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/6 10:42,2018/12/6 10:44,2018/12/6 10:51,2018/12/6 10:54,,2018/12/6 10:37,0:06:32,0:06:32,,00,05,,,,,
★,-,10,2018/12/6 10:37,032-078-YELLOW,25790,乗客アプリ（地図から）,7538,347,3,1,,2018/12/6 10:48,2018/12/6 10:53,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/12/6 10:47,2018/12/6 10:47,2018/12/6 10:52,2018/12/6 10:52,2018/12/6 10:47,2018/12/6 10:47,0:04:56,0:04:56,,00,00,,,,,
-,-,10,2018/12/6 10:40,166-190-agekke,25792,乗客アプリ（Myルートから）,2171,826,8,1,,2018/12/6 10:41,2018/12/6 10:49,35.452963 139.642093,横浜赤レンガ倉庫,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/12/6 10:42,2018/12/6 10:42,2018/12/6 10:53,2018/12/6 10:53,,2018/12/6 10:40,0:07:24,0:07:24,,00,01,,,,,
-,-,10,2018/12/6 10:41,022-292-GREEN,25793,乗客アプリ（Myルートから）,5906,106,1,1,,2018/12/6 10:48,2018/12/6 10:54,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/12/6 10:49,2018/12/6 10:49,2018/12/6 10:55,2018/12/6 10:55,,2018/12/6 10:41,0:05:51,0:05:51,,00,07,,,,,
-,-,10,2018/12/6 10:42,117-028-SUN 117-027-SUN,25794,乗客アプリ（地図から）,8428,550,11,2,,2018/12/6 10:50,2018/12/6 10:54,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/6 10:46,2018/12/6 10:46,2018/12/6 10:56,2018/12/6 10:56,,2018/12/6 10:42,0:04:53,0:09:46,,03,07,,,,,
★,-,10,2018/12/6 10:44,038-160-YELLOW,25795,乗客アプリ（地図から）,8434,285,3,1,,2018/12/6 10:53,2018/12/6 11:05,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.456605 139.635327,横浜ベイホテル東急,2018/12/6 10:54,2018/12/6 10:54,2018/12/6 11:07,2018/12/6 11:07,2018/12/6 10:54,2018/12/6 10:54,0:12:33,0:12:33,,00,00,,,,,
★,-,10,2018/12/6 10:44,037-464-YELLOW,25796,乗客アプリ（地図から）,8435,85,4,1,,2018/12/6 10:53,2018/12/6 11:02,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.456605 139.635327,横浜ベイホテル東急,2018/12/6 10:54,2018/12/6 10:54,2018/12/6 11:07,2018/12/6 11:07,2018/12/6 10:54,2018/12/6 10:54,0:09:26,0:09:26,,00,00,,,,,
-,-,10,2018/12/6 10:44,077-479-ORANGE,25797,まちかど端末（乗降ポイントから）,0,202,10,1,,2018/12/6 10:49,2018/12/6 10:54,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/12/6 10:47,2018/12/6 10:47,2018/12/6 10:52,2018/12/6 10:52,,2018/12/6 10:44,0:05:39,0:05:39,,01,04,,,,,
-,-,10,2018/12/6 10:45,072-556-ORANGE,25798,乗客アプリ（地図から）,4749,636,13,1,,2018/12/6 10:49,2018/12/6 10:56,35.448676 139.635696,横浜平和プラザホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/12/6 10:49,2018/12/6 10:49,2018/12/6 10:56,2018/12/6 10:56,,2018/12/6 10:45,0:06:22,0:06:22,,00,03,,,,,
★,-,10,2018/12/6 10:49,110-837-SUN,25800,乗客アプリ（地図から）,4073,922,7,1,,2018/12/6 11:00,2018/12/6 11:07,35.450554 139.632616,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/12/6 10:59,2018/12/6 10:59,2018/12/6 11:06,2018/12/6 11:06,2018/12/6 10:59,2018/12/6 10:59,0:07:17,0:07:17,,01,01,,,,,
-,-,10,2018/12/6 10:57,063-695-BANANA,25802,乗客アプリ（地図から）,5301,79,15,1,,2018/12/6 11:03,2018/12/6 11:10,35.456605 139.635327,横浜ベイホテル東急,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/12/6 11:03,2018/12/6 11:03,2018/12/6 11:16,2018/12/6 11:16,,2018/12/6 10:57,0:07:39,0:07:39,,00,05,,,,,
-,-,10,2018/12/6 10:58,037-036-YELLOW,25803,まちかど端末（店舗から）,0,45,10,1,,2018/12/6 11:01,2018/12/6 11:08,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.453715 139.638133,横浜ワールドポーターズ,2018/12/6 11:01,2018/12/6 11:01,2018/12/6 11:11,2018/12/6 11:11,,2018/12/6 10:58,0:07:08,0:07:08,,00,02,,,,,
-,☆,10,2018/12/6 9:29,012-091-RED,25761,乗客アプリ（目的地から）,6771,885,5,1,2018/12/6 10:06,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/12/6 10:03,,2018/12/6 10:17,,,2018/12/6 9:29,0:00:00,0:00:00,,00,06,,,,2018/12/6 10:00,※10時以前に予約しているため
★,☆,10,2018/12/6 9:50,024-268-GREEN 109-765-SNOW,25762,乗客アプリ（地図から）,5408,483,2,2,2018/12/6 10:01,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/6 10:01,,2018/12/6 10:08,,2018/12/6 10:00,2018/12/6 10:00,0:00:00,0:00:00,,00,01,,,,,
★,☆,10,2018/12/6 9:57,035-645-YELLOW,25763,乗客アプリ（Myルートから）,3394,572,3,1,2018/12/6 10:05,,,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/12/6 10:13,,2018/12/6 10:25,,2018/12/6 10:07,2018/12/6 10:07,0:00:00,0:00:00,,00,06,,,,,
-,☆,10,2018/12/6 10:22,166-190-agekke,25776,乗客アプリ（Myルートから）,2171,962,15,1,2018/12/6 10:25,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/6 10:27,,2018/12/6 10:37,,,2018/12/6 10:22,0:00:00,0:00:00,,00,05,,,,,
-,☆,10,2018/12/6 10:29,032-992-YELLOW,25783,乗客アプリ（Myルートから）,1312,129,8,1,2018/12/6 10:29,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/6 10:30,,2018/12/6 10:40,,,2018/12/6 10:29,0:00:00,0:00:00,,00,01,,,,,
-,☆,10,2018/12/6 10:39,117-027-SUN,25791,乗客アプリ（簡単予約）,8428,384,15,1,2018/12/6 10:41,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/6 10:44,,2018/12/6 10:53,,,2018/12/6 10:39,0:00:00,0:00:00,,00,05,,,,,
-,☆,10,2018/12/6 10:46,063-695-BANANA,25799,乗客アプリ（地図から）,5301,950,7,1,2018/12/6 10:53,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/12/6 10:48,,2018/12/6 11:02,,,2018/12/6 10:46,0:00:00,0:00:00,,00,06,,,,,
-,☆,10,2018/12/6 10:50,167-693-CAKE,25801,乗客アプリ（Myルートから）,6934,813,2,1,2018/12/6 10:50,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443659 139.650847,横浜マリンタワー,2018/12/6 10:54,,2018/12/6 10:59,,,2018/12/6 10:50,0:00:00,0:00:00,,00,03,,,,,
★,-,11,2018/12/6 10:30,037-035-YELLOW 037-051-YELLOW 037-050-YELLOW,25786,まちかど端末（乗降ポイントから）,0,99,10,3,,2018/12/6 11:24,2018/12/6 11:28,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.456605 139.635327,横浜ベイホテル東急,2018/12/6 11:30,2018/12/6 11:30,2018/12/6 11:39,2018/12/6 11:39,2018/12/6 11:30,2018/12/6 11:30,0:04:12,0:12:36,311,00,00,03,02,,,
★,-,11,2018/12/6 10:31,037-062-YELLOW 037-129-YELLOW 037-033-YELLOW 037-130-YELLOW,25787,まちかど端末（乗降ポイントから）,0,362,6,4,,2018/12/6 11:24,2018/12/6 11:29,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.456605 139.635327,横浜ベイホテル東急,2018/12/6 11:30,2018/12/6 11:30,2018/12/6 11:40,2018/12/6 11:40,2018/12/6 11:30,2018/12/6 11:30,0:04:34,0:18:16,,00,00,,,,,
★,-,11,2018/12/6 10:59,111-168-SUN,25804,乗客アプリ（地図から）,7537,740,13,1,,2018/12/6 11:56,2018/12/6 12:02,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/12/6 11:58,2018/12/6 11:58,2018/12/6 12:05,2018/12/6 12:02,2018/12/6 11:58,2018/12/6 11:58,0:06:22,0:06:22,,00,00,,,,,
-,-,11,2018/12/6 11:00,027-357-GREEN,25805,乗客アプリ（Myルートから）,6126,395,2,1,,2018/12/6 11:05,2018/12/6 11:12,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/12/6 11:03,2018/12/6 11:03,2018/12/6 11:09,2018/12/6 11:09,,2018/12/6 11:00,0:06:31,0:06:31,,02,04,,,,,
-,-,11,2018/12/6 11:07,024-268-GREEN 109-765-SNOW,25806,乗客アプリ（地図から）,5408,134,8,2,,2018/12/6 11:09,2018/12/6 11:15,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/12/6 11:08,2018/12/6 11:08,2018/12/6 11:17,2018/12/6 11:17,,2018/12/6 11:07,0:06:02,0:12:04,,00,02,,,,,
-,-,11,2018/12/6 11:10,056-519-STRAWBERRY,25808,乗客アプリ（Myルートから）,2823,655,5,1,,2018/12/6 11:13,2018/12/6 11:15,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/6 11:18,2018/12/6 11:18,2018/12/6 11:24,2018/12/6 11:24,,2018/12/6 11:10,0:01:39,0:01:39,,00,03,,,,,
-,-,11,2018/12/6 11:11,117-037-SUN 117-035-SUN 117-036-SUN,25809,乗客アプリ（地図から）,8451,593,7,3,,2018/12/6 11:14,2018/12/6 11:19,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/6 11:16,2018/12/6 11:16,2018/12/6 11:27,2018/12/6 11:27,,2018/12/6 11:11,0:05:14,0:15:42,,00,02,,,,,
-,-,11,2018/12/6 11:12,117-028-SUN 117-027-SUN,25810,乗客アプリ（地図から）,8428,805,4,2,,2018/12/6 11:14,2018/12/6 11:25,35.452963 139.642093,横浜赤レンガ倉庫,35.441002 139.650809,横浜元町ショッピングストリート,2018/12/6 11:14,2018/12/6 11:14,2018/12/6 11:25,2018/12/6 11:25,,2018/12/6 11:12,0:11:02,0:22:04,,00,02,,,,,
-,-,11,2018/12/6 11:14,077-329-ORANGE,25811,まちかど端末（店舗から）,0,714,2,1,,2018/12/6 11:16,2018/12/6 11:27,35.448801 139.636702,ホテルルートイン横浜馬車道,35.45435 139.631762,横浜ロイヤルパークホテル,2018/12/6 11:15,2018/12/6 11:15,2018/12/6 11:24,2018/12/6 11:24,,2018/12/6 11:14,0:10:38,0:10:38,,00,02,,,,,
-,-,11,2018/12/6 11:14,112-830-SUN,25812,まちかど端末（店舗から）,0,37,9,1,,2018/12/6 11:18,2018/12/6 11:27,35.450447 139.635947,馬車道駅（みなとみらい線）,35.441002 139.650809,横浜元町ショッピングストリート,2018/12/6 11:20,2018/12/6 11:20,2018/12/6 11:29,2018/12/6 11:29,,2018/12/6 11:14,0:08:18,0:08:18,,00,04,,,,,
-,-,11,2018/12/6 11:15,077-354-ORANGE,25813,まちかど端末（乗降ポイントから）,0,436,13,1,,2018/12/6 11:18,2018/12/6 11:25,35.448676 139.635696,横浜平和プラザホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/12/6 11:18,2018/12/6 11:18,2018/12/6 11:25,2018/12/6 11:25,,2018/12/6 11:15,0:07:24,0:07:24,,00,02,,,,,
-,-,11,2018/12/6 11:15,120-730-SKY,25814,まちかど端末（乗降ポイントから）,0,647,15,1,,2018/12/6 11:19,2018/12/6 11:26,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/6 11:19,2018/12/6 11:19,2018/12/6 11:29,2018/12/6 11:29,,2018/12/6 11:15,0:06:53,0:06:53,,00,03,,,,,
-,-,11,2018/12/6 11:17,037-215-YELLOW,25815,乗客アプリ（地図から）,8452,31,8,1,,2018/12/6 11:19,2018/12/6 11:35,35.454389 139.630904,横浜ランドマークタワー,35.445857 139.647636,ホテルモントレ横浜,2018/12/6 11:18,2018/12/6 11:18,2018/12/6 11:30,2018/12/6 11:44,,2018/12/6 11:17,0:16:34,0:16:34,,00,01,,,,,
★,-,11,2018/12/6 11:19,026-625-GREEN 026-624-GREEN 026-623-GREEN,25816,乗客アプリ（Myルートから）,4719,564,8,3,,2018/12/6 11:26,2018/12/6 11:38,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/12/6 11:29,2018/12/6 11:29,2018/12/6 11:48,2018/12/6 11:48,2018/12/6 11:29,2018/12/6 11:29,0:11:59,0:35:57,,00,00,,,,,
-,-,11,2018/12/6 11:23,076-282-ORANGE,25817,乗客アプリ（Myルートから）,5702,795,7,1,,2018/12/6 11:24,2018/12/6 11:28,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/6 11:29,2018/12/6 11:29,2018/12/6 11:35,2018/12/6 11:35,,2018/12/6 11:23,0:03:48,0:03:48,,00,01,,,,,
-,-,11,2018/12/6 11:26,166-158-agekke,25818,乗客アプリ（地図から）,1751,521,3,1,,2018/12/6 11:34,2018/12/6 11:38,35.447541 139.644914,シルク博物館,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/12/6 11:29,2018/12/6 11:29,2018/12/6 11:33,2018/12/6 11:33,,2018/12/6 11:26,0:04:00,0:04:00,,05,08,,,,,
-,-,11,2018/12/6 11:26,168-194-CAKE,25819,乗客アプリWeb（簡単予約）,8408,219,11,1,,2018/12/6 11:29,2018/12/6 11:36,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/6 11:29,2018/12/6 11:29,2018/12/6 11:38,2018/12/6 11:39,,2018/12/6 11:26,0:07:18,0:07:18,,00,02,,,,,
-,-,11,2018/12/6 11:27,035-177-YELLOW,25821,乗客アプリ（地図から）,8450,147,15,1,,2018/12/6 11:34,2018/12/6 11:38,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/12/6 11:35,2018/12/6 11:35,2018/12/6 11:44,2018/12/6 11:44,,2018/12/6 11:27,0:03:04,0:03:04,,00,07,,,,,
-,-,11,2018/12/6 11:33,038-218-YELLOW,25825,乗客アプリ（地図から）,7824,484,10,1,,2018/12/6 11:35,2018/12/6 11:41,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/6 11:35,2018/12/6 11:35,2018/12/6 11:43,2018/12/6 11:43,,2018/12/6 11:33,0:06:10,0:06:10,,00,01,,,,,
★,-,11,2018/12/6 11:44,032-078-YELLOW,25827,乗客アプリ（地図から）,7538,561,9,1,,2018/12/6 11:49,2018/12/6 11:53,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/12/6 11:54,2018/12/6 11:54,2018/12/6 12:00,2018/12/6 12:00,2018/12/6 11:54,2018/12/6 11:54,0:03:51,0:03:51,,00,00,,,,,
-,-,11,2018/12/6 11:45,055-669-STRAWBERRY 055-742-STRAWBERRY 055-670-STRAWBERRY,25828,まちかど端末（乗降ポイントから）,0,849,8,3,,2018/12/6 11:52,2018/12/6 11:59,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/12/6 11:49,2018/12/6 11:49,2018/12/6 11:59,2018/12/6 11:59,,2018/12/6 11:45,0:06:38,0:19:54,,02,07,,,,,
-,-,11,2018/12/6 11:49,054-968-STRAWBERRY 055-282-STRAWBERRY,25829,まちかど端末（店舗から）,0,483,7,2,,2018/12/6 11:56,2018/12/6 12:08,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/12/6 11:56,2018/12/6 11:56,2018/12/6 12:08,2018/12/6 12:08,,2018/12/6 11:49,0:11:54,0:23:48,,00,06,,,,,
-,-,11,2018/12/6 11:56,037-097-YELLOW,25831,まちかど端末（店舗から）,0,774,10,1,,2018/12/6 11:58,2018/12/6 12:09,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.448676 139.635696,横浜平和プラザホテル,2018/12/6 11:58,2018/12/6 11:58,2018/12/6 12:04,2018/12/6 12:15,,2018/12/6 11:56,0:10:50,0:10:50,,00,02,,,,,
-,-,11,2018/12/6 11:58,143-327-STAR,25835,乗客アプリ（目的地から）,8437,840,13,1,,2018/12/6 12:03,2018/12/6 12:18,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/12/6 12:02,2018/12/6 12:02,2018/12/6 12:16,2018/12/6 12:18,,2018/12/6 11:58,0:14:56,0:14:56,,00,04,,,,,
-,-,11,2018/12/6 11:58,037-672-YELLOW,25836,乗客アプリ（Myルートから）,5351,854,13,1,,2018/12/6 12:06,2018/12/6 12:22,35.445783 139.642958,横浜情報文化センター,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/12/6 12:06,2018/12/6 12:06,2018/12/6 12:23,2018/12/6 12:23,,2018/12/6 11:58,0:15:25,0:15:25,,00,07,,,,,
