,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,10,2018/11/25 10:31,117-224-SUN 117-223-SUN,19720,乗客アプリ（目的地から）,5257,904,8,2,,2018/11/25 10:34,2018/11/25 10:42,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/25 10:32,2018/11/25 10:32,2018/11/25 10:45,2018/11/25 10:45,,2018/11/25 10:31,0:08:34,0:17:08,,01,03,,,,,,
-,-,10,2018/11/25 10:33,117-483-SUN 117-484-SUN,19721,乗客アプリ（目的地から）,7343,494,5,2,,2018/11/25 10:38,2018/11/25 10:46,35.452963 139.642093,横浜赤レンガ倉庫,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/25 10:36,2018/11/25 10:36,2018/11/25 10:47,2018/11/25 10:47,,2018/11/25 10:33,0:07:17,0:14:34,,02,05,,,,,,
-,-,10,2018/11/25 10:34,076-691-ORANGE,19722,乗客アプリ（目的地から）,7292,292,14,1,,2018/11/25 10:36,2018/11/25 10:49,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/25 10:36,2018/11/25 10:36,2018/11/25 10:51,2018/11/25 10:51,,2018/11/25 10:34,0:13:34,0:13:34,,00,01,,,,,,
-,-,10,2018/11/25 10:36,167-924-CAKE,19724,乗客アプリWeb（地図から）,7110,38,10,3,,2018/11/25 10:40,2018/11/25 10:51,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/25 10:40,2018/11/25 10:40,2018/11/25 10:53,2018/11/25 10:53,,2018/11/25 10:36,0:11:01,0:33:03,,00,03,,,,,,
-,-,10,2018/11/25 10:38,036-217-YELLOW 036-216-YELLOW,19725,まちかど端末（店舗から）,0,633,3,2,,2018/11/25 10:42,2018/11/25 10:51,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/25 10:41,2018/11/25 10:41,2018/11/25 10:53,2018/11/25 10:53,,2018/11/25 10:38,0:09:00,0:18:00,,01,04,,,,,,
-,-,10,2018/11/25 10:40,028-553-GREEN 117-227-SUN 028-555-GREEN,19726,乗客アプリ（Myルートから）,4750,732,13,3,,2018/11/25 10:44,2018/11/25 10:59,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/25 10:44,2018/11/25 10:44,2018/11/25 10:57,2018/11/25 10:57,,2018/11/25 10:40,0:14:27,0:43:21,,00,04,,,,,,
-,-,10,2018/11/25 10:46,166-557-agekke,19727,まちかど端末（店舗から）,0,387,9,1,,2018/11/25 10:48,2018/11/25 10:59,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447541 139.644914,シルク博物館,2018/11/25 10:48,2018/11/25 10:48,2018/11/25 11:00,2018/11/25 11:00,,2018/11/25 10:46,0:10:39,0:10:39,,00,01,,,,,,
-,-,10,2018/11/25 10:50,033-751-YELLOW 020-710-GREEN 033-752-YELLOW,19730,まちかど端末（店舗から）,0,197,2,3,,2018/11/25 10:54,2018/11/25 11:06,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/25 10:56,2018/11/25 10:56,2018/11/25 11:13,2018/11/25 11:13,,2018/11/25 10:50,0:11:56,0:35:48,,00,03,,,,,,
-,-,10,2018/11/25 10:54,065-665-BANANA 065-666-BANANA,19733,乗客アプリ（地図から）,5455,88,6,2,,2018/11/25 10:57,2018/11/25 11:10,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/25 10:56,2018/11/25 10:56,2018/11/25 11:11,2018/11/25 11:11,,2018/11/25 10:54,0:13:38,0:27:16,,00,02,,,,,,
-,-,10,2018/11/25 10:59,036-467-YELLOW 036-464-YELLOW 036-463-YELLOW,19735,乗客アプリ（簡単予約）,7284,686,3,3,,2018/11/25 11:04,2018/11/25 11:08,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/25 11:02,2018/11/25 11:02,2018/11/25 11:11,2018/11/25 11:11,,2018/11/25 10:59,0:04:33,0:13:39,,01,05,,,,,,
