,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/11/19 10:45,167-783-CAKE,16230,乗客アプリWeb（地図から）,6689,196,4,2,,2018/11/19 10:48,2018/11/19 10:57,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/19 10:48,2018/11/19 10:48,2018/11/19 10:58,2018/11/19 10:58,,2018/11/19 10:45,0:08:40,0:17:20,,00,03,,,,,
-,-,10,2018/11/19 10:47,065-122-BANANA 065-121-BANANA 065-123-BANANA,16231,まちかど端末（乗降ポイントから）,0,963,5,3,,2018/11/19 10:50,2018/11/19 11:08,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/11/19 10:49,2018/11/19 10:49,2018/11/19 10:58,2018/11/19 10:58,,2018/11/19 10:47,0:18:24,0:55:12,,01,03,,,,,
-,-,10,2018/11/19 10:54,167-781-CAKE,16234,乗客アプリWeb（目的地から）,6687,426,9,2,,2018/11/19 11:00,2018/11/19 11:09,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/19 11:00,2018/11/19 11:00,2018/11/19 11:10,2018/11/19 11:10,,2018/11/19 10:54,0:08:46,0:17:32,,00,06,,,,,
-,-,10,2018/11/19 10:57,019-918-RED,16235,まちかど端末（店舗から）,0,703,3,1,,2018/11/19 11:04,2018/11/19 11:06,35.454389 139.630904,横浜ランドマークタワー,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/19 11:00,2018/11/19 11:00,2018/11/19 11:06,2018/11/19 11:06,,2018/11/19 10:57,0:02:21,0:02:21,,03,07,,,,,
-,-,10,2018/11/19 10:59,069-353-BANANA 066-927-BANANA 066-928-BANANA,16237,乗客アプリ（地図から）,6657,667,13,3,,2018/11/19 11:02,2018/11/19 11:09,35.452963 139.642093,横浜赤レンガ倉庫,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/19 11:00,2018/11/19 11:00,2018/11/19 11:13,2018/11/19 11:13,,2018/11/19 10:59,0:07:03,0:21:09,,01,03,,,,,
★,☆,10,2018/11/19 9:38,027-347-GREEN 027-348-GREEN,16200,乗客アプリ（簡単予約）,5679,80,10,2,2018/11/19 9:40,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/19 10:03,,2018/11/19 10:15,,2018/11/19 9:48,2018/11/19 9:48,0:00:00,0:00:00,,00,03,,,,2018/11/19 10:00,※10時以前に予約しているため
★,☆,10,2018/11/19 9:39,029-805-GREEN 029-804-GREEN 029-803-GREEN 030-580-YELLOW,16201,乗客アプリ（地図から）,1761,155,1,4,2018/11/19 9:41,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/19 10:39,,2018/11/19 10:55,,2018/11/19 10:39,2018/11/19 10:39,0:00:00,0:00:00,,00,00,,,,,
★,☆,10,2018/11/19 10:06,007-573-BLUE,16211,乗客アプリ（目的地から）,1358,807,10,1,2018/11/19 10:08,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/19 10:16,,2018/11/19 10:25,,2018/11/19 10:16,2018/11/19 10:16,0:00:00,0:00:00,,00,00,,,,,
-,☆,10,2018/11/19 10:20,166-624-agekke,16216,乗客アプリ（地図から）,1885,342,13,1,2018/11/19 10:29,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/19 10:22,,2018/11/19 10:33,,,2018/11/19 10:20,0:00:00,0:00:00,,00,08,,,,,
-,☆,10,2018/11/19 10:33,167-775-CAKE,16227,乗客アプリ（地図から）,6572,189,4,1,2018/11/19 10:33,,,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/19 10:36,,2018/11/19 10:45,,,2018/11/19 10:33,0:00:00,0:00:00,,00,02,,,,,
